Category: All categories

Region,New Democratic Party: (10/3/19 - 10/3/20),Liberal Party: (10/3/19 - 10/3/20),Conservative Party: (10/3/19 - 10/3/20),quebec party: (10/3/19 - 10/3/20),Green party: (10/3/19 - 10/3/20)
Nunavut,79%,,21%,,
Saskatchewan,69%,,29%,,2%
British Columbia,67%,,26%,1%,6%
Nova Scotia,70%,,22%,,8%
Manitoba,73%,,24%,,3%
New Brunswick,63%,,24%,,13%
Newfoundland and Labrador,71%,,26%,,3%
Alberta,62%,,33%,2%,3%
Yukon Territory,51%,,35%,,14%
Ontario,63%,,30%,2%,5%
Prince Edward Island,57%,,27%,,16%
Northwest Territories,62%,,38%,,
Québec,62%,,11%,25%,2%
