model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 5 Series,2014,11200,Automatic,67068,Diesel,125,57.6,2.0
 6 Series,2018,27000,Automatic,14827,Petrol,145,42.8,2.0
 5 Series,2016,16000,Automatic,62794,Diesel,160,51.4,3.0
 1 Series,2017,12750,Automatic,26676,Diesel,145,72.4,1.5
 7 Series,2014,14500,Automatic,39554,Diesel,160,50.4,3.0
 5 Series,2016,14900,Automatic,35309,Diesel,125,60.1,2.0
 5 Series,2017,16000,Automatic,38538,Diesel,125,60.1,2.0
 2 Series,2018,16250,Manual,10401,Petrol,145,52.3,1.5
 4 Series,2017,14250,Manual,42668,Diesel,30,62.8,2.0
 5 Series,2016,14250,Automatic,36099,Diesel,20,68.9,2.0
 X3,2017,15500,Manual,74907,Diesel,145,52.3,2.0
 1 Series,2017,11800,Manual,29840,Diesel,20,68.9,2.0
 X3,2016,15500,Automatic,77823,Diesel,125,54.3,2.0
 2 Series,2015,10500,Manual,31469,Diesel,20,68.9,2.0
 X3,2017,22000,Automatic,19057,Diesel,145,54.3,2.0
 3 Series,2017,16500,Manual,16570,Diesel,125,58.9,2.0
 3 Series,2017,14250,Automatic,55594,Other,135,148.7,2.0
 3 Series,2017,16000,Automatic,45456,Diesel,30,64.2,2.0
 1 Series,2017,15500,Automatic,22812,Diesel,20,68.9,1.5
 4 Series,2014,14000,Automatic,47348,Diesel,125,60.1,2.0
 1 Series,2015,9700,Automatic,75124,Diesel,20,70.6,2.0
 3 Series,2015,12600,Automatic,78957,Diesel,30,62.8,2.0
 3 Series,2016,15100,Automatic,29213,Diesel,30,64.2,2.0
 1 Series,2016,9400,Manual,44498,Diesel,0,83.1,1.5
 1 Series,2016,14300,Automatic,22461,Diesel,20,67.3,2.0
 1 Series,2016,11200,Manual,23005,Petrol,125,53.3,1.5
 3 Series,2019,17800,Automatic,22310,Diesel,145,64.2,2.0
 3 Series,2016,14400,Automatic,51994,Diesel,30,62.8,2.0
 X5,2016,19750,Automatic,96213,Diesel,165,52.3,2.0
 X3,2015,17400,Automatic,50316,Diesel,200,47.9,3.0
 4 Series,2017,16800,Automatic,44011,Diesel,150,65.7,2.0
 X4,2017,23000,Automatic,34960,Diesel,150,54.3,2.0
 i3,2016,17100,Automatic,25269,Other,0,470.8,0.6
 1 Series,2017,20500,Automatic,24029,Petrol,145,39.8,3.0
 1 Series,2017,11900,Manual,22920,Petrol,145,53.3,1.5
 2 Series,2017,13000,Automatic,61818,Other,0,141.2,1.5
 3 Series,2015,11500,Manual,59634,Diesel,125,61.4,2.0
 1 Series,2016,13500,Manual,29226,Diesel,30,62.8,2.0
 X1,2017,18900,Automatic,33514,Diesel,145,60.1,2.0
 1 Series,2018,14600,Automatic,6522,Petrol,145,37.2,1.5
 3 Series,2016,15800,Manual,11231,Petrol,145,47.9,2.0
 1 Series,2016,11400,Manual,21591,Petrol,125,53.3,1.5
 X3,2013,12000,Automatic,79972,Diesel,200,47.1,3.0
 1 Series,2018,17500,Automatic,14037,Petrol,145,54.3,1.5
 5 Series,2017,23500,Automatic,25034,Diesel,200,47.9,3.0
 X1,2016,16700,Automatic,44478,Diesel,125,60.1,2.0
 X3,2017,18000,Automatic,74852,Diesel,150,47.1,3.0
 4 Series,2016,15500,Automatic,45856,Diesel,30,65.7,2.0
 1 Series,2016,9200,Manual,48858,Diesel,0,83.1,1.5
 1 Series,2017,11200,Manual,40399,Diesel,145,68.9,2.0
 1 Series,2016,13200,Manual,17393,Diesel,30,65.7,2.0
 5 Series,2014,11000,Automatic,84816,Diesel,30,62.8,2.0
 3 Series,2017,18500,Automatic,27139,Diesel,160,51.4,3.0
 1 Series,2017,12750,Automatic,91563,Diesel,125,60.1,2.0
 3 Series,2014,14000,Manual,32139,Petrol,205,43.5,2.0
