Rank,University,Town
1,Universitas Gadjah Mada,Sleman
2,Universitas Indonesia,Depok
3,Universitas Diponegoro,Semarang
4,Universitas Pendidikan Indonesia,Bandung
5,Universitas Negeri Yogyakarta,Sleman
6,Universitas Brawijaya,Malang
7,Universitas Airlangga,Surabaya
8,Universitas Sebelas Maret,Surakarta
9,Institut Pertanian Bogor,Bogor
10,Universitas Lampung,Bandar Lampung
11,Universitas Negeri Semarang,Semarang
12,Institut Teknologi Bandung,Bandung
13,Universitas Bina Nusantara,Jakarta
14,Universitas Muhammadiyah Malang,Malang
15,Universitas Muhammadiyah Surakarta,Surakarta
16,Universitas Negeri Malang,Malang
17,Universitas Muhammadiyah Yogyakarta,Bantul
18,Universitas Udayana,Badung
19,Institut Teknologi Sepuluh Nopember,Surabaya
20,Universitas Andalas,Padang
21,Universitas Sumatera Utara,Medan
22,Universitas Gunadarma,Depok
23,Universitas Jember,Jember
24,Universitas Telkom,Bandung
25,Universitas Mercu Buana,Jakarta
26,Universitas Islam Negeri Maulana Malik Ibrahim Malang,Malang
27,Universitas Islam Indonesia,Sleman
28,Universitas Islam Negeri Syarif Hidayatullah Jakarta,Tangerang Selatan
29,Universitas Dian Nuswantoro,Semarang
30,Universitas Padjadjaran,Sumedang
31,Universitas Jambi,Jambi
32,Universitas Islam Negeri Sunan Ampel Surabaya,Surabaya
33,Universitas Syiah Kuala,Banda Aceh
34,Universitas Hasanuddin,Makassar
35,Universitas Pasundan,Bandung
36,Universitas Jenderal Soedirman,Banyumas
37,Universitas Muhammadiyah Semarang,Semarang
38,Universitas Islam Negeri Sunan Kalijaga Yogyakarta,Sleman
39,Universitas Islam Negeri Walisongo,Semarang
40,Universitas Kristen Petra,Surabaya
41,Universitas Negeri Surabaya,Surabaya
42,Universitas Islam Negeri Sultan Syarif Kasim Riau,Pekanbaru
43,Universitas Sanata Dharma,Sleman
44,Universitas Esa Unggul,Jakarta
45,Universitas Ahmad Dahlan,Yogyakarta
46,Universitas Atma Jaya Yogyakarta,Sleman
47,Universitas Negeri Padang,Padang
48,Universitas Sriwijaya,Palembang
49,Universitas Sam Ratulangi,Manado
50,Universitas Bengkulu,Bengkulu
51,Universitas Islam Negeri Alauddin Makassar,Makassar
52,Universitas Islam Negeri Sunan Gunung Djati,Bandung
53,Universitas Islam Bandung,Bandung
54,Universitas Komputer Indonesia,Bandung
55,Universitas Pamulang,Tangerang
56,Universitas Muhammadiyah Purwokerto,Banyumas
57,Universitas Riau,Pekanbaru
58,Universitas Pendidikan Ganesha,Singaraja
59,Universitas Muhammadiyah Ponorogo,Ponorogo
60,Universitas Islam Sultan Agung,Semarang
61,Universitas PGRI Madiun,Madiun
62,Universitas Negeri Medan,Medan
63,Universitas Narotama,Surabaya
64,Universitas Islam Negeri Sumatera Utara,Medan
65,Universitas Tanjungpura,Pontianak
66,Universitas Mulawarman,Samarinda
67,Universitas Sarjanawiyata Tamansiswa,Yogyakarta
68,Universitas Pelita Harapan,Tangerang
69,Universitas Negeri Jakarta,Jakarta
70,Universitas Surabaya,Surabaya
71,Universitas Lambung Mangkurat,Banjarmasin
72,Universitas Dr. Soetomo,Surabaya
73,Universitas Katolik Indonesia Atma Jaya,Jakarta
74,Universitas Bina Sarana Informatika,Bandung
75,Universitas 17 Agustus 1945 Surabaya,Surabaya
76,Universitas Katolik Soegijapranata,Semarang
77,Universitas Katolik Parahyangan,Bandung
