date,day,aircraft,helicopter,tank,APC,field artillery,MRL,military auto,fuel tank,drone,naval ship,anti-aircraft warfare,special equipment
2022-02-25,2,10,7,80,516,49,4,100,60,0,2,0,
2022-02-26,3,27,26,146,706,49,4,130,60,2,2,0,
2022-02-27,4,27,26,150,706,50,4,130,60,2,2,0,
2022-02-28,5,29,29,150,816,74,21,291,60,3,2,5,
2022-03-01,6,29,29,198,846,77,24,305,60,3,2,7,
2022-03-02,7,30,31,211,862,85,40,355,60,3,2,9,
2022-03-03,8,30,31,217,900,90,42,374,60,3,2,11,
2022-03-04,9,33,37,251,939,105,50,404,60,3,2,18,
2022-03-05,10,39,40,269,945,105,50,409,60,3,2,19,
2022-03-06,11,44,48,285,985,109,50,447,60,4,2,21,
2022-03-07,12,46,68,290,999,117,50,454,60,7,3,23,
2022-03-08,13,48,80,303,1036,120,56,474,60,7,3,27,
2022-03-09,14,49,81,317,1070,120,56,482,60,7,3,28,
2022-03-10,15,49,81,335,1105,123,56,526,60,7,3,29,
2022-03-11,16,57,83,353,1165,125,58,558,60,7,3,31,
2022-03-12,17,58,83,362,1205,135,62,585,60,7,3,33,
2022-03-13,18,74,86,374,1226,140,62,600,60,7,3,34,
2022-03-14,19,77,90,389,1249,150,64,617,60,8,3,34,
2022-03-15,20,81,95,404,1279,150,64,640,60,9,3,36,
2022-03-16,21,84,108,430,1375,190,70,819,60,11,3,43,10.0
2022-03-17,22,86,108,444,1435,201,72,864,60,11,3,43,10.0
2022-03-18,23,93,112,450,1448,205,72,879,60,12,3,43,11.0
2022-03-19,24,95,115,466,1470,213,72,914,60,17,3,44,11.0
2022-03-20,25,96,118,476,1487,230,74,947,60,21,3,44,12.0
2022-03-21,26,97,121,498,1535,240,80,969,60,24,3,45,13.0
