date,day,personnel,personnel*,POW
2022-02-25,2,2800,about,0
2022-02-26,3,4300,about,0
2022-02-27,4,4500,about,0
2022-02-28,5,5300,about,0
2022-03-01,6,5710,about,200
2022-03-02,7,5840,about,200
2022-03-03,8,9000,about,200
2022-03-04,9,9166,about,200
2022-03-05,10,10000,about,216
2022-03-06,11,11000,about,232
2022-03-07,12,11000,more,259
2022-03-08,13,12000,about,284
2022-03-09,14,12000,about,360
2022-03-10,15,12000,more,371
2022-03-11,16,12000,more,389
2022-03-12,17,12000,more,389
2022-03-13,18,12000,more,389
2022-03-14,19,12000,more,389
2022-03-15,20,13500,about,389
2022-03-16,21,13800,about,389
2022-03-17,22,14000,about,405
2022-03-18,23,14200,about,405
2022-03-19,24,14400,about,405
2022-03-20,25,14700,about,405
2022-03-21,26,15000,about,405
