"year","state","schools","total","passed","female","female_passed","black","black_passed","black_male","black_male_passed","black_female","black_female_passed","hispanic","hispanic_passed","hispanic_female","hispanic_female_passed","black_in_state","hispanic_in_state"
"2012","Alabama",14,97,"61",12,"10",9,"5",8,"4",1,"*",2,"*",0,"0",,
"2012","Alaska",2,13,"12",0,"0",0,"0",0,"0",0,"0",1,"*",0,"0",,
"2012","Arizona",21,132,"86",23,"15",1,"*",1,"*",0,"0",21,"8",4,"*",,
"2012","Arkansas",11,146,"42",26,"4",3,"*",2,"*",1,"*",18,"1",2,"*",,
"2012","California",192,3920,"2862",833,"553",45,"22",30,"18",15,"4",314,"136",75,"22",,
"2012","Colorado",36,308,"216",37,"21",9,"4",7,"4",2,"*",33,"15",4,"*",,
"2012","Connecticut",48,436,"265",76,"51",17,"7",15,"6",2,"*",28,"10",8,"2",,
"2012","Delaware",8,61,"39",5,"4",2,"*",2,"*",0,"0",1,"*",0,"0",,
"2012","Florida",90,1310,"562",273,"80",105,"13",78,"11",27,"2",241,"102",42,"10",,
"2012","Georgia",72,1037,"481",190,"66",137,"22",98,"18",39,"4",56,"21",11,"3",,
"2012","Hawaii",9,71,"33",15,"6",0,"0",0,"0",0,"0",0,"0",0,"0",,
"2012","Idaho",6,39,"24",6,"3",0,"0",0,"0",0,"0",2,"*",1,"*",,
"2012","Illinois",82,1199,"819",183,"108",47,"11",33,"9",14,"2",113,"30",31,"6",,
"2012","Indiana",28,247,"152",23,"13",5,"3",5,"3",0,"0",8,"0",2,"*",,
"2012","Iowa",12,69,"53",9,"5",0,"0",0,"0",0,"0",1,"*",0,"0",,
"2012","Kansas",12,34,"23",3,"*",1,"*",1,"*",0,"0",0,"0",0,"0",,
"2012","Kentucky",30,280,"158",62,"40",5,"2",2,"*",3,"*",3,"*",1,"*",,
"2012","Louisiana",21,45,"25",4,"*",4,"*",2,"*",2,"*",2,"*",0,"0",,
"2012","Maine",24,65,"45",7,"6",0,"0",0,"0",0,"0",0,"0",0,"0",,
"2012","Maryland",108,1473,"877",276,"161",144,"35",115,"30",29,"5",63,"25",16,"5",,
"2012","Massachusetts",87,913,"559",179,"89",40,"7",31,"6",9,"1",50,"17",11,"1",,
"2012","Michigan",49,410,"315",61,"51",7,"4",6,"4",1,"*",5,"0",0,"0",,
"2012","Minnesota",32,251,"171",22,"12",3,"*",3,"*",0,"0",3,"*",0,"0",,
"2012","Mississippi",2,6,"3",0,"0",1,"*",1,"*",0,"0",0,"0",0,"0",,
"2012","Missouri",26,212,"170",22,"18",2,"*",2,"*",0,"0",0,"0",0,"0",,
"2012","Montana",0,3,"*",0,"0",0,"0",0,"0",0,"0",0,"0",0,"0",,
"2012","Nebraska",12,57,"42",3,"*",2,"*",1,"*",1,"*",2,"*",0,"0",,
"2012","Nevada",7,56,"32",12,"7",0,"0",0,"0",0,"0",5,"*",0,"0",,
"2012","New Hamphsire",17,102,"85",18,"16",1,"*",1,"*",0,"0",1,"*",0,"0",,
"2012","New Jersey",133,1235,"874",217,"146",37,"17",32,"16",5,"1",74,"43",20,"7",,
