Year,Laureate_Id,Firstname,Lastname,Category,Gender,Prize_Share,Motivation,Birth_Date,Birth_Country,Birth_City,Birth_Country_Code,Death_Date,Death_Country,Death_City,Death_Country_Code,Organization_Name,Organization_City,Organization_Country
1901,1,Wilhelm Conrad,Röntgen,physics,male,1,"""in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him""",1845-03-27,Prussia (now Germany),Lennep (now Remscheid),DE,10-02-1923,Germany,Munich,DE,Munich University,Munich,Germany
1901,293,Emil,von Behring,medicine,male,1,"""for his work on serum therapy especially its application against diphtheria by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths""",1854-03-15,Prussia (now Poland),Hansdorf (now Lawice),PL,31-03-1917,Germany,Marburg,DE,Marburg University,Marburg,Germany
1901,462,Henry,Dunant,peace,male,2,"""for his humanitarian efforts to help wounded soldiers and create international understanding""",1828-05-08,Switzerland,Geneva,CH,30-10-1910,Switzerland,Heiden,CH,,,
1901,463,Frédéric,Passy,peace,male,2,"""for his lifelong work for international peace conferences diplomacy and arbitration""",1822-05-20,France,Paris,FR,12-06-1912,France,Paris,FR,,,
1901,569,Sully,Prudhomme,literature,male,1,"""in special recognition of his poetic composition which gives evidence of lofty idealism artistic perfection and a rare combination of the qualities of both heart and intellect""",1839-03-16,France,Paris,FR,07-09-1907,France,Châtenay,FR,,,
1901,160,Jacobus H.,van 't Hoff,chemistry,male,1,"""in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions""",1852-08-30,the Netherlands,Rotterdam,NL,01-03-1911,Germany,Berlin,DE,Berlin University,Berlin,Germany
1902,161,Emil,Fischer,chemistry,male,1,"""in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses""",1852-10-09,Prussia (now Germany),Euskirchen,DE,15-07-1919,Germany,Berlin,DE,Berlin University,Berlin,Germany
1902,571,Theodor,Mommsen,literature,male,1,"""the greatest living master of the art of historical writing with special reference to his monumental work <I>A history of Rome</I>""",1817-11-30,Schleswig (now Germany),Garding,DE,01-11-1903,Germany,Charlottenburg,DE,,,
1902,465,Albert,Gobat,peace,male,2,"""for his eminently practical administration of the Inter-Parliamentary Union""",1843-05-21,Switzerland,Tramelan,CH,16-03-1914,Switzerland,Bern,CH,,,
1902,464,Élie,Ducommun,peace,male,2,"""for his untiring and skilful directorship of the Bern Peace Bureau""",1833-02-19,Switzerland,Geneva,CH,07-12-1906,Switzerland,Bern,CH,,,
1902,3,Pieter,Zeeman,physics,male,2,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",1865-05-25,the Netherlands,Zonnemaire,NL,09-10-1943,the Netherlands,Amsterdam,NL,Amsterdam University,Amsterdam,the Netherlands
1902,294,Ronald,Ross,medicine,male,1,"""for his work on malaria by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it""",1857-05-13,India,Almora,IN,16-09-1932,United Kingdom,Putney Heath,GB,University College,Liverpool,United Kingdom
1902,2,Hendrik A.,Lorentz,physics,male,2,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",1853-07-18,the Netherlands,Arnhem,NL,04-02-1928,the Netherlands,,NL,Leiden University,Leiden,the Netherlands
1903,5,Pierre,Curie,physics,male,4,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",1859-05-15,France,Paris,FR,19-04-1906,France,Paris,FR,École municipale de physique et de chimie industrielles (Municipal School of Industrial Physics and Chemistry),Paris,France
1903,466,Randal,Cremer,peace,male,1,"""for his longstanding and devoted effort in favour of the ideas of peace and arbitration""",1828-03-18,United Kingdom,Fareham,GB,22-07-1908,United Kingdom,London,GB,,,
1903,4,Henri,Becquerel,physics,male,2,"""in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity""",1852-12-15,France,Paris,FR,25-08-1908,France,,FR,École Polytechnique,Paris,France
1903,6,Marie,Curie,physics,female,4,"""in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel""",1867-11-07,Russian Empire (now Poland),Warsaw,PL,04-07-1934,France,Sallanches,FR,,,
1903,295,Niels Ryberg,Finsen,medicine,male,1,"""in recognition of his contribution to the treatment of diseases especially lupus vulgaris with concentrated light radiation whereby he has opened a new avenue for medical science""",1860-12-15,Faroe Islands (Denmark),Thorshavn,DK,24-09-1904,Denmark,Copenhagen,DK,Finsen Medical Light Institute,Copenhagen,Denmark
1903,572,Bjørnstjerne,Bjørnson,literature,male,1,"""as a tribute to his noble magnificent and versatile poetry which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit""",1832-12-08,Norway,Kvikne,NO,26-04-1910,France,Paris,FR,,,
1903,162,Svante,Arrhenius,chemistry,male,1,"""in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation""",1859-02-19,Sweden,Vik,SE,02-10-1927,Sweden,Stockholm,SE,Stockholm University,Stockholm,Sweden
1904,574,José,Echegaray,literature,male,2,"""in recognition of the numerous and brilliant compositions which in an individual and original manner have revived the great traditions of the Spanish drama""",1832-04-19,Spain,Madrid,ES,04-09-1916,Spain,Madrid,ES,,,
1904,8,Lord,Rayleigh,physics,male,1,"""for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies""",1842-11-12,United Kingdom,Langford Grove Maldon Essex,GB,30-06-1919,United Kingdom,,GB,Royal Institution of Great Britain,London,United Kingdom
1904,467,Institute of International Law,,peace,org,1,"""for its striving in public law to develop peaceful ties between nations and to make the laws of war more humane""",1873-00-00,,,,0000-00-00,,,,,,
1904,163,Sir William,Ramsay,chemistry,male,1,"""in recognition of his services in the discovery of the inert gaseous elements in air and his determination of their place in the periodic system""",1852-10-02,Scotland,Glasgow,GB,23-07-1916,United Kingdom,High Wycombe,GB,University College,London,United Kingdom
1904,296,Ivan,Pavlov,medicine,male,1,"""in recognition of his work on the physiology of digestion through which knowledge on vital aspects of the subject has been transformed and enlarged""",1849-09-14,Russia,Ryazan,RU,27-02-1936,Russia,Leningrad,RU,Military Medical Academy,St. Petersburg,Russia
1904,573,Frédéric,Mistral,literature,male,2,"""in recognition of the fresh originality and true inspiration of his poetic production which faithfully reflects the natural scenery and native spirit of his people and in addition his significant work as a Proven&ccedil;al philologist""",1830-09-08,France,Maillane,FR,25-03-1914,France,Maillane,FR,,,
1905,164,Adolf,von Baeyer,chemistry,male,1,"""in recognition of his services in the advancement of organic chemistry and the chemical industry through his work on organic dyes and hydroaromatic compounds""",1835-10-31,Prussia (now Germany),Berlin,DE,20-08-1917,Germany,Starnberg,DE,Munich University,Munich,Germany
1905,575,Henryk,Sienkiewicz,literature,male,1,"""because of his outstanding merits as an epic writer""",1846-05-05,Poland,Wola Okrzejska,PL,15-11-1916,Switzerland,Vevey,CH,,,
1905,9,Philipp,Lenard,physics,male,1,"""for his work on cathode rays""",1862-06-07,Hungary (now Slovakia),Pressburg (now Bratislava),SK,20-05-1947,Germany,Messelhausen,DE,Kiel University,Kiel,Germany
1905,468,Bertha,von Suttner,peace,female,1,"""for her audacity to oppose the horrors of war""",1843-06-09,Austrian Empire (now Czech Republic),Prague,CZ,21-06-1914,Austria,Vienna,AT,,,
1905,297,Robert,Koch,medicine,male,1,"""for his investigations and discoveries in relation to tuberculosis""",1843-12-11,Germany,Clausthal (now Clausthal-Zellerfeld),DE,27-05-1910,Germany,Baden-Baden,DE,Institute for Infectious Diseases,Berlin,Germany
1906,576,Giosuè,Carducci,literature,male,1,"""not only in consideration of his deep learning and critical research but above all as a tribute to the creative energy freshness of style and lyrical force which characterize his poetic masterpieces""",1835-07-27,Tuscany (now Italy),Val di Castello,IT,16-02-1907,Italy,Bologna,IT,,,
1906,470,Theodore,Roosevelt,peace,male,1,"""for his role in bringing to an end the bloody war recently waged between two of the world's great powers Japan and Russia""",1858-10-27,USA,New York NY,US,06-01-1919,USA,Oyster Bay NY,US,,,
1906,10,J.J.,Thomson,physics,male,1,"""in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases""",1856-12-18,United Kingdom,Cheetham Hill,GB,30-08-1940,United Kingdom,Cambridge,GB,University of Cambridge,Cambridge,United Kingdom
1906,299,Santiago,Ramón y Cajal,medicine,male,2,"""in recognition of their work on the structure of the nervous system""",1852-05-01,Spain,Petilla de Aragón,ES,17-10-1934,Spain,Madrid,ES,Madrid University,Madrid,Spain
1906,165,Henri,Moissan,chemistry,male,1,"""in recognition of the great services rendered by him in his investigation and isolation of the element fluorine and for the adoption in the service of science of the electric furnace called after him""",1852-09-28,France,Paris,FR,20-02-1907,France,Paris,FR,Sorbonne University,Paris,France
1906,298,Camillo,Golgi,medicine,male,2,"""in recognition of their work on the structure of the nervous system""",1843-07-07,Italy,Corteno,IT,21-01-1926,Italy,Pavia,IT,Pavia University,Pavia,Italy
1907,300,Alphonse,Laveran,medicine,male,1,"""in recognition of his work on the role played by protozoa in causing diseases""",1845-06-18,France,Paris,FR,18-05-1922,France,Paris,FR,Institut Pasteur,Paris,France
1907,166,Eduard,Buchner,chemistry,male,1,"""for his biochemical researches and his discovery of cell-free fermentation""",1860-05-20,Bavaria (now Germany),Munich,DE,13-08-1917,Romania,Focsani,RO,Landwirtschaftliche Hochschule (Agricultural College),Berlin,Germany
1907,577,Rudyard,Kipling,literature,male,1,"""in consideration of the power of observation originality of imagination virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author""",1865-12-30,British India (now India),Bombay (now Mumbai),IN,18-01-1936,United Kingdom,London,GB,,,
1907,472,Louis,Renault,peace,male,2,"""for his decisive influence upon the conduct and outcome of the Hague and Geneva Conferences""",1843-05-21,France,Autun,FR,08-02-1918,France,Barbizon,FR,Sorbonne University,Paris,France
1907,471,Ernesto Teodoro,Moneta,peace,male,2,"""for his work in the press and in peace meetings both public and private for an understanding between France and Italy""",1833-09-20,Austrian Empire (now Italy),Milan,IT,10-02-1918,Italy,Milan,IT,,,
1907,11,Albert A.,Michelson,physics,male,1,"""for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid""",1852-12-19,Prussia (now Poland),Strelno (now Strzelno),PL,09-05-1931,USA,Pasadena CA,US,University of Chicago,Chicago IL,USA
1908,167,Ernest,Rutherford,chemistry,male,1,"""for his investigations into the disintegration of the elements and the chemistry of radioactive substances""",1871-08-30,New Zealand,Nelson,NZ,19-10-1937,United Kingdom,Cambridge,GB,Victoria University,Manchester,United Kingdom
1908,578,Rudolf,Eucken,literature,male,1,"""in recognition of his earnest search for truth his penetrating power of thought his wide range of vision and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life""",1846-01-05,East Friesland (now Germany),Aurich,DE,14-09-1926,Germany,Jena,DE,,,
1908,474,Fredrik,Bajer,peace,male,2,"""for their long time work for the cause of peace as politicians peace society leaders orators and authors""",1837-04-21,Denmark,Næstved,DK,22-01-1922,Denmark,Copenhagen,DK,,,
1908,301,Ilya,Mechnikov,medicine,male,2,"""in recognition of their work on immunity""",1845-05-15,Russian Empire (now Ukraine),Kharkov (now Kharkiv),UA,15-07-1916,France,Paris,FR,Institut Pasteur,Paris,France
1908,302,Paul,Ehrlich,medicine,male,2,"""in recognition of their work on immunity""",1854-03-14,Prussia (now Poland),Strehlen (now Strzelin),PL,20-08-1915,Germany,Bad Homburg vor der Höhe,DE,Goettingen University,Göttingen,Germany
1908,473,Klas Pontus,Arnoldson,peace,male,2,"""for their long time work for the cause of peace as politicians peace society leaders orators and authors""",1844-10-27,Sweden,Gothenburg,SE,20-02-1916,Sweden,Stockholm,SE,,,
1908,12,Gabriel,Lippmann,physics,male,1,"""for his method of reproducing colours photographically based on the phenomenon of interference""",1845-08-16,Luxembourg,Hollerich,LU,13-07-1921,,,,Sorbonne University,Paris,France
1909,13,Guglielmo,Marconi,physics,male,2,"""in recognition of their contributions to the development of wireless telegraphy""",1874-04-25,Italy,Bologna,IT,20-07-1937,Italy,Rome,IT,Marconi Wireless Telegraph Co. Ltd.,London,United Kingdom
1909,303,Theodor,Kocher,medicine,male,1,"""for his work on the physiology pathology and surgery of the thyroid gland""",1841-08-25,Switzerland,Bern,CH,27-07-1917,Switzerland,Bern,CH,Berne University,Bern,Switzerland
1909,579,Selma,Lagerlöf,literature,female,1,"""in appreciation of the lofty idealism vivid imagination and spiritual perception that characterize her writings""",1858-11-20,Sweden,Mårbacka,SE,16-03-1940,Sweden,Mårbacka,SE,,,
1909,168,Wilhelm,Ostwald,chemistry,male,1,"""in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction""",1853-09-02,Russian Empire (now Latvia),Riga,LV,04-04-1932,Germany,Leipzig,DE,Leipzig University,Leipzig,Germany
1909,14,Ferdinand,Braun,physics,male,2,"""in recognition of their contributions to the development of wireless telegraphy""",1850-06-06,Hesse-Kassel (now Germany),Fulda,DE,20-04-1918,USA,Brooklyn NY,US,Strasbourg University,Strasbourg,Germany (now France)
1909,475,Auguste,Beernaert,peace,male,2,"""for their prominent position in the international movement for peace and arbitration""",1829-07-26,Belgium,Ostend,BE,06-10-1912,Switzerland,Lucerne,CH,,,
1909,476,Paul Henri,d'Estournelles de Constant,peace,male,2,"""for their prominent position in the international movement for peace and arbitration""",1852-11-22,France,La Flèche,FR,15-05-1924,France,Paris,FR,,,
1910,580,Paul,Heyse,literature,male,1,"""as a tribute to the consummate artistry permeated with idealism which he has demonstrated during his long productive career as a lyric poet dramatist novelist and writer of world-renowned short stories""",1830-03-15,Prussia (now Germany),Berlin,DE,02-04-1914,Germany,Munich,DE,,,
1910,477,Permanent International Peace Bureau,,peace,org,1,"""for acting as a link between the peace societies of the various countries and helping them to organize the world rallies of the international peace movement""",1891-00-00,,,,0000-00-00,,,,,,
1910,15,Johannes Diderik,van der Waals,physics,male,1,"""for his work on the equation of state for gases and liquids""",1837-11-23,the Netherlands,Leiden,NL,08-03-1923,the Netherlands,Amsterdam,NL,Amsterdam University,Amsterdam,the Netherlands
1910,304,Albrecht,Kossel,medicine,male,1,"""in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins including the nucleic substances""",1853-09-16,Mecklenburg (now Germany),Rostock,DE,05-07-1927,Germany,Heidelberg,DE,University of Heidelberg,Heidelberg,Germany
1910,169,Otto,Wallach,chemistry,male,1,"""in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds""",1847-03-27,Germany (now Russia),Koenigsberg (now Kaliningrad),RU,26-02-1931,Germany,Göttingen,DE,Goettingen University,Göttingen,Germany
1911,479,Alfred,Fried,peace,male,2,"""for his effort to expose and fight what he considers to be the main cause of war namely the anarchy in international relations""",1864-11-11,Austria,Vienna,AT,04-05-1921,Austria,Vienna,AT,,,
1911,478,Tobias,Asser,peace,male,2,"""for his role as co-founder of the Institut de droit international initiator of the Conferences on International Private Law (Conférences de Droit international privé) at the Hague and pioneer in the field of international legal relations""",1838-04-28,the Netherlands,Amsterdam,NL,29-07-1913,the Netherlands,the Hague,NL,,,
1911,6,Marie,Curie,chemistry,female,1,"""in recognition of her services to the advancement of chemistry by the discovery of the elements radium and polonium by the isolation of radium and the study of the nature and compounds of this remarkable element""",1867-11-07,Russian Empire (now Poland),Warsaw,PL,04-07-1934,France,Sallanches,FR,Sorbonne University,Paris,France
1911,16,Wilhelm,Wien,physics,male,1,"""for his discoveries regarding the laws governing the radiation of heat""",1864-01-13,Prussia (now Russia),Gaffken (now Parusnoye),RU,30-08-1928,Germany,Munich,DE,Würzburg University,Würzburg,Germany
1911,581,Maurice,Maeterlinck,literature,male,1,"""in appreciation of his many-sided literary activities and especially of his dramatic works which are distinguished by a wealth of imagination and by a poetic fancy which reveals sometimes in the guise of a fairy tale a deep inspiration while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations""",1862-08-29,Belgium,Ghent,BE,06-05-1949,France,Nice,FR,,,
1911,305,Allvar,Gullstrand,medicine,male,1,"""for his work on the dioptrics of the eye""",1862-06-05,Sweden,Landskrona,SE,28-07-1930,Sweden,Stockholm,SE,Uppsala University,Uppsala,Sweden
1912,582,Gerhart,Hauptmann,literature,male,1,"""primarily in recognition of his fruitful varied and outstanding production in the realm of dramatic art""",1862-11-15,Prussia (now Poland),Bad Salzbrunn,PL,06-06-1946,Germany (now Poland),Agnetendorf (now Jagniatków),PL,,,
1912,306,Alexis,Carrel,medicine,male,1,"""in recognition of his work on vascular suture and the transplantation of blood vessels and organs""",1873-06-28,France,Sainte-Foy-lès-Lyon,FR,05-11-1944,France,Paris,FR,Rockefeller Institute for Medical Research,New York NY,USA
1912,173,Paul,Sabatier,chemistry,male,2,"""for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years""",1854-11-05,France,Carcassonne,FR,14-08-1941,France,Toulouse,FR,Toulouse University,Toulouse,France
1912,172,Victor,Grignard,chemistry,male,2,"""for the discovery of the so-called Grignard reagent which in recent years has greatly advanced the progress of organic chemistry""",1871-05-06,France,Cherbourg,FR,13-12-1935,France,Lyon,FR,Nancy University,Nancy,France
1912,17,Gustaf,Dalén,physics,male,1,"""for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys""",1869-11-30,Sweden,Stenstorp,SE,09-12-1937,Sweden,Stockholm,SE,Swedish Gas-Accumulator Co.,Lidingö Stockholm,Sweden
1912,480,Elihu,Root,peace,male,1,"""for bringing about better understanding between the countries of North and South America and initiating important arbitration agreements between the United States and other countries""",1845-02-15,USA,Clinton NY,US,07-02-1937,USA,New York NY,US,,,
1913,307,Charles,Richet,medicine,male,1,"""in recognition of his work on anaphylaxis""",1850-08-26,France,Paris,FR,04-12-1935,France,Paris,FR,Sorbonne University,Paris,France
1913,174,Alfred,Werner,chemistry,male,1,"""in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry""",1866-12-12,France,Mulhouse,FR,15-11-1919,Switzerland,Zurich,CH,University of Zurich,Zurich,Switzerland
1913,481,Henri,La Fontaine,peace,male,1,"""for his unparalleled contribution to the organization of peaceful internationalism""",1854-04-22,Belgium,Brussels,BE,14-05-1943,Belgium,Brussels,BE,,,
1913,583,Rabindranath,Tagore,literature,male,1,"""because of his profoundly sensitive fresh and beautiful verse by which with consummate skill he has made his poetic thought expressed in his own English words a part of the literature of the West""",1861-05-07,India,Calcutta,IN,07-08-1941,India,Calcutta,IN,,,
1913,18,Heike,Kamerlingh Onnes,physics,male,1,"""for his investigations on the properties of matter at low temperatures which led inter alia to the production of liquid helium""",1853-09-21,the Netherlands,Groningen,NL,21-02-1926,the Netherlands,Leiden,NL,Leiden University,Leiden,the Netherlands
1914,19,Max,von Laue,physics,male,1,"""for his discovery of the diffraction of X-rays by crystals""",1879-10-09,Germany,Pfaffendorf,DE,23-04-1960,West Germany (now Germany),Berlin,DE,Frankfurt-on-the-Main University,Frankfurt-on-the-Main,Germany
1914,308,Robert,Bárány,medicine,male,1,"""for his work on the physiology and pathology of the vestibular apparatus""",1876-04-22,Austria,Vienna,AT,08-04-1936,Sweden,Uppsala,SE,Vienna University,Vienna,Austria
1914,175,Theodore W.,Richards,chemistry,male,1,"""in recognition of his accurate determinations of the atomic weight of a large number of chemical elements""",1868-01-31,USA,Germantown PA,US,02-04-1928,USA,Cambridge MA,US,Harvard University,Cambridge MA,USA
1915,20,William,Bragg,physics,male,2,"""for their services in the analysis of crystal structure by means of X-rays""",1862-07-02,United Kingdom,Wigton,GB,12-03-1942,United Kingdom,London,GB,University College,London,United Kingdom
1915,21,Lawrence,Bragg,physics,male,2,"""for their services in the analysis of crystal structure by means of X-rays""",1890-03-31,Australia,Adelaide,AU,01-07-1971,United Kingdom,Ipswich,GB,Victoria University,Manchester,United Kingdom
1915,176,Richard,Willstätter,chemistry,male,1,"""for his researches on plant pigments especially chlorophyll""",1872-08-13,Germany,Karlsruhe,DE,03-08-1942,Switzerland,Locarno,CH,Kaiser-Wilhelm-Institut (now Max-Planck Institut) für Chemie,Berlin-Dahlem,Germany
1915,584,Romain,Rolland,literature,male,1,"""as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings""",1866-01-29,France,Clamecy,FR,30-12-1944,France,Vézelay,FR,,,
1916,585,Verner,von Heidenstam,literature,male,1,"""in recognition of his significance as the leading representative of a new era in our literature""",1859-07-06,Sweden,Olshammar,SE,20-05-1940,Sweden,Övralid,SE,,,
1917,482,International Committee of the Red Cross,,peace,org,1,"""for the efforts to take care of wounded soldiers and prisoners of war and their families""",1863-00-00,,,,0000-00-00,,,,,,
1917,22,Charles Glover,Barkla,physics,male,1,"""for his discovery of the characteristic R&ouml;ntgen radiation of the elements""",1877-06-07,United Kingdom,Widnes,GB,23-10-1944,Scotland,Edinburgh,GB,Edinburgh University,Edinburgh,United Kingdom
1917,586,Karl,Gjellerup,literature,male,2,"""for his varied and rich poetry which is inspired by lofty ideals""",1857-06-02,Denmark,Roholte,DK,11-10-1919,Germany,Klotzsche,DE,,,
1917,587,Henrik,Pontoppidan,literature,male,2,"""for his authentic descriptions of present-day life in Denmark""",1857-07-24,Denmark,Fredericia,DK,21-08-1943,Denmark,Ordrup,DK,,,
1918,23,Max,Planck,physics,male,1,"""in recognition of the services he rendered to the advancement of Physics by his discovery of energy quanta""",1858-04-23,Schleswig (now Germany),Kiel,DE,04-10-1947,West Germany (now Germany),Göttingen,DE,Berlin University,Berlin,Germany
1918,177,Fritz,Haber,chemistry,male,1,"""for the synthesis of ammonia from its elements""",1868-12-09,Prussia (now Poland),Breslau (now Wroclaw),PL,29-01-1934,Switzerland,Basel,CH,Kaiser-Wilhelm-Institut (now Fritz-Haber-Institut) für physikalische Chemie und Electrochemie,Berlin-Dahlem,Germany
1919,483,Woodrow,Wilson,peace,male,1,"""for his role as founder of the League of Nations""",1856-12-28,USA,Staunton VA,US,03-02-1924,USA,Washington D.C.,US,,,
1919,309,Jules,Bordet,medicine,male,1,"""for his discoveries relating to immunity""",1870-06-13,Belgium,Soignies,BE,06-04-1961,Belgium,Brussels,BE,Brussels University,Brussels,Belgium
1919,24,Johannes,Stark,physics,male,1,"""for his discovery of the Doppler effect in canal rays and the splitting of spectral lines in electric fields""",1874-04-15,Germany,Schickenhof,DE,21-06-1957,West Germany (now Germany),Traunstein,DE,Greifswald University,Greifswald,Germany
