Name,Variation,Body Title,Pattern,Pattern Title,DIY,Customize,Kit Cost,Buy,Sell,Color 1,Color 2,Size,Source,Version,Catalog,Filename,Variant ID,Internal ID,Unique Entry ID
Admiral's photo,Natural wood,Frame,NA,NA,No,Yes,1,NFS,10,Green,Blue,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlBrd06_Remake_0_0,0_0,6626,QPR5b8GPW4TpNDErv
Admiral's photo,Dark wood,Frame,NA,NA,No,Yes,1,NFS,10,Green,Blue,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlBrd06_Remake_1_0,1_0,6626,2mPFGZg5voRQPPywP
Admiral's photo,Pastel,Frame,NA,NA,No,Yes,1,NFS,10,Green,Blue,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlBrd06_Remake_2_0,2_0,6626,MaYsPpzQ7goTdZxyk
Admiral's photo,White,Frame,NA,NA,No,Yes,1,NFS,10,Green,Blue,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlBrd06_Remake_3_0,3_0,6626,aLPtG7KDGZvFjs4pb
Admiral's photo,Pop,Frame,NA,NA,No,Yes,1,NFS,10,Green,Blue,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlBrd06_Remake_4_0,4_0,6626,36eafotwE2YtogcHS
Admiral's photo,Colorful,Frame,NA,NA,No,Yes,1,NFS,10,Green,Blue,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlBrd06_Remake_5_0,5_0,6626,AEPKL9Ss5g9KoseEt
Admiral's photo,Silver,Frame,NA,NA,No,Yes,1,NFS,10,Green,Blue,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlBrd06_Remake_6_0,6_0,6626,t5ekqLdJHSJRhfSh5
Admiral's photo,Gold,Frame,NA,NA,No,Yes,1,NFS,10,Green,Blue,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlBrd06_Remake_7_0,7_0,6626,mG5Qvu9ydLKh5f6zP
Agent S's photo,Natural wood,Frame,NA,NA,No,Yes,1,NFS,10,Blue,Gray,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlSqu05_Remake_0_0,0_0,6709,ajFvDMZMfMgAgcpk8
Agent S's photo,Dark wood,Frame,NA,NA,No,Yes,1,NFS,10,Blue,Gray,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlSqu05_Remake_1_0,1_0,6709,2tCrrFyttoA4LtMJi
Agent S's photo,Pastel,Frame,NA,NA,No,Yes,1,NFS,10,Blue,Gray,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlSqu05_Remake_2_0,2_0,6709,k5LqupBSGSfP3Htea
Agent S's photo,White,Frame,NA,NA,No,Yes,1,NFS,10,Blue,Gray,1x1,High Friendship,1.0.0,Not in catalog,BromideNpcNmlSqu05_Remake_3_0,3_0,6709,d3LgDHw7Cy3XCRXYs
