Country,Yield (hg/ha),Area harvested (ha)
Afghanistan,808952,167842553
Africa,692014,4829674858
Albania,1651049,14972582
Algeria,534659,158067578
Americas,2135761,7502921817
Angola,362959,64620297
Antigua and Barbuda,959479,1646
Argentina,1664144,625029147
Armenia,580120,4631043
Australia,924103,883950651
Austria,2854287,52343526
Azerbaijan,640056,21901039
Bahamas,1584443,19321
Bangladesh,1584186,630579317
Barbados,1497173,25747
Belarus,741347,64248923
Belgium,1664153,6096588
Belgium-Luxembourg,2032873,16692803
Belize,1216282,1046459
Benin,535292,43250490
Bhutan,1024100,5033178
Bolivia,846996,41420983
Bosnia and Herzegovina,1025865,8310119
Botswana,213978,7277428
Brazil,1396489,1085579858
Brunei,845760,94085
Bulgaria,1985439,118807689
Burkina Faso,442100,158870718
Burundi,689164,11796653
Cambodia,1046092,119404474
Cameroon,706005,65649553
Canada,1486515,1047555096
Cape Verde,214117,1379750
Caribbean,1043739,51492821
Central African Republic,502362,9157627
Central America,1325172,694641339
Chad,380954,97024315
Chile,2203058,43412506
China,2270264,5338709654
Colombia,1571983,71039682
Comoros,704925,967971
Congo,458304,1224185
Costa Rica,1587453,5656800
Cote d'Ivoire,740647,55202238
Croatia,1388833,15429492
Cuba,1286575,15765731
Cyprus,926928,4232358
Czechia,1241554,39894775
Czechoslovakia,1156424,82130297
Democratic Republic of Congo,444351,101104503
Denmark,2948089,92161170
Djibouti,694422,234
Dominica,792000,7653
Dominican Republic,1955524,8524988
Ecuador,1151220,41211000
Egypt,3164440,139315196
El Salvador,1118909,21653603
Eritrea,144004,10842718
Estonia,667052,8472358
Eswatini,707278,4373698
Ethiopia,418172,218334898
Ethiopia PDR,307280,171181920
Fiji,1302062,487194
Finland,1669388,65674599
France,3225279,541484484
French Guiana,1683226,190658
Gabon,900789,841460
Gambia,620575,7273460
Georgia,543057,6773877
Germany,3043397,409680794
Ghana,674673,64627105
Greece,1870792,81512150
Grenada,554749,24583
Guadeloupe,315541,6941
Guam,1425399,878
Guatemala,974382,43365728
Guinea,812367,63447120
Guinea-Bissau,640884,7481770
Guyana,1858926,6764812
Haiti,587758,26524594
Honduras,797786,23675327
Hong Kong,1010368,110229
Hungary,2447819,169680654
Iceland,157090,9013
India,1084513,5799702042
Indonesia,1994867,796116139
Iran,888928,470453041
Iraq,674348,142002040
Ireland,3371216,19445291
Israel,1466439,6434679
Italy,2366197,268794646
Jamaica,781707,205755
Japan,3247247,155142709
Jordan,604337,8151014
Kazakhstan,292729,408746127
Kenya,873937,111855195
Kuwait,3067083,42069
Kyrgyzstan,703353,16130096
Laos,1390088,45470608
Latvia,725039,14329271
Lebanon,1078162,3194775
Lesotho,447457,12294586
Liberia,653677,10594084
Libya,320314,24352458
Lithuania,793095,29522444
Luxembourg,1074773,545679
Madagascar,1270116,73557625
Malawi,748202,81531005
Malaysia,1694331,39634062
Maldives,775067,9256
Mali,582441,143509587
Malta,1898769,159067
Mauritania,404110,11897590
Mauritius,2320778,21236
Melanesia,1373327,803128
Mexico,1403285,568536987
Micronesia (country),385978,3606
Micronesia (region),815748,7833
Middle Africa,460086,339665189
Moldova,749641,24373812
Mongolia,529949,23444594
Montenegro,410471,26198
Montserrat,1693568,786
Morocco,635974,284478491
Mozambique,422116,89315848
Myanmar,1547265,362520318
Namibia,220300,13397927
Nepal,1150580,158962771
Netherlands,3772571,14801816
New Caledonia,1701229,49250
New Zealand,3081778,9580421
Nicaragua,893396,20610342
Niger,243031,346133416
Nigeria,662909,794202254
North Korea,1990657,84499045
North Macedonia,817425,5207420
Norway,2042731,17564904
Oman,2424163,246609
Pakistan,1102786,660513573
Palestine,444321,707476
Panama,1068511,10096093
Papua New Guinea,1709697,132722
Paraguay,1190970,36712128
Peru,1539774,54680713
Philippines,1250416,377269634
Poland,1639458,479975499
Portugal,1247453,53448623
Puerto Rico,1677022,112449
Qatar,1915869,38522
Reunion,3411062,139589
Romania,1653028,346254619
Russia,528459,1169447240
Rwanda,711930,14946028
Saint Lucia,184914,675
Saint Vincent and the Grenadines,5020836,10351
Sao Tome and Principe,1055464,43241
Saudi Arabia,1826440,28732125
Senegal,468920,70694918
Serbia,624509,23789894
Serbia and Montenegro,518594,31113666
Sierra Leone,752282,27610676
Slovakia,1132685,20488243
Slovenia,1447332,2724154
Solomon Islands,1637922,62518
Somalia,332078,31493558
South Africa,1329281,325443468
South Korea,3112798,86775898
South Sudan,56589,7744758
Spain,1426930,404335674
Sri Lanka,1645411,48628377
Sudan,43945,67049262
Sudan (former),312170,295898430
Suriname,2209214,3024633
Sweden,2378277,74045516
Switzerland,3108118,10128273
Syria,677729,160289457
Taiwan,2868343,32396143
Tajikistan,578021,10291497
Tanzania,694363,190571733
Thailand,1375031,600632941
Timor,966425,3607941
Togo,516114,36385599
Trinidad and Tobago,1406225,261605
Tunisia,626205,73858004
Turkey,1200472,757447587
Turkmenistan,498901,24213958
USSR,428829,3604990295
Uganda,843247,75054421
Ukraine,823062,368559139
United Arab Emirates,5351936,20346
United Kingdom,3292004,201114487
United States,2885958,3614603795
Uruguay,1496368,39455091
Uzbekistan,963464,47298686
Vanuatu,302536,71441
Venezuela,1411119,46107546
Vietnam,1933934,397890213
Western Sahara,351565,134081
Yemen,513295,51091423
Yugoslavia,975715,145951898
Zambia,929366,53467933
Zimbabwe,597001,98684973
