personLabel,birth,death,age,genderLabel
Abdul Ahad Mohmand,1959-01-01T00:00:00Z,,,male
Abdulmohsen Al-Bassam,1948-12-12T00:00:00Z,,,male
Abigail Harrison,1997-06-11T00:00:00Z,,,female
Akihiko Hoshide,1968-12-28T00:00:00Z,,,male
Alan Bean,1932-03-15T00:00:00Z,2018-05-26T00:00:00Z,86,male
Alan Eugene Johnston,1962-12-07T00:00:00Z,,,male
Alan G. Poindexter,1961-11-05T00:00:00Z,2012-07-01T00:00:00Z,51,male
Alan Shepard,1923-11-18T00:00:00Z,1998-07-21T00:00:00Z,75,male
Albert Sacco,1949-05-03T00:00:00Z,,,male
Albert Scott Crossfield,1921-10-02T00:00:00Z,2006-04-19T00:00:00Z,85,male
Aleksandr Aleksandrovich Skvortsov,1966-05-06T00:00:00Z,,,male
Aleksandr Aleksandrovich Volkov,1948-05-27T00:00:00Z,,,male
Aleksandr Ivanchenkov,1940-09-28T00:00:00Z,,,male
Aleksandr Kaleri,1956-05-13T00:00:00Z,,,male
Aleksandr Laveykin,1951-04-21T00:00:00Z,,,male
Aleksandr Lazutkin,1957-10-30T00:00:00Z,,,male
Aleksandr Nikolayevich Balandin,1953-07-30T00:00:00Z,,,male
Aleksandr Panayotov Aleksandrov,1951-12-01T00:00:00Z,,,male
Aleksandr Pavlovich Aleksandrov,1943-02-20T00:00:00Z,,,male
Aleksandr Poleshchuk,1953-10-30T00:00:00Z,,,male
Aleksandr Samokutyayev,1970-03-13T00:00:00Z,,,male
Aleksandr Serebrov,1944-02-15T00:00:00Z,2013-11-12T00:00:00Z,69,male
Aleksandr Viktorenko,1947-03-29T00:00:00Z,,,male
Aleksei Gubarev,1931-03-29T00:00:00Z,2015-02-21T00:00:00Z,84,male
Aleksei Yeliseyev,1934-07-13T00:00:00Z,,,male
Aleksej Homenčuk,1975-01-07T00:00:00Z,,,male
Aleksey Ovchinin,1971-09-28T00:00:00Z,,,male
Alexander Gerst,1976-05-03T00:00:00Z,,,male
Alexander Jabloncev,1955-04-03T00:00:00Z,2012-05-09T00:00:00Z,57,male
Alexander Misurkin,1977-09-23T00:00:00Z,,,male
Alexander William Dunlap,1960-07-15T00:00:00Z,,,male
Alexey Leonov,1934-05-30T00:00:00Z,2019-10-11T00:00:00Z,85,male
Alfred Worden,1932-02-07T00:00:00Z,2020-03-18T00:00:00Z,88,male
Alvin Drew,1962-11-05T00:00:00Z,,,male
Alyssa Carson,2001-03-10T00:00:00Z,,,female
Anatoli Ivanishin,1969-01-15T00:00:00Z,,,male
Anatoli Kartashov,1932-08-25T00:00:00Z,2005-12-11T00:00:00Z,73,male
Anatoli Levchenko,1941-05-21T00:00:00Z,1988-08-06T00:00:00Z,47,male
Anatoly Artsebarsky,1956-09-09T00:00:00Z,,,male
Anatoly Berezovoy,1942-04-11T00:00:00Z,2014-09-20T00:00:00Z,72,male
