date,time,temperature_fahrenheit,dew_point_fahrenheit,humidity_percentage,wind,wind_speed_mph,wind_gust_mph,pressure_in,precip._in,condition
1/1/23,0:00:00,66,59,78,CALM,0,0,30.06,0,Fog
1/1/23,0:30:00,66,59,78,CALM,0,0,30.03,0,Fog
1/1/23,1:00:00,66,61,83,CALM,0,0,30.03,0,Fog
1/1/23,1:30:00,64,61,88,CALM,0,0,30.03,0,Fog
1/1/23,2:00:00,64,61,88,CALM,0,0,30.03,0,Fog
1/1/23,2:30:00,64,61,88,ENE,5,0,30,0,Fog
1/1/23,3:00:00,63,59,88,NE,5,0,30,0,Fog
1/1/23,3:30:00,63,59,88,NE,6,0,30,0,Fog
1/1/23,4:00:00,63,61,94,NE,3,0,30.03,0,Fog
1/1/23,4:30:00,61,59,94,CALM,0,0,30.03,0,Fog
1/1/23,5:00:00,61,59,94,CALM,0,0,30.03,0,Fog
1/1/23,5:30:00,61,59,94,CALM,0,0,30.03,0,Fog
1/1/23,6:00:00,61,59,94,CALM,0,0,30.03,0,Fog
1/1/23,6:30:00,59,57,94,CALM,0,0,30.06,0,Fog
1/1/23,7:00:00,59,57,94,CALM,0,0,30.06,0,Fog
1/1/23,7:30:00,61,59,94,CALM,0,0,30.09,0,Fog
1/1/23,8:00:00,63,61,94,CALM,0,0,30.09,0,Fog
1/1/23,8:30:00,63,61,94,CALM,0,0,30.12,0,Fog
1/1/23,9:00:00,63,61,94,CALM,0,0,30.12,0,Fog
1/1/23,9:30:00,63,61,94,NE,6,0,30.12,0,Fog
1/1/23,10:00:00,64,63,94,CALM,0,0,30.12,0,Fog
1/1/23,10:30:00,64,61,88,CALM,0,0,30.12,0,Fog
1/1/23,11:00:00,66,63,88,E,5,0,30.12,0,Fog
1/1/23,11:30:00,66,63,88,ESE,6,0,30.12,0,Fog
1/1/23,12:00:00,68,63,83,E,5,0,30.09,0,Fog
1/1/23,12:30:00,70,63,78,E,6,0,30.06,0,Fog
1/1/23,13:00:00,70,63,78,ENE,6,0,30.06,0,Fog
1/1/23,13:30:00,72,63,73,ENE,6,0,30.03,0,Haze
1/1/23,14:00:00,72,61,69,ENE,9,0,30.03,0,Haze
1/1/23,14:30:00,72,61,69,NNE,7,0,30,0,Haze
1/1/23,15:00:00,73,59,61,NE,8,0,30,0,Haze
1/1/23,15:30:00,73,57,57,CALM,0,0,30,0,Haze
1/1/23,16:00:00,73,55,53,CALM,0,0,30,0,Haze
1/1/23,16:30:00,73,57,57,CALM,0,0,30,0,Haze
1/1/23,17:00:00,72,55,57,CALM,0,0,30,0,Haze
1/1/23,17:30:00,72,55,57,CALM,0,0,30,0,Haze
1/1/23,18:00:00,70,55,60,CALM,0,0,30,0,Haze
1/1/23,18:30:00,70,55,60,CALM,0,0,30.03,0,Haze
1/1/23,19:00:00,68,55,64,CALM,0,0,30.03,0,Haze
1/1/23,19:30:00,68,55,64,CALM,0,0,30.03,0,Haze
1/1/23,20:00:00,68,57,68,CALM,0,0,30.06,0,Haze
1/1/23,20:30:00,68,59,73,ENE,3,0,30.06,0,Haze
1/1/23,21:00:00,68,59,73,ENE,3,0,30.06,0,Haze
1/1/23,21:30:00,68,59,73,ENE,3,0,30.06,0,Haze
1/1/23,22:00:00,68,59,73,CALM,0,0,30.06,0,Haze
1/1/23,22:30:00,68,59,73,CALM,0,0,30.06,0,Haze
1/1/23,23:00:00,68,59,73,CALM,0,0,30.06,0,Haze
1/1/23,23:30:00,68,59,73,CALM,0,0,30.06,0,Haze
1/2/23,0:00:00,68,61,78,CALM,0,0,30.03,0,Fog
1/2/23,0:30:00,66,59,78,CALM,0,0,30.03,0,Fog
1/2/23,1:00:00,66,59,78,CALM,0,0,30.03,0,Fog
1/2/23,1:30:00,66,59,78,CALM,0,0,30.03,0,Fog
1/2/23,2:00:00,66,59,78,CALM,0,0,30.03,0,Fog
1/2/23,2:30:00,66,61,83,CALM,0,0,30,0,Fog
1/2/23,3:00:00,64,59,83,CALM,0,0,30,0,Fog
1/2/23,3:30:00,63,59,88,CALM,0,0,30,0,Fog
1/2/23,4:00:00,63,59,88,CALM,0,0,30,0,Fog
1/2/23,4:30:00,63,59,88,CALM,0,0,30,0,Fog
1/2/23,5:00:00,63,61,94,CALM,0,0,30,0,Fog
1/2/23,6:00:00,61,59,94,CALM,0,0,30.03,0,Fog
1/2/23,6:30:00,59,57,94,CALM,0,0,30.03,0,Fog
1/2/23,7:00:00,59,57,94,CALM,0,0,30.06,0,Fog
1/2/23,7:30:00,59,57,94,CALM,0,0,30.06,0,Fog
1/2/23,8:00:00,61,59,94,CALM,0,0,30.09,0,Fog
1/2/23,8:30:00,63,61,94,CALM,0,0,30.09,0,Fog
1/2/23,9:00:00,64,61,88,CALM,0,0,30.12,0,Fog
1/2/23,9:30:00,66,63,88,CALM,0,0,30.12,0,Fog
1/2/23,10:00:00,68,63,83,CALM,0,0,30.12,0,Fog
1/2/23,10:30:00,70,63,78,WNW,6,0,30.12,0,Fog
1/2/23,11:00:00,72,64,78,N,5,0,30.12,0,Fog
1/2/23,11:30:00,72,64,78,NNW,6,0,30.09,0,Fog
1/2/23,12:00:00,73,64,73,NNW,3,0,30.09,0,Haze
1/2/23,12:30:00,73,63,69,NNW,3,0,30.06,0,Haze
1/2/23,13:00:00,73,63,69,NNW,7,0,30.06,0,Haze
1/2/23,13:30:00,73,61,65,NW,9,0,30.03,0,Haze
1/2/23,14:00:00,75,61,61,NNW,6,0,30.03,0,Haze
1/2/23,14:30:00,75,59,57,NNW,6,0,30,0,Haze
1/2/23,15:00:00,75,59,57,N,6,0,30,0,Haze
1/2/23,15:30:00,75,59,57,NNW,6,0,30,0,Haze
1/2/23,16:00:00,75,57,53,NNW,6,0,30,0,Haze
1/2/23,16:30:00,75,57,53,N,7,0,30,0,Haze
1/2/23,17:00:00,75,59,57,NNW,5,0,30,0,Haze
1/2/23,17:30:00,75,57,53,W,5,0,30.03,0,Haze
1/2/23,18:00:00,73,57,57,CALM,0,0,30.03,0,Haze
1/2/23,18:30:00,72,57,60,CALM,0,0,30.03,0,Haze
1/2/23,19:00:00,72,57,60,CALM,0,0,30.06,0,Haze
1/2/23,19:30:00,72,57,60,CALM,0,0,30.06,0,Haze
1/2/23,20:00:00,72,57,60,CALM,0,0,30.06,0,Haze
1/2/23,20:30:00,72,57,60,CALM,0,0,30.09,0,Haze
1/2/23,21:00:00,72,57,60,CALM,0,0,30.09,0,Haze
1/2/23,21:30:00,68,55,64,CALM,0,0,30.09,0,Haze
1/2/23,22:00:00,68,57,68,CALM,0,0,30.09,0,Haze
1/2/23,22:30:00,68,57,68,CALM,0,0,30.09,0,Haze
1/2/23,23:00:00,66,55,68,CALM,0,0,30.09,0,Haze
1/2/23,23:30:00,66,57,73,CALM,0,0,30.09,0,Haze
1/3/23,0:00:00,66,57,73,CALM,0,0,30.09,0,Haze
1/3/23,0:30:00,66,57,73,CALM,0,0,30.09,0,Haze
1/3/23,1:00:00,66,57,73,CALM,0,0,30.06,0,Haze
1/3/23,1:30:00,66,59,78,CALM,0,0,30.06,0,Fog
1/3/23,2:00:00,66,59,78,CALM,0,0,30.06,0,Fog
1/3/23,2:30:00,64,57,77,CALM,0,0,30.03,0,Fog
1/3/23,3:00:00,64,57,77,CALM,0,0,30.03,0,Fog
1/3/23,3:30:00,64,59,83,CALM,0,0,30.03,0,Fog
1/3/23,4:00:00,63,57,82,CALM,0,0,30.03,0,Fog
1/3/23,4:30:00,63,57,82,CALM,0,0,30.03,0,Fog
1/3/23,5:00:00,63,59,88,CALM,0,0,30.03,0,Fog
1/3/23,5:30:00,61,57,88,CALM,0,0,30.03,0,Fog
1/3/23,6:00:00,61,57,88,CALM,0,0,30.03,0,Fog
1/3/23,6:30:00,61,57,88,CALM,0,0,30.06,0,Fog
1/3/23,7:00:00,61,57,88,CALM,0,0,30.09,0,Fog
1/3/23,7:30:00,61,55,82,WNW,7,0,30.09,0,Fog
1/3/23,8:00:00,61,59,94,W,7,0,30.12,0,Fog
1/3/23,8:30:00,63,61,94,WNW,8,0,30.12,0,Fog
1/3/23,9:00:00,64,63,94,NW,7,0,30.12,0,Fog
1/3/23,9:30:00,66,64,94,NW,9,0,30.15,0,Fog
1/3/23,10:00:00,66,64,94,NNW,7,0,30.15,0,Fog
1/3/23,10:30:00,68,64,88,NW,8,0,30.12,0,Fog
1/3/23,11:00:00,70,68,94,WNW,6,0,30.12,0,Fog
1/3/23,11:30:00,72,70,94,NNW,5,0,30.12,0,Fog
1/3/23,12:00:00,73,72,94,WNW,9,0,30.09,0,Fog
1/3/23,12:30:00,75,72,89,W,9,0,30.06,0,Fog
1/3/23,13:00:00,75,70,83,WNW,7,0,30.06,0,Fog
1/3/23,13:30:00,75,70,83,NNW,9,0,30.03,0,Fog
1/3/23,14:00:00,75,68,78,W,9,0,30.03,0,Fog
1/3/23,14:30:00,75,66,73,WNW,1,0,30,0,Fog
1/3/23,15:00:00,75,64,69,WNW,1,0,30,0,Haze
