League,Season,Stage,Player,Team,GP,MIN,FGM,FGA,3PM,3PA,FTM,FTA,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,birth_year,birth_month,birth_date,height,height_cm,weight,weight_kg,nationality,high_school,draft_round,draft_pick,draft_team
NBA,1999 - 2000,Regular_Season,Shaquille O'Neal,LAL,79,3163.0,956,1665,0,1,432,824,223,255,336,742,1078,299,36,239,2344,1972,Mar,"Mar 6, 1972",7-1,216,325,147,United States,Robert G. Cole High School ,1,1,Orlando Magic
NBA,1999 - 2000,Regular_Season,Vince Carter,TOR,82,3126.0,788,1696,95,236,436,551,178,263,150,326,476,322,110,92,2107,1977,Jan,"Jan 26, 1977",6-6,198,220,100,United States,Mainland High School,1,5,Golden State Warriors
NBA,1999 - 2000,Regular_Season,Karl Malone,UTA,82,2947.0,752,1476,2,8,589,739,231,229,169,610,779,304,79,71,2095,1963,Jul,"Jul 24, 1963",6-9,206,265,120,United States,Summerfield High School,1,13,Utah Jazz
NBA,1999 - 2000,Regular_Season,Allen Iverson,PHI,70,2853.0,729,1733,89,261,442,620,230,162,71,196,267,328,144,5,1989,1975,Jun,"Jun 7, 1975",6-0,183,165,75,United States,Bethel High School ,1,1,Philadelphia Sixers
NBA,1999 - 2000,Regular_Season,Gary Payton,SEA,82,3425.0,747,1666,177,520,311,423,224,178,100,429,529,732,153,18,1982,1968,Jul,"Jul 23, 1968",6-4,193,180,82,United States,Skyline High School,1,2,Seattle SuperSonics
NBA,1999 - 2000,Regular_Season,Jerry Stackhouse,DET,82,3148.0,619,1447,83,288,618,758,311,188,118,197,315,365,103,36,1939,1974,Nov,"Nov 5, 1974",6-6,198,218,99,United States,Oak Hill Academy,1,3,Philadelphia Sixers
NBA,1999 - 2000,Regular_Season,Grant Hill,DET,74,2776.0,696,1422,34,98,480,604,240,190,97,393,490,385,103,43,1906,1972,Oct,"Oct 5, 1972",6-8,203,225,102,United States,South Lakes High School,1,3,Detroit Pistons
NBA,1999 - 2000,Regular_Season,Kevin Garnett,MIN,81,3243.0,759,1526,30,81,309,404,268,205,223,733,956,401,120,126,1857,1976,May,"May 19, 1976",6-11,211,240,109,United States,Farragut Career Academy,1,5,Minnesota Timberwolves
NBA,1999 - 2000,Regular_Season,Michael Finley,DAL,82,3464.0,748,1636,99,247,260,317,196,171,122,396,518,438,109,32,1855,1973,Mar,"Mar 6, 1973",6-7,201,225,102,United States,Proviso East High School,1,21,Phoenix Suns
NBA,1999 - 2000,Regular_Season,Chris Webber,SAC,75,2880.0,748,1548,27,95,311,414,218,264,189,598,787,345,120,128,1834,1973,Mar,"Mar 1, 1973",6-9,206,245,111,United States,Detroit Country Day School,1,1,Orlando Magic
NBA,1999 - 2000,Regular_Season,Ray Allen,MIL,82,3070.0,642,1411,172,407,353,398,183,187,83,276,359,308,110,19,1809,1975,Jul,"Jul 20, 1975",6-5,196,205,93,United States,Hillcrest High School,1,5,Minnesota Timberwolves
NBA,1999 - 2000,Regular_Season,Alonzo Mourning,MIA,79,2748.0,652,1184,0,4,414,582,217,308,215,538,753,123,40,294,1718,1970,Feb,"Feb 8, 1970",6-10,208,240,109,United States,Indian River High School,1,2,Charlotte Hornets
NBA,1999 - 2000,Regular_Season,Tim Duncan,SAS,74,2875.0,628,1281,1,11,459,603,242,210,262,656,918,234,66,165,1716,1976,Apr,"Apr 25, 1976",6-11,211,250,113,United States,St. Dunstan's Episcopal High School,1,1,San Antonio Spurs
NBA,1999 - 2000,Regular_Season,Glenn Robinson,MIL,81,2909.0,690,1461,86,237,227,283,223,212,107,378,485,193,78,41,1693,1973,Jan,"Jan 10, 1973",6-7,201,225,102,United States,Theodore Roosevelt High School,1,1,Milwaukee Bucks
NBA,1999 - 2000,Regular_Season,Antoine Walker,BOS,82,3003.0,648,1506,73,285,311,445,259,263,199,453,652,305,117,32,1680,1976,Aug,"Aug 12, 1976",6-9,206,265,120,United States,Mount Carmel High School ,1,6,Boston Celtics
NBA,1999 - 2000,Regular_Season,Shareef Abdur-Rahim,VAN,82,3223.0,594,1277,29,96,446,551,249,244,218,607,825,271,89,87,1663,1976,Dec,"Dec 11, 1976",6-9,206,225,102,United States,Joseph Wheeler High School,1,3,Vancouver Grizzlies
NBA,1999 - 2000,Regular_Season,Stephon Marbury,NJN,74,2881.0,569,1317,66,233,436,536,270,195,61,179,240,622,112,15,1640,1977,Feb,"Feb 20, 1977",6-2,188,180,82,United States,Abraham Lincoln High School,1,4,Milwaukee Bucks
NBA,1999 - 2000,Regular_Season,Elton Brand,CHI,81,2999.0,630,1306,0,2,367,536,228,259,348,462,810,155,66,132,1627,1979,Mar,"Mar 11, 1979",6-9,206,254,115,United States,Peekskill High School,1,1,Chicago Bulls
NBA,1999 - 2000,Regular_Season,Allan Houston,NYK,82,3169.0,614,1271,106,243,280,334,186,219,38,233,271,224,65,14,1614,1971,Apr,"Apr 20, 1971",6-6,198,205,93,United States,Ballard High School,1,11,Detroit Pistons
NBA,1999 - 2000,Regular_Season,Antonio McDyess,DEN,81,2698.0,614,1211,0,2,323,516,230,316,234,451,685,159,69,139,1551,1974,Sep,"Sep 7, 1974",6-9,206,245,111,United States,Quitman High School,1,2,Los Angeles Clippers
NBA,1999 - 2000,Regular_Season,Keith Van Horn,NJN,80,2782.0,559,1257,84,228,333,393,245,258,200,476,676,158,64,60,1535,1975,Oct,"Oct 23, 1975",6-10,208,220,100,United States,Diamond Bar High School,1,2,Philadelphia Sixers
NBA,1999 - 2000,Regular_Season,Latrell Sprewell,NYK,82,3276.0,568,1305,44,127,344,397,226,184,49,300,349,332,109,22,1524,1970,Sep,"Sep 8, 1970",6-5,196,190,86,United States,Washington High School,1,24,Golden State Warriors
NBA,1999 - 2000,Regular_Season,Sam Cassell,MIL,81,2899.0,545,1170,26,90,390,445,267,255,69,232,301,729,102,8,1506,1969,Nov,"Nov 18, 1969",6-3,191,185,84,United States,Dunbar High School ,1,24,Houston Rockets
NBA,1999 - 2000,Regular_Season,Michael Dickerson,VAN,82,3103.0,554,1270,119,291,269,324,165,226,78,201,279,208,116,45,1496,1975,Jun,"Jun 25, 1975",6-5,196,190,86,United States,Federal Way High School,1,14,Houston Rockets
