position,change in position,country,total score,"quantity score
","quality score
","business score
","change in position sign
"
1,0,United States,195.37,27.56,164.15,3.66,
2,0,United Kingdom,52.554,12.66,36.1,3.79,
3,0,Israel,45.062,7.09,34.82,3.15,
4,0,Canada,35.264,9.4,22.35,3.51,
5,1,Sweden,28.502,4.67,20.03,3.8,+
6,1,Germany,25.334,4.96,16.84,3.54,-
7,3,Singapore,23.407,3.98,17.18,2.24,+
8,1,Australia,22.454,5.95,12.86,3.64,+
9,3,France,20.994,4.82,12.77,3.4,+
10,3,China,20.663,1.97,16.04,2.65,-
11,0,The Netherlands,20.505,4.42,12.71,3.38,
12,4,Switzerland,20.253,6.19,10.48,3.58,-
13,0,Estonia,18.243,4.14,10.77,3.34,
14,0,Finland,17.852,3.99,10.18,3.68,
15,3,Ireland,15.914,3.88,8.54,3.49,+
16,1,Spain,14.481,5.71,6.07,2.71,-
17,1,Lithuania,14.194,4.07,7,3.13,-
18,4,Denmark,14.193,3.06,7.45,3.69,+
19,1,India,12.476,2.23,7.75,2.5,+
20,1,Japan,11.947,2.41,6.61,2.93,+
21,2,South Korea,11.626,1.43,6.95,3.25,-
22,1,Belgium,10.806,2.71,5.29,2.8,+
23,5,Austria,10.221,2.46,4.5,3.26,+
24,7,Norway,10.209,2.05,4.96,3.2,+
25,1,Taiwan,10.189,2.4,4.89,2.9,+
26,2,Brazil,9.48,1.4,5.91,2.17,-
27,2,United Arab Emirates,9.412,2.19,4.3,2.92,-
28,1,Portugal,9.39,2.2,4.08,3.11,-
29,12,Russia,9.355,2.27,4.52,2.57,-
30,3,New Zealand,8.177,1.92,2.67,3.59,+
31,2,Italy,8.09,2.56,2.49,3.04,-
32,0,Czechia,8.087,1.33,3.61,3.15,
33,3,Poland,7.182,1.86,2.31,3.02,-
34,2,Chile,6.59,1.4,2.64,2.56,+
35,3,Mexico,6.021,0.79,2.8,2.43,+
36,1,Bulgaria,5.961,2.15,1.21,2.6,-
37,2,Argentina,5.674,1.24,2.4,2.04,+
38,7,Indonesia,5.586,0.46,3.4,1.72,+
39,2,Romania,5.449,1.09,1.6,2.76,+
40,3,Luxembourg,5.447,1.42,1.98,2.05,+
41,14,Iceland,5.427,1.75,0.95,2.72,+
42,2,Malaysia,5.416,1,1.7,2.71,-
43,1,Latvia,5.383,1.68,0.63,3.07,-
44,3,Colombia,5.357,0.91,2.13,2.32,+
45,8,Croatia,5.115,1.3,0.97,2.85,-
46,2,Turkey,4.948,1.1,1.51,2.35,-
47,1,Slovenia,4.87,1.28,0.92,2.68,-
48,6,Greece,4.834,1.04,1.39,2.4,+
49,1,South Africa,4.465,0.65,1.34,2.48,-
50,16,Ukraine,4.388,0.78,1.86,1.75,-
51,2,Hungary,4.3,1.2,0.62,2.48,-
52,1,Serbia,4.289,1.39,0.63,2.28,+
53,3,Thailand,3.752,0.45,1.26,2.04,-
54,5,Vietnam,3.462,0.29,1.46,1.71,+
55,2,Cyprus,3.318,0.83,0.58,1.91,+
56,5,Uruguay,3.304,0.38,1.24,1.68,-
57,5,Philippines,3.302,0.55,1.16,1.59,-
58,2,Slovakia,2.449,0.69,0.3,1.46,-
59,1,Malta,2.262,0.73,0.28,1.25,+
60,5,Armenia,2.151,0.44,0.58,1.13,+
61,2,Nigeria,2.145,0.38,0.97,0.8,+
62,1,Kenya,2.101,0.49,0.54,1.07,-
63,1,Peru,2.052,0.27,0.7,1.08,-
64,2,Bahrain,1.903,0.55,0.3,1.05,+
65,5,Egypt,1.777,0.5,0.51,0.77,+
66,2,Jordan,1.647,0.34,0.52,0.8,-
67,5,Costa Rica,1.445,0.15,0.52,0.78,+
68,0,Liechtenstein,1.246,0.4,0.14,0.7,
69,11,North Macedonia,1.162,0.42,0.13,0.62,-
70,3,Belarus,1.092,0.38,0.13,0.58,-
71,2,Mauritius,1.02,0.22,0.24,0.56,+
72,1,Saudi Arabia,0.943,0.28,0.16,0.51,-
73,7,Georgia,0.931,0.29,0.13,0.51,+
74,2,Kazakhstan,0.91,0.26,0.14,0.5,+
75,3,Albania,0.876,0.33,0.1,0.44,+
76,1,Pakistan,0.717,0.21,0.24,0.27,-
77,3,Lebanon,0.709,0.38,0.1,0.23,-
78,5,Panama,0.633,0.1,0.21,0.32,+
79,16,Morocco,0.594,0.09,0.18,0.32,+
80,7,Cape Verde,0.584,0.3,0.07,0.21,+
81,7,Mongolia,0.582,0.22,0.08,0.28,+
82,1,Ghana,0.581,0.14,0.19,0.25,-
83,1,Tunisia,0.548,0.21,0.09,0.24,-
84,15,Rwanda,0.497,0.13,0.15,0.22,-
85,4,Azerbaijan,0.494,0.18,0.06,0.26,+
86,2,Qatar,0.491,0.16,0.08,0.25,-
87,1,Ecuador,0.441,0.14,0.11,0.19,-
88,11,Moldova,0.438,0.14,0.07,0.23,-
89,new,Andorra,0.429,0.13,0.06,0.24,
90,2,Sri Lanka,0.402,0.16,0.06,0.18,+
91,8,Namibia,0.399,0.16,0.09,0.16,+
92,new,Senegal,0.356,0.05,0.16,0.14,
93,0,Bangladesh,0.321,0.1,0.12,0.11,
94,15,Jamaica,0.317,0.09,0.06,0.16,-
95,10,Bosnia and Herzegovina,0.308,0.1,0.07,0.14,-
96,new,Kosovo,0.281,0.05,0.08,0.14,
97,new,Angola,0.276,0.15,0.06,0.07,
98,4,Somalia,0.27,0.2,0.05,0.02,-
99,9,Kuwait,0.26,0.07,0.07,0.12,-
100,new,Kyrgyzstan,0.258,0.09,0.06,0.12,
