rank,song,artist,last-week,peak-rank,weeks-on-board,date
1,Butter,BTS,1,1,7,2021-07-17
2,Good 4 U,Olivia Rodrigo,2,1,8,2021-07-17
3,Levitating,Dua Lipa Featuring DaBaby,4,2,40,2021-07-17
4,Kiss Me More,Doja Cat Featuring SZA,3,3,13,2021-07-17
5,Montero (Call Me By Your Name),Lil Nas X,8,1,15,2021-07-17
6,Bad Habits,Ed Sheeran,5,5,2,2021-07-17
7,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),6,1,18,2021-07-17
8,Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,7,1,16,2021-07-17
9,Save Your Tears,The Weeknd & Ariana Grande,9,1,30,2021-07-17
10,Deja Vu,Olivia Rodrigo,10,3,14,2021-07-17
11,Astronaut In The Ocean,Masked Wolf,12,6,21,2021-07-17
12,Rapstar,Polo G,13,1,13,2021-07-17
13,You Right,Doja Cat & The Weeknd,11,11,2,2021-07-17
14,Am I The Only One,Aaron Lewis,,14,1,2021-07-17
15,Blinding Lights,The Weeknd,18,1,83,2021-07-17
16,Without You,The Kid LAROI,15,8,31,2021-07-17
17,Thot Shit,Megan Thee Stallion,16,16,4,2021-07-17
18,Forever After All,Luke Combs,19,2,37,2021-07-17
19,Heartbreak Anniversary,Giveon,20,16,21,2021-07-17
20,Fancy Like,Walker Hayes,34,20,3,2021-07-17
21,Every Chance I Get,DJ Khaled Featuring Lil Baby & Lil Durk,28,20,10,2021-07-17
22,Famous Friends,Chris Young + Kane Brown,21,21,15,2021-07-17
23,Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,17,13,18,2021-07-17
24,Best Friend,Saweetie Featuring Doja Cat,22,14,26,2021-07-17
25,Lil Bit,Nelly & Florida Georgia Line,23,23,16,2021-07-17
26,Single Saturday Night,Cole Swindell,53,26,10,2021-07-17
27,Heat Waves,Glass Animals,25,19,25,2021-07-17
28,Leave Before You Love Me,Marshmello X Jonas Brothers,31,28,7,2021-07-17
29,Wants And Needs,Drake Featuring Lil Baby,26,2,18,2021-07-17
30,Yonaguni,Bad Bunny,27,10,5,2021-07-17
31,Blame It On You,Jason Aldean,35,31,11,2021-07-17
32,Late At Night,Roddy Ricch,33,20,5,2021-07-17
33,Drivers License,Olivia Rodrigo,29,1,26,2021-07-17
34,Telepatia,Kali Uchis,30,25,20,2021-07-17
35,Glad You Exist,Dan + Shay,54,35,22,2021-07-17
36,Mood,24kGoldn Featuring iann dior,37,1,48,2021-07-17
37,Wockesha,Moneybagg Yo,44,33,11,2021-07-17
38,Traitor,Olivia Rodrigo,39,9,7,2021-07-17
39,Todo de Ti,Rauw Alejandro,32,32,6,2021-07-17
40,Drinkin' Beer. Talkin' God. Amen.,Chase Rice Featuring Florida Georgia Line,50,40,6,2021-07-17
41,Ain't Shit,Doja Cat,24,24,2,2021-07-17
42,pov,Ariana Grande,36,27,18,2021-07-17
43,My Ex's Best Friend,Machine Gun Kelly X blackbear,43,20,47,2021-07-17
44,WUSYANAME,"Tyler, The Creator Featuring YoungBoy Never Broke Again & Ty Dolla $ign",14,14,2,2021-07-17
45,Calling My Phone,Lil Tjay Featuring 6LACK,46,3,21,2021-07-17
46,Beggin',Maneskin,78,46,2,2021-07-17
47,Ball If I Want To,DaBaby,56,39,3,2021-07-17
48,Gone,Dierks Bentley,38,26,17,2021-07-17
49,Wasting Time,Brent Faiyaz Featuring Drake,,49,1,2021-07-17
50,Red Light Green Light,DaBaby,51,50,2,2021-07-17
51,Things A Man Oughta Know,Lainey Wilson,70,51,8,2021-07-17
52,Favorite Crime,Olivia Rodrigo,62,16,7,2021-07-17
53,Settling Down,Miranda Lambert,52,41,17,2021-07-17
54,Way Less Sad,AJR,64,54,11,2021-07-17
55,Straightenin,Migos,61,23,8,2021-07-17
56,Ski,Young Thug & Gunna,63,18,12,2021-07-17
57,AM,Nio Garcia X J Balvin X Bad Bunny,41,41,2,2021-07-17
58,Arcade,Duncan Laurence,69,58,13,2021-07-17
59,Happier,Olivia Rodrigo,58,15,7,2021-07-17
60,You,Regard x Troye Sivan x Tate McRae,75,60,4,2021-07-17
61,my.life,"J. Cole, 21 Savage & Morray",65,2,8,2021-07-17
62,Chasing After You,Ryan Hurd With Maren Morris,77,62,10,2021-07-17
63,Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,76,63,11,2021-07-17
64,Need To Know,Doja Cat,49,38,4,2021-07-17
65,Track Star,Mooski,71,31,20,2021-07-17
66,One Too Many,Keith Urban Duet With P!nk,74,62,30,2021-07-17
67,Hats Off,"Lil Baby, Lil Durk & Travis Scott",72,16,5,2021-07-17
68,Brutal,Olivia Rodrigo,73,12,7,2021-07-17
69,Build A Bitch,Bella Poarch,67,56,8,2021-07-17
70,Breaking Up Was Easy In The 90's,Sam Hunt,79,32,19,2021-07-17
71,Country Again,Thomas Rhett,86,71,10,2021-07-17
72,Fiel,"Los Legendarios, Wisin & Jhay Cortez",81,62,4,2021-07-17
73,Renegade,Big Red Machine Featuring Taylor Swift,,73,1,2021-07-17
74,Waves,Luke Bryan,94,74,3,2021-07-17
75,We Didn't Have Much,Justin Moore,87,75,3,2021-07-17
76,Minimum Wage,Blake Shelton,80,67,9,2021-07-17
77,Follow You,Imagine Dragons,90,68,14,2021-07-17
78,"Jealousy, Jealousy",Olivia Rodrigo,89,24,7,2021-07-17
79,Come Through,H.E.R. Featuring Chris Brown,91,64,5,2021-07-17
80,Twerkulator,City Girls,96,51,5,2021-07-17
81,Cry No More,G Herbo Featuring Polo G & Lil Tjay,,81,1,2021-07-17
82,Essence,Wizkid Featuring Tems,,82,1,2021-07-17
83,A-O-K,Tai Verdes,,83,1,2021-07-17
84,4 Da Gang,42 Dugg & Roddy Ricch,92,67,13,2021-07-17
85,Tombstone,Rod Wave,97,11,15,2021-07-17
86,Made For You,Jake Owen,83,32,20,2021-07-17
87,Having Our Way,Migos Featuring Drake,82,15,4,2021-07-17
88,My Boy,Elvie Shane,,88,2,2021-07-17
89,transparentsoul,Willow Featuring Travis Barker,85,76,4,2021-07-17
90,You Should Probably Leave,Chris Stapleton,,90,1,2021-07-17
91,I Was On A Boat That Day,Old Dominion,,91,1,2021-07-17
92,Outside,MO3 X OG Bobby Billions,,92,3,2021-07-17
