Date;CMAX RTS;CMAX BSE-SENSEX;CMAX Shangai Composite Index;CMAX Ibovespa
ago-97;0,958088666;0,896448066;0,876096861;0,822594402
set-97;1;0,902449692;0,787357848;0,914708847
ott-97;0,847197143;0,879601831;0,846916592;0,696751182
nov-97;0,659062638;0,823413102;0,817671749;0,728463984
dic-97;0,796236106;0,846237813;0,856753363;0,790648988
gen-98;0,570502789;0,745720244;0,864165022;0,753663643
feb-98;0,621082621;0,837736069;0,865671749;0,81964798
mar-98;0,653063681;0,900303435;0,891852915;0,926339459
apr-98;0,626720437;0,926682901;0,963910314;0,905404358
mag-98;0,383792785;0,852577095;1;0,763510894
giu-98;0,303659564;0,751809729;0,948972867;0,750407071
lug-98;0,300248786;0,742702069;0,933184997;0,830193068
ago-98;0,13163597;0,732215916;0,815059417;0,541725956
set-98;0,087897757;0,77425433;0,880733555;0,551854022
ott-98;0,136266755;0,701927456;0,862607266;0,589855194
nov-98;0,180063498;0,701470714;0,88393648;0,72244078
dic-98;0,148490652;0,762554218;0,812565104;0,567841299
gen-99;0,169339478;0,827483714;0,804040504;0,684021093
feb-99;0,215145929;0,807090943;0,772450592;0,745877626
mar-99;0,24688172;0,933400862;0,820607847;0,89528752
apr-99;0,293978295;0,830009382;0,794304179;0,97208187
mag-99;0,510429191;1;0,906548281;0,977006431
giu-99;0,830194912;1;1;1
lug-99;0,778416305;1;0,947929183;0,89808205
ago-99;0,815758058;1;0,963117738;0,908660876
set-99;0,661520096;0,972685932;0,929721859;0,955190505
ott-99;0,778352567;0,907384554;0,89057256;1
nov-99;0,894230004;0,943652885;0,849381152;1
dic-99;1;1;0,808900043;1
gen-00;0,983167865;1;0,908590471;0,95881114
feb-00;0,975293849;1;1;1
mar-00;1;0,918092176;1;1
apr-00;0,978393997;0,854993166;1;0,871941639
mag-00;0,82029498;0,813884186;1;0,839337823
giu-00;0,739175436;0,871738593;1;0,938720539
lug-00;0,837027773;0,785660076;1;0,923400673
ago-00;1;0,821906295;0,998843611;0,97345679
set-00;0,829534564;0,750876962;0,943969479;0,89382716
ott-00;0,787532814;0,681237322;0,96923708;0,834287318
nov-00;0,597608234;0,733916815;1;0,745622896
dic-00;0,597066544;0,729167845;1;0,856285073
gen-01;0,723071795;0,794262299;0,996204449;0,991750842
feb-01;0,686528605;0,779635293;0,944875282;0,891750842
mar-01;0,706112755;0,720691511;1;0,810213244
apr-01;0,752864703;0,741067665;1;0,844112488
mag-01;0,870036252;0,764810656;1;0,828948113
giu-01;0,900495854;0,727931657;1;0,823855599
lug-01;0,817200717;0,743589339;0,865777289;0,778249307
ago-01;0,855910663;0,724754352;0,82692299;0,726588581
set-01;0,834065985;0,649822489;0,795692574;0,601821988
ott-01;0,944148813;0,690904415;0,761563189;0,643071352
nov-01;1;0,759827282;0,788082217;0,731737679
dic-01;1;0,753996079;0,742086446;0,768290613
gen-02;1;0,765251707;0,672520209;0,719798563
feb-02;1;0,838774776;0,687411802;0,883078472
mar-02;1;0,955241232;0,723123673;0,888523931
apr-02;1;0,91911969;0,751905971;0,877128301
mag-02;1;0,860629822;0,683367673;0,877883959
giu-02;0,90423248;0,910841532;0,781215764;0,765041209
lug-02;0,833793385;0,838683285;0,860059782;0,695717238
