Continent,Country,Last_Updated_Date,Total_Cases,Total_Deaths,Total_Cases_Per_Million,Total_Deaths_Per_Million,Total_tests,Positive_rate,Total_Vaccinations,People_Vaccinated,People_Fully_Vaccinated,Population,Population_Density,Median_Age,Aged_65_Older,Aged_70_Older,GDP_Per_Capita
Asia,Afghanistan,11-10-2021,155540,7228,3904.565,181.447,,,2369625,828601,,39835428,54.422,18.6,2.581,1.337,1803.987
Europe,Albania,11-10-2021,175163,2777,60970.074,966.608,,,1795351,962281,833070,2872934,104.871,38,13.188,8.643,11803.431
Africa,Algeria,11-10-2021,204695,5855,4587.864,131.229,,,,,,44616626,17.348,29.1,6.211,3.857,13913.839
Europe,Andorra,11-10-2021,15307,130,197882.462,1680.585,215733,0.054,,,,77354,163.755,,,,
Africa,Angola,11-10-2021,61580,1629,1814.72,48.006,,,4074677,2863708,1210969,33933611,23.89,16.8,2.405,1.362,5819.495
North America,Anguilla,01-10-2021,,,,,,,18704,9548,9156,15125,,,,,
North America,Antigua and Barbuda,11-10-2021,3750,93,37983.146,941.982,,,98840,54435,44405,98728,231.845,32.1,6.933,4.631,21490.943
South America,Argentina,11-10-2021,5266275,115491,115473.741,2532.374,24156096,0.019,54115894,30265200,23928986,45605823,16.177,31.9,11.198,7.441,18933.907
Asia,Armenia,11-10-2021,272957,5575,91962.678,1878.288,1770914,0.102,514241,344029,170212,2968128,102.931,35.7,11.232,7.571,8787.58
North America,Aruba,10-10-2021,,,,,,,157541,81871,75670,107195,584.8,41.2,13.085,7.452,35973.781
Oceania,Australia,11-10-2021,131415,1461,5095.932,56.654,39943525,0.012,31020482,17808025,13212457,25788217,3.202,37.9,15.504,10.129,44648.71
Europe,Austria,11-10-2021,762538,11106,84322.894,1228.122,90377770,0.005,10957619,5790455,5483648,9043072,106.749,44.4,19.202,13.748,45436.686
Asia,Azerbaijan,11-10-2021,492790,6677,48202.428,653.113,4952737,0.087,8997289,4889404,4107885,10223344,119.309,32.4,6.018,3.871,15847.419
North America,Bahamas,11-10-2021,21580,590,54369.46,1486.468,147633,0.178,224531,129121,100098,396914,39.497,34.3,8.996,5.2,27717.847
Asia,Bahrain,11-10-2021,275734,1390,157715.946,795.06,6612314,0.004,2669575,1168806,1129802,1748295,1935.907,32.4,2.372,1.387,43290.705
Asia,Bangladesh,11-10-2021,1562958,27699,9398.227,166.557,9907321,0.035,54798986,36580037,18218949,166303494,1265.036,27.5,5.098,3.262,3523.984
North America,Barbados,11-10-2021,11132,98,38692.007,340.623,,,253554,141820,111734,287708,664.463,39.8,14.952,9.473,16978.068
Europe,Belarus,11-10-2021,559715,4304,59273.841,455.794,,,3862369,2234696,1627673,9442867,46.858,40.3,14.799,9.788,17167.967
Europe,Belgium,11-10-2021,1266562,25695,108882.878,2208.929,20514883,0.051,16712328,8632421,8470856,11632334,375.564,41.8,18.571,12.849,42658.576
North America,Belize,11-10-2021,22187,427,54794.216,1054.542,278894,0.076,344463,199932,144531,404915,16.426,25,3.853,2.279,7824.362
Africa,Benin,11-10-2021,24335,159,1954.457,12.77,,,247674,226269,21405,12451031,99.11,18.8,3.244,1.942,2064.236
North America,Bermuda,08-10-2021,,,,,,,87723,44573,43150,62092,1308.82,,,,50669.315
Asia,Bhutan,11-10-2021,2613,3,3350.43,3.847,1160858,0.001,1083271,584977,498294,779900,21.188,28.6,4.885,2.977,8708.597
