"Cases by Country/Region/Sovereignty

6,006,327 US
3,862,311 Brazil
3,621,245 India
992,402 Russia
639,435 Peru
625,056 South Africa
607,904 Colombia
595,841 Mexico
462,858 Spain
411,726 Chile
408,426 Argentina
375,212 Iran
338,079 United Kingdom
318,895 France
315,772 Saudi Arabia
312,996 Bangladesh
295,849 Pakistan
268,546 Turkey
268,218 Italy
244,702 Germany
231,177 Iraq
220,819 Philippines
174,796 Indonesia
130,069 Canada
124,132 Ukraine
118,778 Qatar
115,968 Bolivia
115,057 Israel
113,648 Ecuador
105,795 Kazakhstan
98,727 Egypt
94,241 Dominican Republic
92,065 Panama
89,907 China
87,540 Romania
85,722 Oman
85,109 Kuwait
85,042 Belgium
84,379 Sweden
73,912 Guatemala
73,210 Netherlands
71,843 Belarus
70,231 United Arab Emirates
68,388 Japan
67,372 Poland
61,399 Morocco
60,174 Honduras
58,012 Portugal
56,812 Singapore
53,865 Nigeria
51,574 Bahrain
51,122 Ethiopia
45,868 Venezuela
44,205 Ghana
44,146 Algeria
43,898 Kyrgyzstan
43,781 Armenia
42,177 Switzerland
41,787 Uzbekistan
39,699 Costa Rica
39,460 Nepal
38,165 Afghanistan
36,920 Moldova
36,435 Azerbaijan
34,201 Kenya
31,406 Serbia
28,760 Ireland
27,438 Austria
25,746 Australia
25,729 El Salvador
24,473 Czechia
22,729 West Bank and Gaza
19,964 Bosnia and Herzegovina
19,947 Korea, South
19,142 Cameroon
17,948 Cote d'Ivoire
17,410 Denmark
17,105 Paraguay
16,870 Lebanon
16,190 Bulgaria
14,863 Madagascar
14,341 North Macedonia
13,966 Libya
13,611 Senegal
13,189 Sudan
12,683 Kosovo
12,097 Zambia
10,746 Norway
10,317 Greece
10,269 Croatia
10,097 Congo (Kinshasa)
9,380 Albania
9,371 Guinea
9,340 Malaysia
8,583 Tajikistan
8,505 Gabon
8,224 Haiti
8,086 Finland
7,667 Maldives
7,365 Namibia
7,016 Mauritania
6,625 Luxembourg
6,412 Zimbabwe
6,139 Hungary
5,536 Malawi
5,387 Djibouti
4,941 Equatorial Guinea
4,790 Montenegro
4,700 Central African Republic
4,561 Eswatini
4,494 Nicaragua
4,020 Rwanda
4,009 Suriname
3,979 Congo (Brazzaville)
3,973 Cuba
3,917 Slovakia
3,852 Cabo Verde
3,821 Mozambique
3,685 Tunisia
3,412 Thailand
3,310 Somalia
3,018 Sri Lanka
2,963 Gambia
2,928 Uganda
2,906 Lithuania
2,883 Slovenia
2,773 Mali
2,703 Syria
2,624 Angola
2,519 South Sudan
2,375 Estonia
2,357 Jamaica
2,205 Guinea-Bissau
2,167 Bahamas
2,145 Benin
2,107 Iceland
2,034 Jordan
2,022 Sierra Leone
1,953 Yemen
1,883 Malta
1,738 New Zealand
1,683 Trinidad and Tobago
1,633 Botswana
1,585 Uruguay
1,487 Cyprus
1,487 Georgia
1,396 Latvia
1,396 Togo
1,368 Burkina Faso
1,304 Liberia
1,234 Guyana
1,175 Niger
1,124 Andorra
1,085 Lesotho
1,044 Vietnam
1,012 Chad
993 Belize
896 Sao Tome and Principe
882 Burma
712 Diamond Princess
710 San Marino
509 Tanzania
488 Taiwan*
459 Papua New Guinea
445 Burundi
423 Comoros
355 Mauritius
318 Eritrea
301 Mongolia
274 Cambodia
224 Bhutan
173 Barbados
154 Monaco
144 Brunei
136 Seychelles
107 Liechtenstein
94 Antigua and Barbuda
60 Saint Vincent and the Grenadines
28 Fiji
27 Timor-Leste
26 Saint Lucia
24 Grenada
22 Laos
20 Dominica
17 Saint Kitts and Nevis
12 Holy See
10 Western Sahara
9 MS Zaandam"
