Timestamp,Do you CURRENTLY work at a consulting firm?,Which firm do you CURRENTLY work for?,Are you CURRENTLY in a Commercial or Federal practice? ,What is your CURRENT title (or equivalent)? ,What COUNTRY are you CURRENTLY based out of?,"What is your CURRENT annual base compensation in USD (not including bonuses, perks, or other incentives)? Please consult Google for conversion tools for local currency into USD. Enter number values only.",What is the total amount in USD of BONUSES you estimate you will receive in 2021? Enter number only.,Expected total compensation (calculated),How many hours per week on AVERAGE do you work (including non-billable time)?,Have you gotten an OFFER from another company this year?,Was the offer from another CONSULTING FIRM?,Which firm was the HIGHEST (base compensation) OFFER from?,Was the OFFER for a Commercial or Federal practice? ,What was the OFFERED title (or equivalent)? ,What COUNTRY was the OFFER based out of?,"What was the HIGHEST OFFERED annual base compensation in USD (not including bonuses, perks, or other incentives)? Please consult Google for conversion tools for local currency into USD. Enter a number only.",What was the total annual BONUS OFFERED?,Did you accept the offer?
9/29/2021 10:35:35,Yes,Other or Boutique,Commercial/non-federal Practice,Consultant/Associate,United States of America,147000,17000,164000,50-59,No,,,,,,,,
9/29/2021 10:35:44,Yes,McKinsey,Commercial/non-federal Practice,Senior Manager,Malaysia,142000,50000,192000,60-69,No,,,,,,,,
9/29/2021 10:36:00,Yes,Deloitte,Commercial/non-federal Practice,Senior Consultant/Senior Associate,United States of America,150000,30000,180000,40-49,No,,,,,,,,
9/29/2021 10:36:16,Yes,Deloitte,Federal/government Practice,Senior Consultant/Senior Associate,United States of America,95000,10000,105000,40-49,No,,,,,,,,
9/29/2021 10:36:19,Yes,Kearney,Commercial/non-federal Practice,Consultant/Associate,United States of America,165000,32000,197000,70-79,No,,,,,,,,
9/29/2021 10:36:32,Yes,Deloitte,Commercial/non-federal Practice,Consultant/Associate,Canada,59000,2000,61000,40-49,No,,,,,,,,
9/29/2021 10:36:54,No,,,,Hong Kong,120000,18000,138000,50-59,Yes,No (Industry or other type of non-consulting company),,,,Hong Kong,120000,20000,No
9/29/2021 10:37:12,Yes,PwC,Federal/government Practice,Senior Consultant/Senior Associate,Australia,75000,850,75850,<40,Yes,Yes,Protiviti,Federal/government Practice,Senior Consultant/Senior Associate,Australia,80000,850,No
9/29/2021 10:37:20,Yes,Other or Boutique,Not Applicable or Don't Know,Consultant/Associate,United States of America,85000,12000,97000,40-49,Yes,Yes,Other or Boutique,Not Applicable or Don't Know,Senior Consultant/Senior Associate,United States of America,110000,16000,Yes
9/29/2021 10:38:05,Yes,Deloitte,Federal/government Practice,Consultant/Associate,India,14000,1000,15000,50-59,No,,,,,,,,
9/29/2021 10:38:24,Yes,Deloitte,Commercial/non-federal Practice,Analyst,United States of America,85000,16500,101500,50-59,No,,,,,,,,
9/29/2021 10:39:04,Yes,PwC,Commercial/non-federal Practice,Consultant/Associate,United States of America,70000,4000,74000,50-59,No,,,,,,,,
9/29/2021 10:39:11,Yes,Deloitte,Commercial/non-federal Practice,Manager,Canada,110000,5500,115500,60-69,Yes,Yes,Deloitte,Commercial/non-federal Practice,Manager,Canada,110000,5500,No
9/29/2021 10:39:19,Yes,West Monroe,Commercial/non-federal Practice,Senior Consultant/Senior Associate,United States of America,110000,7000,117000,50-59,Yes,No (Industry or other type of non-consulting company),,,,United States of America,125000,10000,No
9/29/2021 10:39:26,Yes,Deloitte,Federal/government Practice,Senior Consultant/Senior Associate,United States of America,125000,10000,135000,40-49,No,,,,,,,,
9/29/2021 10:39:28,Yes,Deloitte,Federal/government Practice,Senior Consultant/Senior Associate,United States of America,110000,4000,114000,50-59,No,,,,,,,,
