Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases/1 mil population,Deaths/1 mil population ,Total Tests,Tests/1 mil population,Population
Albania,188557,2950,177713,7894,65618,1027,1322841,460349,2873562
Andorra,15618,130,15289,199,201700,1679,193595,2500194,77432
Austria,875333,11482,795835,68016,96449,1265,99857207,11002797,9075620
Belarus,612015,4730,587208,20077,64797,501,9814116,1039066,9445134
Belgium,1414463,26131,1230086,158246,121334,2242,22225317,1906513,11657574
Bosnia and Herzegovina,257401,11717,192218,53466,79120,3602,1319130,405474,3253305
Bulgaria,631506,25005,493850,112651,91816,3636,5786033,841248,6877916
Croatia,497168,9450,456029,31689,122120,2321,3171181,778943,4071134
Czechia,1816161,31022,1688492,96647,169169,2890,41201267,3837763,10735752
Denmark,400145,2735,372741,24669,68757,470,86943202,14939508,5819683
Estonia,204148,1595,175498,27055,153756,1201,2190338,1649678,1327737
Finland,162476,1184,46000,115292,29263,213,7535594,1357198,5552319
France,7208937,117900,6971152,119885,110114,1801,151204954,2309596,65468132
Germany,4759868,97019,4365500,297349,56568,1153,77993513,926895,84144898
Greece,780621,16243,704206,60172,75390,1569,27492713,2655168,10354416
Hungary,892164,31184,804720,56260,92670,3239,7531508,782309,9627286
Iceland,14255,34,13125,1096,41412,99,1159361,3368023,344226
Ireland,465958,5492,392339,68127,92968,1096,8251717,1646379,5012040
Italy,4802225,132365,4576167,93693,79583,2194,106904353,1771641,60341995
Latvia,230569,3472,194399,32698,124090,1869,5088290,2738475,1858074
Liechtenstein,3643,61,3489,93,95180,1594,49126,1283501,38275
Lithuania,427118,6111,380758,40249,159906,2288,5715205,2139682,2671054
Luxembourg,82842,849,79684,2309,129506,1327,3608314,5640820,639679
Malta,37854,462,36668,724,85425,1043,1211456,2733880,443127
Moldova,345517,8056,321388,16073,85921,2003,2055617,511179,4021326
Monaco,3436,36,3368,32,86730,909,54960,1387283,39617
Montenegro,148027,2145,140463,5419,235647,3415,845972,1346718,628173
Netherlands,2189661,18553,1997618,173490,127410,1080,18498260,1076359,17185959
North Macedonia,205623,7217,190570,7836,98703,3464,1404750,674304,2083259
Norway,215857,922,88952,125983,39402,168,8212842,1499151,5478330
Poland,3091713,77733,2736292,277688,81811,2057,22561469,597010,37790743
Portugal,1096534,18198,1045297,33039,107962,1792,20033212,1972427,10156632
Romania,1701589,50482,1483798,167309,89254,2648,15090033,791519,19064659
Russia,8795095,246814,7561978,986303,60233,1690,212900000,1458032,146018792
San Marino,5569,92,5391,86,163664,2704,84182,2473977,34027
Serbia,1179137,10336,1052689,116112,135690,1189,6442010,741319,8689926
Slovakia,513297,13205,440026,60066,93955,2417,4060627,743268,5463206
Slovenia,353660,4820,313603,35237,170084,2318,1774803,853548,2079323
Spain,5025639,87504,4877922,60213,107433,1871,66213858,1415456,46779184
Sweden,1177094,15024,1142789,19281,115582,1475,13277086,1303709,10184088
Switzerland,887446,11290,835095,41061,101540,1292,11834947,1354134,8739864
UK,9272066,141743,7560948,1569375,135623,2073,338310440,4948490,68366392
Ukraine,3075433,72084,2512756,490593,70896,1662,14847087,342260,43379517
