Ground,Span,Mat,Won,Tied,NR,Runs,Wkts,Balls,Ave,RPO
"Eden Gardens, Kolkata - India",2013-2017,4,4,0,0,2161,72,2297,30.01,5.64
"Feroz Shah Kotla, Delhi - India",2013-2019,4,4,0,0,1789,75,2331,23.85,4.6
Melbourne Cricket Ground - Australia,2013-2019,15,15,0,0,7656,217,8482,35.28,5.41
"Saurashtra Cricket Association Stadium, Rajkot - India",2013-2015,2,2,0,0,1163,26,1200,44.73,5.81
Adelaide Oval - Australia,2013-2019,10,10,0,0,4863,157,5645,30.97,5.16
"Nehru Stadium, Kochi - India",2013-2014,3,3,0,0,1384,46,1567,30.08,5.29
"Brisbane Cricket Ground, Woolloongabba, Brisbane - Australia",2013-2018,8,8,0,0,3671,123,4189,29.84,5.25
"JSCA International Stadium Complex, Ranchi - India",2013-2019,5,4,0,1,2303,68,2522,33.86,5.47
"Boland Park, Paarl - South Africa",2013-2018,3,3,0,0,1478,51,1711,28.98,5.18
Sydney Cricket Ground - Australia,2013-2019,16,14,0,2,7535,209,7876,36.05,5.74
"Diamond Oval, Kimberley - South Africa",2013-2018,3,3,0,0,1327,40,1514,33.17,5.25
"Bellerive Oval, Hobart - Australia",2013-2018,6,6,0,0,3167,94,3192,33.69,5.95
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh - India",2013-2019,5,5,0,0,3056,67,2957,45.61,6.2
"Senwes Park, Potchefstroom - South Africa",2013-2015,2,2,0,0,935,30,1164,31.16,4.81
"Himachal Pradesh Cricket Association Stadium, Dharamsala - India",2013-2017,4,4,0,0,1664,56,1987,29.71,5.02
"W.A.C.A. Ground, Perth - Australia",2013-2017,12,12,0,0,5197,177,5918,29.36,5.26
"Manuka Oval, Canberra - Australia",2013-2016,7,7,0,0,4226,110,4026,38.41,6.29
"Seddon Park, Hamilton - New Zealand",2013-2019,16,15,0,1,7748,215,8165,36.03,5.69
"McLean Park, Napier - New Zealand",2013-2019,8,8,0,0,3770,110,4299,34.27,5.26
"National Cricket Stadium, St George's, Grenada - West Indies",2013-2019,7,6,0,1,3051,87,3346,35.06,5.47
"Eden Park, Auckland - New Zealand",2013-2017,12,10,1,1,5214,187,5603,27.88,5.58
Sharjah Cricket Stadium - U.A.E.,2013-2019,31,31,0,0,12905,470,15659,27.45,4.94
"Mangaung Oval, Bloemfontein - South Africa",2013-2018,3,3,0,0,1430,48,1448,29.79,5.92
"ICC Academy, Dubai - U.A.E.",2013-2019,23,22,0,1,10524,326,12214,32.28,5.16
"SuperSport Park, Centurion - South Africa",2013-2019,12,11,0,1,5669,159,5826,35.65,5.83
"The Wanderers Stadium, Johannesburg - South Africa",2013-2019,9,9,0,0,4683,122,4663,38.38,6.02
