Category: All categories
"Data science + Machine Learning + Computer Vision + Natural Language Processing + Deep Learning: (1/1/10 - 4/18/21, Worldwide)"

TOP
Learning,100
Machine learning,72
Data,58
Science,51
Data science,44
Machine,41
Deep learning,23
Python,10
Visual perception,9
Computer vision,8
Computer,7
Course,7
Artificial intelligence,7
Language,5
Algorithm,5
Master's Degree,5
Natural language processing,4
Computer Science,4
Natural language,4
Intelligence,4
Analytics,4
Project,3
Artificial neural network,3
Analysis,3
Coursera,3

RISING
Coursera,Breakout
Big data,Breakout
TensorFlow,Breakout
GitHub,Breakout
GitHub,Breakout
Microsoft Azure,Breakout
scikit-learn,Breakout
Amazon Web Services,Breakout
Amazon Web Services,Breakout
Cloud computing,Breakout
Keras,Breakout
"Udemy, Inc.",Breakout
Udacity,Breakout
Udemy,Breakout
Quora,Breakout
Kaggle,Breakout
Internet of things,Breakout
Deep reinforcement learning,Breakout
Apache Spark,Breakout
Professional certification,Breakout
Master in Data Science,Breakout
pandas,Breakout
PyTorch,Breakout
Academic certificate,Breakout
Business analytics,Breakout

