Category: All categories

Country,Data science + Machine Learning + Computer Vision + Natural Language Processing + Deep Learning: (1/1/10 - 4/18/21)
China,100
Nigeria,25
Ethiopia,23
Uganda,21
Rwanda,18
St. Helena,16
Ghana,15
Zimbabwe,15
Kenya,14
Malawi,12
Iran,12
India,12
Singapore,11
Sri Lanka,10
Benin,10
Cameroon,9
Bhutan,9
Nepal,9
Zambia,8
Botswana,8
South Africa,8
Pakistan,7
Hong Kong,7
Bangladesh,7
Madagascar,6
Afghanistan,6
Ireland,6
Canada,6
Luxembourg,5
Iceland,5
Israel,5
Australia,5
Malta,5
Switzerland,5
Norway,5
Sweden,5
Netherlands,5
Tunisia,5
Sudan,5
Finland,5
United States,5
Denmark,5
Germany,4
Congo - Kinshasa,4
Cuba,4
United Kingdom,4
New Zealand,4
Mongolia,4
Myanmar (Burma),4
Côte d’Ivoire,4
United Arab Emirates,4
Austria,3
Belgium,3
Slovenia,3
Estonia,3
Togo,3
Tanzania,3
Mauritius,3
Morocco,3
France,3
Somalia,3
Lebanon,3
Taiwan,3
Egypt,3
Namibia,3
North Macedonia,3
Malaysia,3
Brunei,2
Portugal,2
Macao,2
Cyprus,2
South Korea,2
Latvia,2
Trinidad & Tobago,2
Lithuania,2
Jamaica,2
Senegal,2
Greece,2
Croatia,2
Bulgaria,2
Oman,2
Italy,2
Qatar,2
Serbia,2
Romania,2
Hungary,2
Mauritania,2
Armenia,2
Spain,2
Albania,2
Jordan,2
Uzbekistan,2
Poland,2
Angola,2
Costa Rica,1
Czechia,1
Slovakia,1
Algeria,1
Mozambique,1
Paraguay,1
Bahrain,1
Syria,1
Peru,1
Georgia,1
Azerbaijan,1
Ukraine,1
Chile,1
Saudi Arabia,1
Belarus,1
Libya,1
Kosovo,1
Bolivia,1
Philippines,1
Turkey,1
Bosnia & Herzegovina,1
Brazil,1
Cambodia,1
Russia,1
Indonesia,1
Palestine,1
Montenegro,1
El Salvador,1
Japan,1
Colombia,1
Thailand,1
Panama,1
Vietnam,1
Haiti,1
Kuwait,1
Kazakhstan,1
Guatemala,1
Dominican Republic,1
Argentina,1
Moldova,1
Yemen,1
Honduras,1
Laos,1
Uruguay,1
Puerto Rico,1
Iraq,1
Mexico,1
Ecuador,<1
Venezuela,<1
Kyrgyzstan,<1
South Sudan,
Gambia,
Comoros,
San Marino,
Vanuatu,
Samoa,
Eswatini,
Isle of Man,
Seychelles,
Turkmenistan,
Sierra Leone,
Congo - Brazzaville,
Liechtenstein,
Cayman Islands,
Niger,
U.S. Virgin Islands,
Sint Maarten,
Gabon,
Faroe Islands,
Burundi,
Guyana,
Barbados,
Jersey,
Djibouti,
French Guiana,
Bahamas,
Cape Verde,
Western Sahara,
Timor-Leste,
St. Vincent & Grenadines,
Fiji,
Martinique,
French Polynesia,
Réunion,
Belize,
Nicaragua,
Tajikistan,
Guam,
Guadeloupe,
Suriname,
Aruba,
Anguilla,
Åland Islands,
Andorra,
American Samoa,
Antarctica,
French Southern Territories,
Antigua & Barbuda,
Caribbean Netherlands,
Burkina Faso,
St. Barthélemy,
Bermuda,
Bouvet Island,
Central African Republic,
Cocos (Keeling) Islands,
Cook Islands,
Curaçao,
Christmas Island,
Dominica,
Eritrea,
Falkland Islands (Islas Malvinas),
Micronesia,
Guernsey,
Gibraltar,
Guinea,
Guinea-Bissau,
Equatorial Guinea,
Grenada,
Greenland,
Heard & McDonald Islands,
British Indian Ocean Territory,
Kiribati,
St. Kitts & Nevis,
Liberia,
St. Lucia,
Lesotho,
St. Martin,
Monaco,
Maldives,
Marshall Islands,
Mali,
Northern Mariana Islands,
Montserrat,
Mayotte,
New Caledonia,
Norfolk Island,
Niue,
Nauru,
Pitcairn Islands,
Palau,
Papua New Guinea,
North Korea,
South Georgia & South Sandwich Islands,
Svalbard & Jan Mayen,
Solomon Islands,
St. Pierre & Miquelon,
São Tomé & Príncipe,
Turks & Caicos Islands,
Chad,
Tokelau,
Tonga,
Tuvalu,
U.S. Outlying Islands,
Vatican City,
British Virgin Islands,
Wallis & Futuna,
