Category: All categories

Month,Data science + Machine Learning + Computer Vision + Natural Language Processing + Deep Learning: (Worldwide)
2010-01,5
2010-02,3
2010-03,3
2010-04,6
2010-05,5
2010-06,3
2010-07,3
2010-08,7
2010-09,4
2010-10,4
2010-11,6
2010-12,3
2011-01,6
2011-02,6
2011-03,8
2011-04,7
2011-05,9
2011-06,5
2011-07,5
2011-08,3
2011-09,6
2011-10,7
2011-11,5
2011-12,3
2012-01,5
2012-02,3
2012-03,6
2012-04,10
2012-05,5
2012-06,6
2012-07,5
2012-08,7
2012-09,8
2012-10,7
2012-11,5
2012-12,9
2013-01,6
2013-02,8
2013-03,8
2013-04,7
2013-05,9
2013-06,7
2013-07,13
2013-08,9
2013-09,7
2013-10,8
2013-11,6
2013-12,6
2014-01,9
2014-02,11
2014-03,12
2014-04,11
2014-05,8
2014-06,9
2014-07,12
2014-08,15
2014-09,9
2014-10,14
2014-11,13
2014-12,17
2015-01,20
2015-02,18
2015-03,21
2015-04,19
2015-05,18
2015-06,22
2015-07,21
2015-08,23
2015-09,26
2015-10,26
2015-11,32
2015-12,25
2016-01,31
2016-02,38
2016-03,37
2016-04,43
2016-05,52
2016-06,37
2016-07,40
2016-08,41
2016-09,55
2016-10,56
2016-11,59
2016-12,57
2017-01,66
2017-02,82
2017-03,83
2017-04,77
2017-05,87
2017-06,100
2017-07,97
2017-08,39
2017-09,43
2017-10,40
2017-11,44
2017-12,43
2018-01,44
2018-02,48
2018-03,48
2018-04,45
2018-05,45
2018-06,46
2018-07,49
2018-08,46
2018-09,53
2018-10,54
2018-11,52
2018-12,50
2019-01,53
2019-02,57
2019-03,54
2019-04,54
2019-05,60
2019-06,57
2019-07,56
2019-08,59
2019-09,62
2019-10,60
2019-11,64
2019-12,61
2020-01,63
2020-02,68
2020-03,61
2020-04,62
2020-05,62
2020-06,63
2020-07,64
2020-08,65
2020-09,68
2020-10,60
2020-11,58
2020-12,61
2021-01,61
2021-02,68
2021-03,66
2021-04,63
