"Adjusted Grade","New?","Other Location Code in LCGMS","School Name","SED Code","Location Code","District","Latitude","Longitude","Address (Full)","City","Zip","Grades","Grade Low","Grade High","Community School?","Economic Need Index","School Income Estimate","Percent ELL","Percent Asian","Percent Black","Percent Hispanic","Percent Black / Hispanic","Percent White","Student Attendance Rate","Percent of Students Chronically Absent","Rigorous Instruction %","Rigorous Instruction Rating","Collaborative Teachers %","Collaborative Teachers Rating","Supportive Environment %","Supportive Environment Rating","Effective School Leadership %","Effective School Leadership Rating","Strong Family-Community Ties %","Strong Family-Community Ties Rating","Trust %","Trust Rating","Student Achievement Rating","Average ELA Proficiency","Average Math Proficiency","Grade 3 ELA - All Students Tested","Grade 3 ELA 4s - All Students","Grade 3 ELA 4s - American Indian or Alaska Native","Grade 3 ELA 4s - Black or African American","Grade 3 ELA 4s - Hispanic or Latino","Grade 3 ELA 4s - Asian or Pacific Islander","Grade 3 ELA 4s - White","Grade 3 ELA 4s - Multiracial","Grade 3 ELA 4s - Limited English Proficient","Grade 3 ELA 4s - Economically Disadvantaged","Grade 3 Math - All Students tested","Grade 3 Math 4s - All Students","Grade 3 Math 4s - American Indian or Alaska Native","Grade 3 Math 4s - Black or African American","Grade 3 Math 4s - Hispanic or Latino","Grade 3 Math 4s - Asian or Pacific Islander","Grade 3 Math 4s - White","Grade 3 Math 4s - Multiracial","Grade 3 Math 4s - Limited English Proficient","Grade 3 Math 4s - Economically Disadvantaged","Grade 4 ELA - All Students Tested","Grade 4 ELA 4s - All Students","Grade 4 ELA 4s - American Indian or Alaska Native","Grade 4 ELA 4s - Black or African American","Grade 4 ELA 4s - Hispanic or Latino","Grade 4 ELA 4s - Asian or Pacific Islander","Grade 4 ELA 4s - White","Grade 4 ELA 4s - Multiracial","Grade 4 ELA 4s - Limited English Proficient","Grade 4 ELA 4s - Economically Disadvantaged","Grade 4 Math - All Students Tested","Grade 4 Math 4s - All Students","Grade 4 Math 4s - American Indian or Alaska Native","Grade 4 Math 4s - Black or African American","Grade 4 Math 4s - Hispanic or Latino","Grade 4 Math 4s - Asian or Pacific Islander","Grade 4 Math 4s - White","Grade 4 Math 4s - Multiracial","Grade 4 Math 4s - Limited English Proficient","Grade 4 Math 4s - Economically Disadvantaged","Grade 5 ELA - All Students Tested","Grade 5 ELA 4s - All Students","Grade 5 ELA 4s - American Indian or Alaska Native","Grade 5 ELA 4s - Black or African American","Grade 5 ELA 4s - Hispanic or Latino","Grade 5 ELA 4s - Asian or Pacific Islander","Grade 5 ELA 4s - White","Grade 5 ELA 4s - Multiracial","Grade 5 ELA 4s - Limited English Proficient","Grade 5 ELA 4s - Economically Disadvantaged","Grade 5 Math - All Students Tested","Grade 5 Math 4s - All Students","Grade 5 Math 4s - American Indian or Alaska Native","Grade 5 Math 4s - Black or African American","Grade 5 Math 4s - Hispanic or Latino","Grade 5 Math 4s - Asian or Pacific Islander","Grade 5 Math 4s - White","Grade 5 Math 4s - Multiracial","Grade 5 Math 4s - Limited English Proficient","Grade 5 Math 4s - Economically Disadvantaged","Grade 6 ELA - All Students Tested","Grade 6 ELA 4s - All Students","Grade 6 ELA 4s - American Indian or Alaska Native","Grade 6 ELA 4s - Black or African American","Grade 6 ELA 4s - Hispanic or Latino","Grade 6 ELA 4s - Asian or Pacific Islander","Grade 6 ELA 4s - White","Grade 6 ELA 4s - Multiracial","Grade 6 ELA 4s - Limited English Proficient","Grade 6 ELA 4s - Economically Disadvantaged","Grade 6 Math - All Students Tested","Grade 6 Math 4s - All Students","Grade 6 Math 4s - American Indian or Alaska Native","Grade 6 Math 4s - Black or African American","Grade 6 Math 4s - Hispanic or Latino","Grade 6 Math 4s - Asian or Pacific Islander","Grade 6 Math 4s - White","Grade 6 Math 4s - Multiracial","Grade 6 Math 4s - Limited English Proficient","Grade 6 Math 4s - Economically Disadvantaged","Grade 7 ELA - All Students Tested","Grade 7 ELA 4s - All Students","Grade 7 ELA 4s - American Indian or Alaska Native","Grade 7 ELA 4s - Black or African American","Grade 7 ELA 4s - Hispanic or Latino","Grade 7 ELA 4s - Asian or Pacific Islander","Grade 7 ELA 4s - White","Grade 7 ELA 4s - Multiracial","Grade 7 ELA 4s - Limited English Proficient","Grade 7 ELA 4s - Economically Disadvantaged","Grade 7 Math - All Students Tested","Grade 7 Math 4s - All Students","Grade 7 Math 4s - American Indian or Alaska Native","Grade 7 Math 4s - Black or African American","Grade 7 Math 4s - Hispanic or Latino","Grade 7 Math 4s - Asian or Pacific Islander","Grade 7 Math 4s - White","Grade 7 Math 4s - Multiracial","Grade 7 Math 4s - Limited English Proficient","Grade 7 Math 4s - Economically Disadvantaged","Grade 8 ELA - All Students Tested","Grade 8 ELA 4s - All Students","Grade 8 ELA 4s - American Indian or Alaska Native","Grade 8 ELA 4s - Black or African American","Grade 8 ELA 4s - Hispanic or Latino","Grade 8 ELA 4s - Asian or Pacific Islander","Grade 8 ELA 4s - White","Grade 8 ELA 4s - Multiracial","Grade 8 ELA 4s - Limited English Proficient","Grade 8 ELA 4s - Economically Disadvantaged","Grade 8 Math - All Students Tested","Grade 8 Math 4s - All Students","Grade 8 Math 4s - American Indian or Alaska Native","Grade 8 Math 4s - Black or African American","Grade 8 Math 4s - Hispanic or Latino","Grade 8 Math 4s - Asian or Pacific Islander","Grade 8 Math 4s - White","Grade 8 Math 4s - Multiracial","Grade 8 Math 4s - Limited English Proficient","Grade 8 Math 4s - Economically Disadvantaged"
,,,"P.S. 015 ROBERTO CLEMENTE","310100010015","01M015",1,40.721834,-73.978766,"333 E 4TH ST NEW YORK, NY 10009","NEW YORK","10009","PK,0K,01,02,03,04,05","PK","05","Yes",0.919,"$31,141.72 ",9%,5%,32%,60%,92%,1%,94%,18%,89%,"Meeting Target",94%,"Meeting Target",86%,"Exceeding Target",91%,"Exceeding Target",85%,"Meeting Target",94%,"Exceeding Target","Approaching Target",2.14,2.17,20,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,"P.S. 019 ASHER LEVY","310100010019","01M019",1,40.729892,-73.984231,"185 1ST AVE NEW YORK, NY 10003","NEW YORK","10003","PK,0K,01,02,03,04,05","PK","05","No",0.641,"$56,462.88 ",5%,10%,20%,63%,83%,6%,92%,30%,96%,"N/A",96%,"N/A",97%,"N/A",90%,"Exceeding Target",86%,"Meeting Target",94%,"Meeting Target","Exceeding Target",2.63,2.98,33,2,0,1,1,0,0,0,0,0,33,6,0,2,1,0,0,0,0,4,29,5,0,0,3,0,0,0,0,3,28,10,0,0,6,0,0,0,0,8,32,7,0,3,1,2,0,0,0,6,32,4,0,0,1,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,"P.S. 020 ANNA SILVER","310100010020","01M020",1,40.721274,-73.986315,"166 ESSEX ST NEW YORK, NY 10002","NEW YORK","10002","PK,0K,01,02,03,04,05","PK","05","No",0.744,"$44,342.61 ",15%,35%,8%,49%,57%,4%,94%,20%,87%,"Meeting Target",77%,"Meeting Target",82%,"Approaching Target",61%,"Not Meeting Target",80%,"Approaching Target",79%,"Not Meeting Target","Approaching Target",2.39,2.54,76,6,0,0,0,4,0,0,0,2,76,11,0,0,3,7,0,0,0,6,70,9,0,0,1,6,2,0,0,1,71,13,0,0,0,11,2,0,0,4,73,2,0,0,1,1,0,0,0,0,73,10,0,0,1,9,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,"P.S. 034 FRANKLIN D. ROOSEVELT","310100010034","01M034",1,40.726147,-73.975043,"730 E 12TH ST NEW YORK, NY 10009","NEW YORK","10009","PK,0K,01,02,03,04,05,06,07,08","PK","08","No",0.86,"$31,454.00 ",7%,5%,29%,63%,92%,4%,92%,28%,85%,"Approaching Target",78%,"Meeting Target",82%,"Meeting Target",73%,"Approaching Target",89%,"Meeting Target",88%,"Meeting Target","Exceeding Target",2.48,2.47,27,0,0,0,0,0,0,0,0,0,29,4,0,0,2,0,0,0,0,0,35,1,0,0,1,0,0,0,0,0,34,1,0,0,1,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,29,1,0,0,1,0,0,0,0,0,54,3,0,0,1,0,0,0,0,3,54,3,0,0,0,0,0,0,0,3,55,4,0,0,3,0,0,0,0,0,55,3,0,0,3,0,0,0,0,0,47,1,0,0,0,0,0,0,0,0,48,1,0,0,0,0,0,0,0,0
,,,"THE STAR ACADEMY - P.S.63","310100010063","01M063",1,40.724404,-73.98636,"121 E 3RD ST NEW YORK, NY 10009","NEW YORK","10009","PK,0K,01,02,03,04,05","PK","05","No",0.73,"$46,435.59 ",3%,4%,20%,65%,84%,10%,93%,23%,90%,"Meeting Target",88%,"Meeting Target",87%,"Meeting Target",81%,"Meeting Target",89%,"Meeting Target",93%,"Meeting Target","Meeting Target",2.38,2.54,21,2,0,0,2,0,0,0,0,0,21,5,0,0,2,0,0,0,0,2,15,2,0,1,0,0,0,0,0,0,15,3,0,1,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,1,12,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,"P.S. 064 ROBERT SIMON","310100010064","01M064",1,40.723747,-73.981602,"600 E 6TH ST NEW YORK, NY 10009","NEW YORK","10009","PK,0K,01,02,03,04,05","PK","05","No",0.858,"$39,415.45 ",6%,7%,19%,66%,84%,7%,92%,33%,93%,"Meeting Target",99%,"Exceeding Target",95%,"Exceeding Target",91%,"Exceeding Target",88%,"Meeting Target",97%,"Exceeding Target","Meeting Target",2.29,2.48,29,1,0,0,0,0,0,0,0,0,31,4,0,0,1,0,0,0,0,0,40,2,0,0,2,0,0,0,0,2,40,4,0,0,1,0,0,0,0,3,42,0,0,0,0,0,0,0,0,0,44,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,"P.S. 110 FLORENCE NIGHTINGALE","310100010110","01M110",1,40.715293,-73.979927,"285 DELANCEY ST NEW YORK, NY 10002","NEW YORK","10002","PK,0K,01,02,03,04,05","PK","05","No",0.499,"$43,706.73 ",1%,16%,10%,43%,53%,27%,95%,13%,88%,"Exceeding Target",78%,"Meeting Target",95%,"Exceeding Target",69%,"Approaching Target",87%,"Meeting Target",78%,"Not Meeting Target","Exceeding Target",2.8,3.2,81,12,0,1,1,3,7,0,0,6,81,37,0,0,11,12,10,0,0,20,49,15,0,0,4,0,9,0,0,4,49,23,0,0,6,0,12,0,0,6,65,16,0,1,5,0,6,0,0,4,65,18,0,1,5,0,6,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,"P.S. 134 HENRIETTA SZOLD","310100010134","01M134",1,40.714301,-73.982966,"293 E BROADWAY NEW YORK, NY 10002","NEW YORK","10002","PK,0K,01,02,03,04,05","PK","05","No",0.833,"$28,820.67 ",12%,21%,20%,55%,75%,3%,91%,36%,87%,"Approaching Target",89%,"Meeting Target",88%,"Approaching Target",88%,"Meeting Target",79%,"Approaching Target",94%,"Exceeding Target","Meeting Target",2.28,2.73,35,0,0,0,0,0,0,0,0,0,36,6,0,0,1,4,0,0,1,0,43,3,0,0,1,2,0,0,0,0,43,6,0,0,0,6,0,0,0,0,34,5,0,0,5,0,0,0,0,0,34,7,0,0,6,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,"P.S. 140 NATHAN STRAUS","310100010140","01M140",1,40.719128,-73.983283,"123 RIDGE ST NEW YORK, NY 10002","NEW YORK","10002","PK,0K,01,02,03,04,05,06,07,08","PK","08","No",0.849,"$34,889.24 ",14%,5%,13%,78%,90%,3%,93%,27%,94%,"Meeting Target",91%,"Approaching Target",85%,"Meeting Target",87%,"Meeting Target",83%,"Meeting Target",93%,"Meeting Target","Meeting Target",2.21,2.27,28,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,32,1,0,0,1,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,56,5,0,1,2,0,0,0,0,3,47,2,0,0,2,0,0,0,0,0,46,1,0,0,0,1,0,0,0,1,61,3,0,0,1,0,0,0,0,1,61,2,0,0,1,0,0,0,0,1
,,,"P.S. 142 AMALIA CASTRO","310100010142","01M142",1,40.71823,-73.984082,"100 ATTORNEY ST NEW YORK, NY 10002","NEW YORK","10002","PK,0K,01,02,03,04,05","PK","05","No",0.861,"$35,545.10 ",8%,6%,11%,78%,90%,2%,92%,27%,92%,"Meeting Target",89%,"Meeting Target",90%,"Meeting Target",83%,"Meeting Target",89%,"Meeting Target",95%,"Exceeding Target","Meeting Target",2.16,2.31,40,1,0,0,1,0,0,0,0,0,38,1,0,0,1,0,0,0,0,0,58,4,0,0,3,0,0,0,0,0,55,2,0,0,0,0,0,0,0,0,46,1,0,0,1,0,0,0,0,0,47,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
