"","Country","No_of_players","avg_rating","Midpoint_rating","lowest_rating","highest_rating","avg_age","Midpoint_age","lowest_age","highest_Age","avg_height","Midpoint_height","lowest_height","highest_height","avg_weight","Midpoint_weight","lowest_weight","highest_weight"
"1","Afghanistan",1,63,63,63,63,22,22,22,22,185,185,185,185,71,71,71,71
"2","Albania",49,67.3877551020408,67,51,79,25.6326530612245,25,18,33,183.122448979592,183,172,194,75.6938775510204,75,63,92
"3","Algeria",57,69.2982456140351,69,53,86,26.2105263157895,26,18,34,179.842105263158,181,168,191,73.6842105263158,72,60,92
"4","Andorra",1,62,62,62,62,20,20,20,20,190,190,190,190,78,78,78,78
"5","Angola",20,68.85,69.5,57,79,26.5,28,20,32,177.9,177.5,168,193,74,73.5,60,91
"6","Antigua and Barbuda",3,64,62,62,68,25.6666666666667,26,24,27,179,178,178,181,76,75,73,80
"7","Argentina",871,68.7405281285878,69,55,91,26.4179104477612,26,16,42,179.042479908152,179,156,197,74.7749712973594,75,56,99
"8","Armenia",8,70.625,68,65,81,29.25,29.5,22,36,179.75,181,172,187,75.75,75.5,68,86
"9","Australia",262,61.6603053435115,62,49,78,24.6335877862595,24,16,40,181.248091603053,181,158,200,75.1641221374046,75,58,95
"10","Austria",281,65.9679715302491,66,52,86,25.135231316726,25,18,40,183.512455516014,184,168,200,76.5302491103203,76,60,94
"11","Azerbaijan",7,64.4285714285714,64,60,69,24,23,19,32,183.714285714286,186,173,188,74.4285714285714,75,65,82
"12","Belarus",3,63,63,63,63,27.3333333333333,29,21,32,184.333333333333,185,174,194,75,80,62,83
"13","Belgium",310,67.0709677419355,67,51,91,24.0806451612903,23,17,37,182.229032258065,182.5,162,199,75.1322580645161,74.5,55,96
"14","Benin",15,66.1333333333333,67,59,73,25.1333333333333,26,19,33,181.133333333333,180,172,195,75.0666666666667,75,60,85
"15","Bermuda",1,68,68,68,68,32,32,32,32,170,170,170,170,69,69,69,69
"16","Bolivia",114,63.8245614035088,64,54,73,25.7017543859649,25,18,39,176.991228070175,177,164,192,72.9473684210526,72,54,94
"17","Bosnia and Herzegovina",61,68.672131147541,69,53,84,27.0655737704918,28,17,36,185.918032786885,185,168,199,78.4754098360656,77,63,101
"18","Brazil",672,71.6726190476191,72,58,89,26.9479166666667,26,18,41,180.989583333333,181,164,200,75.9836309523809,76,57,97
"19","Bulgaria",22,65.2272727272727,65.5,52,70,26.4545454545455,26,20,33,182.681818181818,184.5,170,195,75.5,75,65,88
"20","Burkina Faso",16,67.75,67.5,55,81,23,22.5,19,34,181.625,181,171,192,75.8125,74.5,65,90
"21","Burundi",2,64.5,64.5,57,72,22.5,22.5,22,23,178.5,178.5,174,183,75,75,71,79
"22","Cameroon",74,67.9324324324324,67,56,84,24.7837837837838,25,18,34,183.445945945946,184.5,167,194,78.3918918918919,77,60,96
"23","Canada",78,64.1923076923077,64,48,84,24.025641025641,23,17,39,181.589743589744,181,168,198,76.4230769230769,76,63,96
"24","Cape Verde Islands",29,67.7931034482759,67,62,76,27.2413793103448,27,20,34,181.103448275862,182,168,192,75.6551724137931,75,60,87
"25","Central African Republic",3,70,67,61,82,27.3333333333333,27,26,29,183.666666666667,182,181,188,73.6666666666667,75,70,76
"26","Chad",1,64,64,64,64,24,24,24,24,190,190,190,190,85,85,85,85
"27","Chile",159,65.440251572327,66,53,80,25.685534591195,25,17,39,177.119496855346,177,162,194,73.8050314465409,74,49,92
"28","China PR",432,57.7430555555556,58,47,73,26.7268518518519,27,16,38,181.601851851852,182,166,197,73.2222222222222,73,56,92
"29","Chinese Taipei",2,66.5,66.5,64,69,30.5,30.5,28,33,182,182,180,184,72.5,72.5,72,73
"30","Colombia",261,68.3218390804598,69,52,84,26.3869731800766,26,17,38,179.233716475096,180,160,195,74.8735632183908,75,57,94
"31","Comoros",11,64.8181818181818,65,55,74,26,27,20,34,177.272727272727,178,169,191,71,72,65,80
"32","Congo",18,65.9444444444444,66,55,74,25.3888888888889,26,19,32,184.222222222222,184,175,194,78.9444444444444,78.5,70,90
"33","Congo DR",44,68.25,69.5,58,79,26.7045454545455,27,20,34,179.772727272727,180,169,197,75.0227272727273,75,58,97
"34","Costa Rica",20,67.45,66.5,59,88,27,27.5,18,35,178.45,178,165,190,73.95,73,60,89
"35","Croatia",164,69.3841463414634,68.5,56,88,25.9756097560976,26,17,37,185.378048780488,186,172,199,78.5914634146341,78.5,66,99
"36","Cuba",4,67,67,64,70,29.5,30,22,36,180.75,179,172,193,78.25,77.5,70,88
"37","Curacao",12,66.8333333333333,66.5,62,73,27.4166666666667,27.5,22,33,181.333333333333,181,168,194,75.3333333333333,76,63,88
"38","Cyprus",24,63.1666666666667,63,55,72,23.2083333333333,23.5,17,32,180.541666666667,181.5,170,190,74.8333333333333,74,66,86
"39","Czech Republic",95,71.2315789473684,72,61,85,26.8526315789474,27,18,36,184.778947368421,185,169,206,79.2105263157895,79,62,102
"40","Côte d'Ivoire",92,68.3804347826087,68,53,84,24.6304347826087,24,17,36,180.576086956522,180,167,195,74.804347826087,75,58,97
"41","Denmark",300,66.1666666666667,66,50,83,24.8466666666667,25,16,38,184.35,185,168,202,76.9566666666667,77,58,98
"42","Dominican Republic",3,65,65,56,74,24.6666666666667,28,18,28,172.666666666667,170,168,180,69.3333333333333,73,59,76
"43","Ecuador",152,65.6052631578947,66,57,79,25.0065789473684,24.5,17,36,177.447368421053,177.5,155,192,73.5263157894737,73,56,104
"44","Egypt",13,71.3846153846154,73,53,90,26.3076923076923,28,16,33,180.538461538462,179,169,193,74.0769230769231,73,64,88
"45","El Salvador",5,64.4,65,61,68,25.6,25,21,32,181,180,177,185,75.4,73,70,84
"46","England",1494,64.3119143239625,64,50,89,24.5776439089692,24,17,40,182.33734939759,183,160,206,74.5421686746988,74,55,100
"47","Equatorial Guinea",7,65.4285714285714,64,60,73,24.2857142857143,24,21,30,183.285714285714,184,178,188,74.4285714285714,75,72,76
"48","Estonia",10,62.8,63.5,56,68,24.1,24.5,18,30,185.6,185.5,175,193,77.9,77,73,90
"49","Ethiopia",2,63,63,61,65,29,29,22,36,176.5,176.5,176,177,63,63,62,64
"50","Faroe Islands",5,60.4,62,55,64,25.4,26,18,30,179,178,172,187,74,75,65,82
"51","Fiji",1,70,70,70,70,34,34,34,34,169,169,169,169,70,70,70,70
"52","Finland",68,64.8676470588235,65,53,83,25.6911764705882,25,19,37,183.323529411765,183,170,200,76.1911764705882,76,63,92
"53","France",922,67.5986984815618,67,53,91,24.5943600867679,24,16,41,181.882863340564,182,164,204,74.8752711496746,75,55,98
"54","Gabon",14,68.7857142857143,67.5,59,85,26.8571428571429,27.5,18,33,178.857142857143,179.5,170,187,73.8571428571429,73,64,85
"55","Gambia",32,65.125,66.5,53,77,24.25,24,17,33,181.59375,182,166,192,74.3125,74,60,88
"56","Georgia",29,67.6206896551724,67,55,78,25.6551724137931,26,21,33,181.586206896552,181,171,199,73.6896551724138,73,62,92
"57","Germany",1188,65.7255892255892,65,50,90,24.7584175084175,24,16,39,184.035353535354,184,162,202,78.3804713804714,78,56,105
"58","Ghana",129,66.968992248062,67,51,84,24.4883720930233,24,18,36,178.604651162791,179,160,193,72.7441860465116,73,56,91
"59","Gibraltar",1,59,59,59,59,22,22,22,22,175,175,175,175,74,74,74,74
"60","Greece",88,68.1704545454545,69,55,81,24.9772727272727,25,18,34,182.943181818182,183.5,170,196,77.5227272727273,77,62,95
"61","Grenada",5,66.4,67,63,70,27.4,29,24,30,182.2,185,175,191,77.2,80,67,88
"62","Guam",1,63,63,63,63,34,34,34,34,175,175,175,175,68,68,68,68
"63","Guatemala",1,63,63,63,63,25,25,25,25,193,193,193,193,85,85,85,85
"64","Guinea",28,66.5357142857143,68,54,81,24.3571428571429,24,18,32,183.5,185,170,192,76.75,76,64,93
"65","Guinea Bissau",21,66.7619047619048,67,59,74,25.9047619047619,27,18,31,181.142857142857,181,172,198,74.6666666666667,73,63,91
"66","Guyana",4,59,60,54,62,21.75,21.5,20,24,178.75,178.5,170,188,71.75,72,65,78
"67","Haiti",9,64.4444444444444,64,61,71,24.8888888888889,25,19,34,179.777777777778,180,174,191,76.4444444444444,75,70,89
"68","Honduras",10,69.4,69.5,60,75,27.2,27.5,21,35,180.2,179,171,191,74.3,73.5,68,82
"69","Hong Kong",3,62.6666666666667,62,58,68,26.3333333333333,26,26,27,183,185,174,190,75,75,73,77
"70","Hungary",41,68.4390243902439,68,57,85,26.390243902439,27,18,34,183.536585365854,185,170,194,77.0243902439024,77,60,93
"71","Iceland",54,65.0185185185185,65,53,76,24.6111111111111,23.5,17,35,184.648148148148,185,171,201,76.9444444444444,77,64,89
"72","India",190,54.5105263157895,54,47,65,24.5736842105263,24,18,37,176.189473684211,176,163,197,70.0157894736842,70,57,92
"73","Indonesia",1,58,58,58,58,19,19,19,19,194,194,194,194,86,86,86,86
"74","Iran",16,70.125,70,61,81,27.5625,28,21,35,181.5,180,174,198,78.4375,78.5,69,92
"75","Iraq",9,63,63,54,70,24,24,18,33,182.333333333333,181,178,188,72.5555555555556,73,65,82
"76","Israel",19,67.1052631578947,65,60,76,24.9473684210526,24,20,32,180,181,165,193,75.2631578947368,77,66,84
"77","Italy",613,67.9461663947798,68,50,88,26.0081566068515,26,16,44,183.311582381729,184,163,201,76.163132137031,76,55,95
"78","Jamaica",38,67.3947368421053,68,54,80,27.1315789473684,28,18,37,181.894736842105,180.5,170,203,75.9736842105263,77,65,92
"79","Japan",77,68.948051948052,68,53,80,25.987012987013,25,18,39,177.38961038961,177,163,196,71.4285714285714,70,59,90
"80","Jordan",2,61.5,61.5,53,70,25.5,25.5,25,26,182,182,176,188,76.5,76.5,66,87
"81","Kazakhstan",1,68,68,68,68,30,30,30,30,179,179,179,179,72,72,72,72
"82","Kenya",10,61,60,50,73,22.2,22,18,27,182.4,184,168,193,76.2,75,70,91
"83","Korea DPR",1,70,70,70,70,32,32,32,32,183,183,183,183,75,75,75,75
"84","Korea Republic",315,62.7142857142857,63,50,89,26.9365079365079,27,17,39,180.806349206349,180,166,197,74.0952380952381,74,58,93
"85","Kosovo",54,66.0185185185185,66.5,55,80,25.037037037037,25,19,33,183.074074074074,182,172,197,75.8148148148148,75.5,65,96
"86","Latvia",5,62.2,64,55,67,22.6,22,19,27,185.4,187,171,198,78.4,75,69,92
"87","Lebanon",1,63,63,63,63,28,28,28,28,185,185,185,185,80,80,80,80
"88","Liberia",5,65.6,64,59,75,22.6,23,18,25,181.8,184,174,185,74,74,66,81
