Category: All categories

Region,Facebook: (8/15/19 - 8/15/20)
Maine,100
Montana,97
Wyoming,97
West Virginia,97
South Dakota,97
Iowa,89
New Mexico,89
Vermont,87
Alabama,85
North Dakota,84
Mississippi,83
Kentucky,83
Idaho,83
Wisconsin,82
Tennessee,82
South Carolina,82
Michigan,82
New Hampshire,81
Oklahoma,81
Indiana,81
Ohio,79
Arkansas,79
Kansas,78
Nebraska,77
North Carolina,77
Alaska,77
Oregon,75
Missouri,75
Pennsylvania,75
Delaware,73
Minnesota,71
Louisiana,71
Rhode Island,71
Georgia,70
Washington,69
Arizona,68
Illinois,68
Virginia,66
Florida,66
Colorado,65
Maryland,63
Nevada,63
Utah,62
Massachusetts,62
Texas,62
Connecticut,61
New Jersey,58
New York,55
California,53
Hawaii,48
District of Columbia,44
