Category: All categories

Region,Football: (1/1/04 - 8/13/20),American football: (1/1/04 - 8/13/20)
Alabama,17%,83%
Nebraska,23%,77%
Mississippi,23%,77%
South Carolina,23%,77%
Iowa,26%,74%
Oklahoma,25%,75%
West Virginia,25%,75%
Tennessee,25%,75%
Georgia,28%,72%
Louisiana,26%,74%
Ohio,31%,69%
Michigan,29%,71%
Arkansas,26%,74%
Kentucky,29%,71%
Idaho,28%,72%
North Dakota,28%,72%
Utah,34%,66%
South Dakota,32%,68%
North Carolina,34%,66%
Montana,28%,72%
Kansas,36%,64%
Texas,37%,63%
Wyoming,30%,70%
Indiana,35%,65%
Florida,35%,65%
Wisconsin,36%,64%
Pennsylvania,39%,61%
Minnesota,38%,62%
Missouri,39%,61%
Hawaii,36%,64%
Colorado,40%,60%
Oregon,48%,52%
Arizona,38%,62%
District of Columbia,43%,57%
Illinois,43%,57%
Washington,41%,59%
Virginia,47%,53%
Delaware,43%,57%
Nevada,42%,58%
New Jersey,53%,47%
New Mexico,40%,60%
Maryland,48%,52%
Connecticut,53%,47%
Massachusetts,53%,47%
California,54%,46%
Rhode Island,53%,47%
New York,54%,46%
Vermont,55%,45%
New Hampshire,50%,50%
Alaska,42%,58%
Maine,50%,50%
