Category: All categories

Region,Gmail: (8/15/19 - 8/15/20)
Vermont,100
Maine,95
District of Columbia,95
Massachusetts,88
Hawaii,87
Rhode Island,86
Utah,83
New Jersey,82
California,81
Colorado,80
Maryland,79
New Hampshire,79
Arkansas,78
Connecticut,78
Alaska,78
Virginia,78
New York,78
Oregon,77
Montana,74
Idaho,74
North Carolina,73
Iowa,72
Illinois,72
Nevada,71
Wyoming,71
Michigan,70
Arizona,69
Minnesota,69
Wisconsin,69
Delaware,68
South Carolina,68
Nebraska,66
Kansas,66
Indiana,66
Washington,65
Georgia,65
Pennsylvania,65
New Mexico,64
Ohio,64
Florida,64
Missouri,63
Mississippi,61
Tennessee,60
Texas,60
Alabama,60
Louisiana,59
Oklahoma,56
North Dakota,54
West Virginia,53
Kentucky,53
South Dakota,46
