BusinessYear,StateCode,IssuerId,SourceName,VersionNum,ImportDate,IssuerId2,StateCode2,NetworkName,NetworkId,NetworkURL,RowNumber,MarketCoverage,DentalOnlyPlan
2014,AK,21989,HIOS,6,2014-03-19 07:06:49,21989,AK,ODS Premier,AKN001,https://www.modahealth.com/ProviderSearch/faces/webpages/home.xhtml?dn=ods,13,,
2014,AK,38344,HIOS,6,2013-08-28 08:15:53,38344,AK,HeritagePlus,AKN001,https://www.premera.com/wa/visitor/,13,,
2014,AK,38536,HIOS,2,2013-08-01 12:48:00,38536,AK,Lincoln Dental Connect,AKN001,http://lfg.go2dental.com/member/dental_search/searchprov.cgi?P=LFGDentalConnect&Network=L,13,,
2014,AK,42507,HIOS,3,2013-09-02 11:39:25,42507,AK,DentalGuard Preferred,AKN001,https://www.guardiananytime.com/fpapp/FPWeb/dentalSearch.process,13,,
2014,AK,73836,HIOS,6,2014-04-18 11:49:29,73836,AK,Moda Plus AK Regional,AKN001,https://www.modahealth.com/ProviderSearch/faces/webpages/home.xhtml?dn=ods,13,,
2014,AK,73836,HIOS,6,2014-04-18 11:49:29,73836,AK,Moda Plus Providence,AKN002,https://www.modahealth.com/ProviderSearch/faces/webpages/home.xhtml?dn=ods,14,,
2014,AK,74819,HIOS,7,2014-01-21 08:29:49,74819,AK,DenteMax,AKN001,http://www2.dentemax.com/,13,,
2014,AK,84859,HIOS,1,2013-06-06 10:50:48,84859,AK,Ameritas PPO Dental Network,AKN001,www.standard.com,13,,
2014,AL,12538,HIOS,8,2014-01-21 08:29:49,12538,AL,DenteMax,ALN001,http://www2.dentemax.com/,13,,
2014,AL,12538,HIOS,8,2014-01-21 08:29:49,12538,AL,CONNECTION Dental through PPO USA,ALN002,http://www.ppousa.com/patients/index.html,14,,
2014,AL,17540,HIOS,3,2013-09-02 11:39:25,17540,AL,DentalGuard Preferred,ALN001,https://www.guardiananytime.com/fpapp/FPWeb/dentalSearch.process,13,,
2014,AL,44580,HIOS,10,2014-01-21 08:29:49,44580,AL,Birmingham PPOx,ALN001,http://pfp.humana.com/Pfp/PfpMain.aspx?cust=1059&pfpkey=808,13,,
2014,AL,44580,HIOS,10,2014-01-21 08:29:49,44580,AL,Huntsville PPOx,ALN002,http://pfp.humana.com/Pfp/PfpMain.aspx?cust=1059&pfpkey=809,14,,
2014,AL,44580,HIOS,10,2014-01-21 08:29:49,44580,AL,Humana Dental PPO Traditional Preferred,ALN003,https://www.humana.com/finder/search?customerID=1085&pfpkey=317,15,,
2014,AL,44785,HIOS,4,2013-09-10 14:43:20,44785,AL,Advantage Plus,ALN001,https://secure.ucci.com/tp2fad/?network=074,13,,
2014,AL,46211,HIOS,1,2013-06-06 10:50:48,46211,AL,Lincoln Dental Connect,ALN001,http://lfg.go2dental.com/member/dental_search/searchprov.cgi?P=LFGDentalConnect&Network=L,13,,
2014,AL,46944,HIOS,7,2014-01-17 09:36:20,46944,AL,BCBSAL PPO,ALN001,https://www.bcbsal.org/doctorfinder?frm=Exchange,13,,
2014,AL,59809,HIOS,8,2014-01-16 07:24:04,59809,AL,Choice Plus,ALN001,http://www.providerlookuponline.com/uhc/po7/gateway.aspx?delsys=05,13,,
2014,AL,59809,HIOS,8,2014-01-16 07:24:04,59809,AL,Choice Plus,ALN002,http://www.providerlookuponline.com/uhc/po7/gateway.aspx?delsys=05,14,,
2014,AL,77233,HIOS,6,2014-01-17 09:36:20,77233,AL,Dentegra Dental PPO,ALN001,http://www.dentegra.com/find-a-dentist,13,,
