Date,City,State,Dead,Injured,Total,Description
2022-07-07,Chicago,Illinois,0,4,4,Four people were wounded in a drive-by shooting in the East Garfield Park neighborhood.
2022-07-06,Tampa,Florida,0,4,4,Four people were shot at an intersection in the Jackson Heights neighborhood.
2022-07-06,Chicago,Illinois,0,4,4,Four people were shot after three men got out of a car and opened fire on a group of people in the Near West Side neighborbood.
2022-07-06,St. Cloud,Minnesota,0,4,4,"An argument in an alleyway escalated into a shooting that injured four, including two teenagers."
2022-07-05,Youngstown,Ohio,1,3,4,"Four people were shot, one fatally, in the parking lot of an event center in the Lansingville neighborhood during a shootout."
2022-07-05,Gary,Indiana,3,7,10,Shortly after midnight three people were killed and seven injured at a large block party.
2022-07-05,Steubenville,Ohio,0,4,4,A shooting inside a nightclub left four injured.
2022-07-05,Rochester,New York,1,3,4,"Several people opened fire on a crowd of people gathered at a recreation center, leaving one dead and three others injured."
2022-07-04,Shreveport,Louisiana,1,3,4,"Three vehicles engaged in a running gun battle, leaving one dead and three others injured."
2022-07-04,Highland Park,Illinois,7,25,32,"Highland Park parade shooting: Seven people were killed and twenty-five others were wounded after a person opened fire from a rooftop on people attending an Independence Day parade. Eleven others were injured fleeing the scene. The shooter also admitted he had plans to drive to Madison, Wisconsin to shoot more people."
2022-07-04,Boston,Massachusetts,0,4,4,Four people were shot at an intersection in the Dorchester neighborhood.
2022-07-04,Chicago,Illinois,0,5,5,"Shortly after midnight, five people, including a teenager, were shot in the Parkway Gardens neighborhood as they stood outside."
2022-07-04,Richmond,Virginia,0,6,6,Six people were shot during the early morning outside an internet cafe in the Jackson Ward neighborhood.
2022-07-04,Kansas City,Missouri,0,4,4,"Officers responding to reports of car break-ins heard gunshots, then found four people shot in the downtown area."
2022-07-04,Kenosha,Wisconsin,1,4,5,"Five people were shot, one fatally, at a home in the central part of the city."
2022-07-04,Sacramento,California,1,4,5,A shooting outside a nightclub killed one and injured four.
2022-07-04,New York City,New York,0,4,4,"Four adults were wounded at a cookout at a home in Rochdale Village, Queens after an unidentified shooter arrived and opened fire. They fled before police arrived."
2022-07-04,Denver,Colorado,1,3,4,A shooting in the College View neighborhood left one dead and three others injured.
2022-07-04,Minneapolis,Minnesota,0,7,7,"During a night of civil unrest and several informal Independence Day celebrations, a shooting at Boom Island Park left seven injured."
2022-07-04,Oakland,California,0,5,5,Five people were hit by celebratory gunfire fired from a nearby neighborhood inside the Oakland Coliseum during a baseball game between the Toronto Blue Jays and Oakland Athletics.
2022-07-03,Manassas,Virginia,0,4,4,A fight in the parking lot of a car wash escalated into a shooting that left four injured.
2022-07-03,Mullins,South Carolina,0,4,4,Four people were wounded in a shooting.
2022-07-03,Surprise,Arizona,3,4,7,A shooter opened fire during a birthday party leaving three men dead and four others wounded.
2022-07-03,Tacoma,Washington,0,4,4,Four people were shot in the South End neighborhood.
2022-07-02,Haltom City,Texas,3,4,7,"A man shot and killed two people at a home before also shooting a neighbor who was calling the police and then opened fire on three police officers as they approached the residence, wounding all three. The shooter fled the scene and later fatally shot himself."
2022-07-02,Clinton,North Carolina,0,6,6,A drive-by shooting left four adults and two children hospitalized.
2022-07-01,New York City,New York,1,3,4,"A shooter opened fire inside a mechanic shop that was hosting a party in the Richmond Hill neighborhood of Queens, leaving one dead and three others injured."
2022-07-01,Chicago,Illinois,2,3,5,An argument outside a nightclub escalated into a shooting that injured two and injured three others in the Chicago Loop.
2022-07-01,Chicago,Illinois,0,4,4,"A man opened fire on people on a street in the West Garfield Park neighborhood, leaving four injured."
2022-07-01,Greenwood,Mississippi,1,7,8,A drive-by shooting left one dead and seven others injured.
