State/UT,2014 - Cases registered,2014 - Total rape Cases,2015 - Cases registered,2015 - Total rape Cases,2016 - Cases registered,2016 - Total rape Cases
Andhra Pradesh,16526,961,15967,1027,16362,994
Arunachal Pradesh,351,83,384,71,367,92
Assam,19169,1980,23365,1733,20869,1779
Bihar,15393,1127,13904,1041,13400,1008
Chhattisgarh,6301,1436,5783,1560,5947,1626
Goa,508,95,392,86,371,61
Gujarat,10854,841,7777,503,8532,982
Haryana,9010,1174,9511,1070,9839,1187
Himachal Pradesh,1529,283,1295,244,1222,252
Jammu & Kashmir,3327,331,3366,296,2850,256
Jharkhand,6086,1050,6568,1053,5453,1109
Karnataka,14004,1324,12775,589,14131,1655
Kerala,11451,1347,9767,1256,10034,1656
Madhya Pradesh,28756,5076,24231,4391,26604,4882
Maharashtra,26818,3438,31216,4144,31388,4189
Manipur,337,75,266,46,253,55
Meghalaya,390,118,337,93,372,190
Mizoram,258,120,158,58,120,23
Nagaland,68,30,91,35,105,26
Odisha,14651,1978,17200,2251,17837,1983
Punjab,5481,981,5340,886,5105,838
Rajasthan,31216,3759,28224,3644,27422,3656
Sikkim,111,47,53,5,153,92
Tamil Nadu,6354,455,5919,421,4463,319
Telangana,14147,979,15425,1105,15374,1278
Tripura,1618,239,1267,213,1013,207
Uttar Pradesh,38918,3467,35908,3025,49262,4816
Uttarakhand,1413,270,1465,283,1588,336
West Bengal,38424,1466,33318,1199,32513,1110
A & N Island,117,32,136,36,108,30
Chandigarh,434,59,468,72,414,68
D & N Haveli,21,5,25,8,28,14
Daman & Diu,16,2,29,5,41,12
Delhi,15319,2096,17222,2199,15310,2155
Lakshadweep,4,1,9,0,9,5
Puducherry,77,10,82,3,95,6
Total (All India),339457,36735,329243,34651,338954,38947
