States/UTs,Rape - 2015,Rape - 2016,Assaults (molestation) - 2015,Assaults (molestation) - 2016,Murder (women) - 2015,Murder (women) - 2016
Andhra Pradesh,1027,994,4616,4829,428,411
Arunachal Pradesh,71,92,101,109,9,11
Assam,1733,1779,4293,3378,185,220
Bihar,1041,1008,198,324,340,318
Chhattisgarh,1560,1626,1868,1770,338,347
Goa,86,61,150,143,11,16
Gujarat,503,982,1164,1224,269,288
Haryana,1070,1187,1886,1860,197,226
Himachal Pradesh,244,252,434,410,25,28
Jammu & Kashmir,296,256,1343,1235,19,24
Jharkhand,1053,1109,844,667,137,174
Karnataka,589,1655,5112,5260,574,547
Kerala,1256,1656,3987,4029,97,99
Madhya Pradesh,4391,4882,8049,8717,656,645
Maharashtra,4144,4189,11713,11396,780,756
Manipur,46,55,84,65,16,18
Meghalaya,93,190,95,68,23,11
Mizoram,58,23,75,71,11,13
Nagaland,35,26,8,14,12,9
Odisha,2251,1983,6499,8252,666,591
Punjab,886,838,1123,1025,194,201
Rajasthan,3644,3656,4813,4839,224,238
Sikkim,5,92,21,34,4,7
Tamil Nadu,421,319,1163,854,532,468
Telangana,1105,1278,3608,3767,418,311
Tripura,213,207,352,214,52,64
Uttar Pradesh,3025,4816,7885,11335,1135,1217
Uttarakhand,283,336,318,344,53,47
West Bengal,1199,1110,5069,4177,737,983
Total (States),32328,36657,76871,80410,8142,8288
A & N Islands,36,30,57,46,8,6
Chandigarh,72,68,76,76,3,3
D&N Haveli,8,14,5,1,3,1
Daman & Diu,5,12,7,4,1,0
Delhi UT,2199,2155,5367,4165,124,123
Lakshadweep,0,5,6,1,0,0
Puducherry,3,6,33,43,10,8
Total (UTs),2323,2290,5551,4336,149,141
Total (All-India),34651,38947,82422,84746,8291,8429
