ID,CAPACITY_OF_PARK,WORKING_TIME,LONGITUDE,LATITUDE
1,30,08:00-19:00,28.987974944131896,41.0488233569155
2,50,08:00-19:00,28.9955656052444,41.049523298771696
3,50,08:00-19:00,28.99497557817,41.0483895406422
4,50,08:00-19:00,28.9959741661449,41.053386199907294
5,40,08:00-00:00,28.9929548331432,41.0466296925246
6,50,08:00-00:00,28.9944976003196,41.04782937015631
7,0,09:00-21:00,28.9913023111126,41.0479375617614
8,37,08:00-18:00,29.006602400724095,41.0655057224779
9,40,07:00-17:00,29.0115881307145,41.0688297324025
10,20,08:00-19:00,29.0941080028222,41.025531237132
11,27,09:00-19:00,29.003452517620296,41.043801637794
12,27,09:00-19:00,29.0024029610158,41.0463832988957
13,22,09:00-18:00,29.0238075739657,41.0525791949699
14,500,08:00-19:00,29.0992011597313,41.025309859884494
15,18,08:00-19:00,29.016407157736296,41.0754029841827
16,23,08:00-19:00,29.0166958601018,41.0759943082714
17,40,08:00-19:00,29.0844743268431,41.0249386157846
18,25,08:00-19:00,29.0160325169563,41.022542970427295
19,32,08:00-18:00,28.970278885163896,41.0241210457322
20,36,08:00-18:00,29.040502641684895,40.9920091951619
21,25,08:00-18:00,29.125319123268095,40.992844048405
22,60,08:00-18:00,28.993944523264496,41.03618849195
23,50,07:30-18:30,28.9535198446565,41.0122623682819
24,70,24 Saat,29.0567112087024,41.0854593814072
25,25,08:00-18:00,29.0561602469287,41.1149636096173
26,13,08:00-18:00,29.057037424928296,41.1688570495518
27,40,09:00-20:00,29.0749115135856,40.9611866209756
28,40,09:00-20:00,29.077394355436095,40.963544157240094
29,100,07:00-22:00,28.975403723785696,41.0162288353242
30,30,08:00-18:00,29.1862580075555,40.8890847976314
31,30,08:00-18:00,29.188365166164896,40.8894515025413
32,50,08:00-18:00,29.1830874212264,40.8872001154773
33,25,09:00-19:00,29.235206528930295,40.8794321103302
34,16,08:00-19:00,29.016957173348295,41.0759876415465
35,30,07:00-00:00,28.975060751981,41.0322512079754
36,80,08:00-02:00,28.9742909689498,41.0039627453483
37,50,07:00-18:00,28.9727752057011,41.007088735229
38,35,08:00-18:00,28.956692910263296,41.00702917811
39,40,07:30-18:00,28.966008182442,41.012915690585
40,30,07:30-18:00,28.9659907739697,41.0133649365751
41,20,08:00-18:00,29.1210544109344,40.9927468719206
42,30,08:00-19:00,28.948851266096,41.0181810129679
43,30,08:00-19:00,28.9476636434165,41.0193617448972
44,30,08:00-19:00,28.944383425877696,41.022743248552
45,80,12:00-22:00,28.9327923970388,40.998944834293695
46,100,08:00-22:00,29.0429124017311,40.9973787421223
47,25,08:00-19:00,28.9470128094271,41.0194602703946
48,45,08:00-19:00,28.879683562183295,40.9787060704662
49,34,09:00-19:00,28.9038273488434,40.9929976511758
50,50,08:00-18:00,28.914427982918,41.0321010288981
51,50,08:00-18:00,28.9143639643179,41.0319549000146
52,50,08:00-18:00,28.8870346708831,41.008730460792
53,50,08:00-18:00,28.889037512361,41.0055722093448
54,25,08:00-18:00,29.0092500399386,41.064203498346096
55,27,09:00-20:00,29.0655460030057,41.0800099578934
56,50,08:00-18:00,28.8245124883387,40.9614558311587
57,50,08:00-18:00,28.823778613274296,40.9603655442851
58,50,08:00-18:00,28.8242237924226,40.9610007498372
59,135,08:00-19:00,28.7908059257131,40.9764200927432
60,100,08:00-20:00,29.188427666808696,40.8872483354898
61,30,09:00-23:00,28.2435637532274,41.0736699215229
62,50,09:00-23:00,28.243478597131496,41.0720742205141
63,150,24 Saat,29.0240957205859,41.1166408097176
64,270,24 Saat,28.9186752225452,41.018163149964
65,600,24 Saat,28.9772178004034,41.0228939059538
66,300,24 Saat,28.8760401946348,40.9739659289559
67,70,09:00-21:00,28.2441313939182,41.0758050632096
