ID,LOCATION_GROUP,LONGITUDE,LATITUDE
1,Service Building,28.843808,41.12222
2,Service Building,28.751046,41.179543
3,Service Building,29.147271,40.977937
4,Service Building,28.825496,40.997055
5,Service Building,28.825249,40.99704
6,Service Building,28.78744,40.975036
7,Service Building,28.842542,41.031971
8,Service Building,28.642354,41.000244
9,Service Building,28.974385,41.03177
10,Service Building,28.867578,41.054031
11,Service Building,28.894728,41.040605
12,Service Building,28.874942,41.044544
13,Service Building,28.886224,41.038367
14,Service Building,28.975377,41.012464
15,Service Building,28.953686,41.016743
16,Service Building,28.955329,41.013452
17,Service Building,28.955328,41.013451
18,Service Building,29.188055,40.912915
19,Service Building,29.186798,40.912949
20,Service Building,29.188325,40.914345
21,Service Building,29.167631,40.910637
22,Service Building,29.188725,40.908255
23,Service Building,28.994933,41.101021
24,Service Building,28.993083,41.10109
25,Service Building,28.963528,41.085894
26,Service Building,28.770549,40.986965
27,Service Building,29.23489,40.876219
28,Service Building,29.23887,40.875228
29,Service Building,29.026577,41.158185
30,Service Building,29.258734,40.968617
31,Service Building,28.888033,41.000837
32,Service Building,28.90418,40.992576
33,Service Building,29.182762,41.043525
34,Service Building,29.096637,41.026438
35,Service Building,29.014,41.025858
36,Service Building,28.994621,41.061808
37,Service Building,28.966969,41.058538
38,Service Building,29.124633,41.021038
39,Service Building,28.887653,41.051808
40,Service Building,28.962793,41.002499
41,Service Building,28.72888,41.201328
42,Service Building,29.147047,40.979311
43,Service Building,28.837072,41.013993
44,Service Building,28.808223,40.963388
45,Service Building,28.896352,41.039499
46,Service Building,28.858637,41.050171
47,Service Building,28.741173,41.083278
48,Service Building,29.098316,41.134308
49,Service Building,29.139013,41.07442
50,Service Building,41.093551,41.093551
51,Service Building,29.019256,41.048836
52,Service Building,28.468128,41.039792
53,Service Building,28.544933,41.012864
54,Service Building,28.917327,41.091811
55,Service Building,28.9194,41.048042
56,Service Building,28.911409,41.157198
57,Service Building,28.947696,41.094413
58,Service Building,29.033316,40.991251
59,Service Building,29.214861,40.943557
60,Service Building,28.965102,41.086244
61,Service Building,28.988797,41.095948
62,Service Building,28.955955,41.065614
63,Service Building,29.205994,40.972446
64,Service Building,29.305208,40.940642
65,Service Building,29.244518,41.015628
66,Service Building,29.026522,41.135922
67,Service Building,29.054755,41.11489
68,Service Building,28.079969,41.085608
69,Service Building,28.462017,41.149553
70,Service Building,29.072233,41.001856
71,Service Building,29.024381,41.013839
72,Service Building,28.739611,40.977103
73,Service Building,28.834522,41.028157
74,Service Building,28.930023,41.040696
75,Service Building,28.897606,41.066778
76,Service Building,29.107246,41.023481
77,Service Building,29.028444,41.015376
78,Service Building,28.998286,41.066891
79,Service Building,28.949742,41.050079
80,Service Building,28.927929,41.027574
81,Service Building,29.183042,40.912491
82,Service Building,28.889221,41.001069
83,Teacher's House,28.739451,41.182384
84,Teacher's House,9.080466,40.995478
85,Teacher's House,28.706322,40.994455
86,Teacher's House,28.876283,40.995383
87,Teacher's House,28.82586,41.030899
88,Teacher's House,28.85434,41.029452
89,Teacher's House,28.841603,41.021787
90,Teacher's House,28.932387,41.013871
91,Teacher's House,28.93918,41.013647
92,Teacher's House,29.0967,40.974644
93,Teacher's House,29.026507,40.994132
94,Culture Center,28.818754,41.013616
95,Culture Center,28.984351,41.036582
96,Culture Center,28.884195,41.040078
97,Culture Center,28.939853,41.019603
98,Culture Center,28.956106,41.015937
99,Culture Center,28.970873,41.07938
100,Culture Center,29.30279,40.849875
101,Culture Center,28.988714,41.046384
102,Library,28.873136,41.053895
103,Library,28.880071,41.059893
104,Library,28.925762,41.078847
105,Library,28.939788,41.019462
106,Library,28.934745,41.026045
107,Library,29.161455,40.905838
108,Library,28.792729,40.997973
109,Library,28.905229,41.09394
110,Library,29.238127,41.053129
111,Bus Station,29.099479,40.975596
112,Metrobus Station,28.725085,40.984185
113,Metrobus Station,28.713621,40.990787
114,Metrobus Station,28.706011,40.995149
115,Metrobus Station,28.694133,40.99984
116,Metrobus Station,28.731334,40.980361
117,Metrobus Station,28.863467,40.995052
118,Metrobus Station,28.834646,40.992408
119,Metrobus Station,28.872508,40.997895
120,Metrobus Station,28.921474,41.023941
121,Metrobus Station,28.631704,41.019284
122,Metrobus Station,28.649426,41.012535
123,Metrobus Station,28.656623,41.009845
124,Metrobus Station,28.625046,41.022027
125,Metrobus Station,28.640886,41.015778
126,Metrobus Station,28.673333,41.006074
127,Metrobus Station,28.946172,41.048676
128,Metrobus Station,28.929616,41.033459
129,Metrobus Station,28.937235,41.038498
130,Metrobus Station,28.91748,41.020437
131,Metrobus Station,28.897702,41.007885
132,Metrobus Station,29.047076,40.993701
133,Metrobus Station,29.037621,40.991664
134,Metrobus Station,28.980888,41.067502
135,Metrobus Station,28.976454,41.067471
136,Metrobus Station,28.96149,41.05669
137,Metrobus Station,28.768571,40.98623
138,Metrobus Station,28.911086,41.016526
139,Metrobus Station,28.891292,41.00358
140,Metrobus Station,29.042553,41.036865
141,Metrobus Station,29.056885,41.014909
142,Metrobus Station,29.048627,41.021535
143,Metrobus Station,29.046886,41.031935
144,Metrobus Station,28.991766,41.066865
145,Metrobus Station,29.012712,41.066239
146,City Ferry,29.066626,41.083229
147,City Ferry,28.976729,41.021744
148,City Ferry,29.00548,41.040095
149,City Ferry,29.007688,41.04247
150,City Ferry,28.973894,41.017585
151,City Ferry,28.972923,41.018207
152,City Ferry,28.973976,41.017609
153,City Ferry,29.02325,40.992703
154,City Ferry,29.014881,41.027275
155,City Ferry,0.0,0.0
156,City Ferry,0.0,0.0
157,City Ferry,0.0,0.0
158,City Ferry,0.0,0.0
159,City Ferry,0.0,0.0
160,City Ferry,0.0,0.0
161,City Ferry,0.0,0.0
162,City Ferry,0.0,0.0
163,City Ferry,0.0,0.0
164,City Ferry,0.0,0.0
165,City Ferry,0.0,0.0
166,City Ferry,0.0,0.0
167,City Ferry,0.0,0.0
168,City Ferry,0.0,0.0
169,City Ferry,0.0,0.0
170,City Ferry,0.0,0.0
171,City Ferry,0.0,0.0
172,City Ferry,0.0,0.0
173,City Ferry,0.0,0.0
174,City Ferry,0.0,0.0
175,City Ferry,0.0,0.0
176,City Ferry,0.0,0.0
177,City Ferry,0.0,0.0
178,City Ferry,0.0,0.0
179,City Ferry,0.0,0.0
180,Social Facility,28.807531,40.960245
181,Social Facility,28.9668,41.029852
182,Social Facility,28.957179,41.0282
183,Social Facility,29.146659,40.901284
184,Social Facility,29.054999,41.11476
185,Social Facility,29.276736,40.954095
186,Sport Facility,28.721574,40.99691
187,Sport Facility,28.886847,41.064818
188,Sport Facility,28.910331,41.044596
189,Sport Facility,28.949284,41.055284
190,Sport Facility,28.493941,41.0111
191,Sport Facility,28.879916,41.053893
192,Sport Facility,28.878994,41.053019
193,Sport Facility,28.866389,41.04529
194,Sport Facility,28.925808,41.078683
195,Sport Facility,28.93176,41.02556
196,Sport Facility,28.940432,40.998968
197,Sport Facility,28.940738,41.001423
198,Sport Facility,28.898766,41.076545
199,Sport Facility,29.08863,40.954044
200,Sport Facility,29.189967,40.892454
201,Sport Facility,28.959739,41.053278
202,Sport Facility,29.002046,41.094578
203,Sport Facility,29.111306,40.936238
204,Sport Facility,29.233057,40.978484
205,Sport Facility,29.245335,41.015681
206,Sport Facility,29.274908,40.949935
207,Sport Facility,28.259281,41.087402
208,Sport Facility,29.310212,40.812932
209,Sport Facility,29.162854,41.012238
210,Sport Facility,29.104731,41.024958
211,Sport Facility,29.124733,41.021309
212,Sport Facility,29.127969,41.02858
213,Tram Station,28.860657,41.03274
214,Tram Station,28.989436,41.031482
215,Tram Station,28.992646,41.034326
216,Tram Station,28.974782,41.022246
217,Tram Station,28.980616,41.026892
218,Tram Station,28.953944,41.009543
219,Tram Station,28.933466,41.015149
220,Tram Station,28.940269,41.011806
221,Tram Station,28.943146,41.010955
222,Tram Station,28.959765,41.009561
223,Tram Station,28.975497,41.0081
224,Tram Station,28.946583,41.0101
225,Tram Station,28.92684,41.018475
226,Tram Station,28.871113,41.017393
227,Tram Station,28.877219,41.015526
228,Tram Station,28.88074,41.011789
229,Tram Station,28.863745,41.023715
230,Tram Station,28.9119,41.016042
231,Tram Station,28.902215,41.003535
232,Tourist Place,28.972356,41.007284
233,Tourist Place,28.971066,41.016151
234,Tourist Place,29.053605,41.107864
235,Tourist Place,29.052953,41.109309
236,Green Area,29.098574,41.133158
237,Green Area,28.668433,41.005364
238,Green Area,28.88337,41.162284
239,Green Area,29.252024,40.891037
240,Green Area,29.218902,40.975377
241,Green Area,29.053011,41.108199
242,Green Area,29.027314,41.032534
243,Green Area,28.807347,40.960824
244,Green Area,28.878257,41.06102
245,Green Area,28.954114,41.015525
246,Green Area,29.05786,40.969954
247,Green Area,28.767776,41.001919
248,Green Area,28.796248,41.044773
249,Green Area,29.026435,41.135165
250,Green Area,28.803974,41.108465
251,Green Area,28.993936,41.042018
252,Green Area,28.467882,41.039926
253,Green Area,28.923518,41.02191
254,Green Area,29.10161,40.947455
255,Green Area,29.12711,40.920351
256,Green Area,29.162854,41.012238
257,Other,29.12765,40.874414
258,Other,29.065925,41.099739
259,Other,29.211692,40.907168
