Year;Area;Region;Province;Manuscripts;Printed_total;Printed_incunaboli;Printed_cinquecentine;Printed_leaflets;Printed_Periodicals_active;Books_requested;Loans;Personnel
1998;Nord;Piemonte;TORINO;8572;846109;1790;15082;196881;2428;143776;22471;132
1998;Nord;Lombardia;CREMONA;2573;441573;373;6229;78745;959;190553;18538;36
1998;Nord;Lombardia;MILANO;2117;838475;2364;24389;298953;3560;83357;17859;98
1998;Nord;Lombardia;PAVIA;1956;339398;670;7000;147023;846;52047;10612;53
1998;Nord;Veneto;PADOVA;2843;533413;1296;10152;218520;1552;90420;10256;64
1998;Nord;Veneto;VENEZIA;13088;591646;2884;24062;259626;870;65579;7188;97
1998;Nord;FriuliVeneziaGiulia;GORIZIA;65;166180;31;591;38677;640;49304;19119;32
1998;Nord;FriuliVeneziaGiulia;TRIESTE;1;158258;0;0;12502;32;64279;14648;24
1998;Nord;Liguria;GENOVA;1862;350492;1039;7603;101151;1206;61878;12838;72
1998;Nord;EmiliaRomagna;BOLOGNA;7599;652530;1021;14950;301892;848;10270;2924;61
1998;Nord;EmiliaRomagna;MODENA;11007;523416;1661;15966;124824;1706;65620;5865;65
1998;Nord;EmiliaRomagna;PARMA;40702;404738;3044;11704;122072;379;22463;9608;54
1998;Centro;Toscana;FIRENZE;42923;5801453;5327;44986;2835284;17371;728965;25667;370
1998;Centro;Toscana;LUCCA;4321;361279;835;10105;86438;581;31756;5072;34
1998;Centro;Toscana;PISA;1388;429623;154;7111;99416;1030;22934;3619;58
1998;Centro;Marche;MACERATA;54;45716;0;248;2597;266;24500;4665;7
1998;Centro;Lazio;FROSINONE;2680;122764;219;3030;4568;200;14692;;15
1998;Centro;Lazio;RIETI;350;38708;42;582;2384;51;1250;122;2
1998;Centro;Lazio;ROMA;23322;6018613;6689;67730;1923348;20067;984265;50144;758
1998;Mezzogiorno;Campania;AVELLINO;380;134099;25;1022;17290;36;7362;635;12
1998;Mezzogiorno;Campania;NAPOLI;14185;2229109;5120;14352;454409;3795;337327;27151;413
1998;Mezzogiorno;Campania;SALERNO;437;54625;102;1663;714;52;3944;130;4
1998;Mezzogiorno;Puglia;BARI;453;260145;55;1777;64939;547;40497;10186;101
1998;Mezzogiorno;Basilicata;POTENZA;16;69345;2;107;7953;498;42470;1240;79
1998;Mezzogiorno;Calabria;COSENZA;114;43696;0;0;8856;349;9341;2776;82
1998;Mezzogiorno;Sardegna;CAGLIARI;598;500424;238;5324;28364;583;44784;11588;70
1998;Mezzogiorno;Sardegna;SASSARI;914;170800;71;3500;24265;752;11304;7492;39
1999;Nord;Piemonte; TORINO ;8574;851954;1790;15082;197031;2388;150838;22084;132
1999;Nord;Lombardia; CREMONA ;2573;438799;374;6241;81483;994;182323;17329;35
1999;Nord;Lombardia; MILANO ;2117;848503;2364;24389;298953;4038;75871;19394;97
1999;Nord;Lombardia; PAVIA ;2013;342750;670;7000;147348;617;135920;10345;52
1999;Nord;Veneto; PADOVA ;2844;539438;1296;10152;218890;1349;73733;8261;64
1999;Nord;Veneto; VENEZIA ;13088;594693;2884;24062;259849;883;64591;6406;99
1999;Nord;FriuliVeneziaGiulia; GORIZIA ;129;168552;31;591;39244;457;54189;20846;31
1999;Nord;FriuliVeneziaGiulia; TRIESTE ;1;159022;0;0;12517;32;24511;6480;26
1999;Nord;Liguria; GENOVA ;1932;352969;1039;7603;101277;1005;53533;11890;72
1999;Nord;EmiliaRomagna; BOLOGNA ;7601;658362;1021;14950;302291;1000;24657;6010;55
1999;Nord;EmiliaRomagna; MODENA ;11008;527497;1661;15996;124965;1706;8177;2779;65
1999;Nord;EmiliaRomagna; PARMA ;40992;407738;3044;11704;124226;393;24592;9474;55
1999;Centro;Toscana; FIRENZE ;43003;5836945;5329;44992;2847509;14368;713810;26702;375
1999;Centro;Toscana; LUCCA ;4321;362664;835;12820;86558;594;16027;4750;34
1999;Centro;Toscana; PISA ;1389;431447;154;7111;100180;1030;22249;3690;56
1999;Centro;Marche; MACERATA ;54;48334;0;248;2705;276;27500;5200;7
1999;Centro;Lazio; FROSINONE ;2680;125210;219;3030;4629;200;16629;;12
1999;Centro;Lazio; RIETI ;350;39428;42;582;2414;51;;100;2
1999;Centro;Lazio; ROMA ;23416;6093517;6675;81484;1934025;19172;983284;50844;746
1999;Mezzogiorno;Campania; AVELLINO ;475;135133;25;1023;17290;98;6605;493;12
1999;Mezzogiorno;Campania; NAPOLI ;18963;2238356;5120;48826;454729;3902;323991;25545;407
1999;Mezzogiorno;Campania; SALERNO ;437;56749;120;1663;760;;2563;138;4
1999;Mezzogiorno;Puglia; BARI ;453;263661;55;1777;65012;561;38734;9538;99
1999;Mezzogiorno;Basilicata; POTENZA ;16;72823;2;107;8170;531;41354;1899;79
1999;Mezzogiorno;Calabria; COSENZA ;115;46476;0;0;9175;;8274;3050;82
1999;Mezzogiorno;Sardegna; CAGLIARI ;598;502526;238;5324;28557;589;37442;10693;70
1999;Mezzogiorno;Sardegna; SASSARI ;915;170800;71;3500;24265;514;11358;8155;40
2000;Nord;Piemonte; TORINO ;8577;869325;1790;15082;197343;2419;147400;20835;137
2000;Nord;Lombardia; CREMONA ;3196;442163;374;6251;81815;991;153523;17297;39
2000;Nord;Lombardia; MILANO ;2119;858008;2364;24394;298953;4382;87692;19394;106
2000;Nord;Lombardia; PAVIA ;1910;348512;670;7000;147961;633;128696;9776;51
2000;Nord;Veneto; PADOVA ;2848;544774;1296;10152;219241;1389;64173;8614;64
2000;Nord;Veneto; VENEZIA ;13096;599743;2885;24065;260102;911;63280;6177;99
2000;Nord;FriuliVeneziaGiulia; GORIZIA ;136;172609;31;597;39975;502;49127;19979;29
2000;Nord;FriuliVeneziaGiulia; TRIESTE ;1;160213;;;12527;33;28941;6608;24
2000;Nord;Liguria; GENOVA ;1934;355637;1039;7603;101421;1000;45509;10779;66
2000;Nord;EmiliaRomagna; BOLOGNA ;7654;665597;1021;14951;306319;1060;43362;11172;54
2000;Nord;EmiliaRomagna; MODENA ;11009;531169;1661;15966;125033;1706;7944;4473;65
2000;Nord;EmiliaRomagna; PARMA ;42195;410315;3044;11704;125209;400;34297;10289;48
2000;Centro;Toscana; FIRENZE ;43027;5898924;5330;45009;2858832;16181;722673;27311;383
2000;Centro;Toscana; LUCCA ;4321;364007;835;12820;86642;545;20104;4579;32
2000;Centro;Toscana; PISA ;1389;432861;160;7022;100670;1030;25087;2870;60
2000;Centro;Marche; MACERATA ;58;59672;1;590;2868;305;26500;5570;7
2000;Centro;Lazio; FROSINONE ;2680;127999;228;3030;4755;184;16460;;17
2000;Centro;Lazio; RIETI ;350;40158;42;582;2444;40;640;101;2
2000;Centro;Lazio; ROMA ;23455;6163707;6676;81489;1943467;15539;972158;48715;741
