Year;Libraries;Manuscripts;Printed_total;Printed_incunaboli;Printed_cinquecentine;Printed_leaflets;Printed_Periodicals_active;Books_requested;Loans;Subscribers;Readers;Source
1994;50;163315;21229466;34958;294657;7327255;61570;3013284;278487;82384;2337356;Quinq BI_TAVOLA ANNI94-98.pdf (from 1998)
1995;47;167246;21453951;34984;294716;7364333;58792;3331980;266560;101213;2467041;Quinq BI_TAVOLA ANNI95-99.pdf (from 1999)
1996;47;179903;21685763;34991;294795;7389832;58766;3521959;299314;108175;2416323;quinqbiblio.pdf (from 2000)
1997;47;180893;21911284;35049;293671;7426647;59575;3414546;319761;105433;2518658;quinqbiblio2001.pdf
1998;47;184520;22126627;35052;299265;7461691;61204;3204937;302413;126089;2313509;quinqbiblio2002.pdf
1999;47;190057;22314346;35059;350257;7494052;56748;3122755;292095;138885;2138237;quinqbiblio2003.pdf
2000;47;192066;22595523;35078;350529;7526529;55582;3116330;290909;131190;1967541;quinqbiblio2004.pdf
2001;46;195111;22811261;35090;350571;7552285;56250;2780335;273178;172305;1646678;quinqbiblio2005.pdf
2002;46;196857;23000504;35053;350022;7581740;56265;2763028;358914;195930;1569650;quinqbiblio2006.pdf
2003;46;198817;23212172;35057;350079;7605449;107921;2769652;294905;224799;1620967;quinqbiblio2007.pdf
2004;46;202475;23095627;35062;350541;7642604;70098;2813444;301938;223054;1801028;quinqbiblio2008.pdf
2005;46;204829;24013274;35134;533906;7632957;64841;2491061;291046;243120;1909083;quinqbiblio2009.pdf
2006;46;205582;24239714;35143;351706;7650751;75633;2517506;281645;249416;1658567;quinqbiblio2010.pdf
2007;46;205657;24450574;35147;351800;7666856;55634;2407649;275551;271533;1608565;quinqbiblio2012.pdf
2008;46;205704;24684320;35150;351815;7689265;56612;2347104;270634;153329;1647792;quinqbiblio2013.pdf
2009;46;198023;23830615;34144;336936;7387727;53042;2280635;225062;158235;1504328;quinqbiblio2014.pdf
2010;46;198084;24045409;34145;336932;7402292;58591;1981315;211163;165605;1480243;quinqbiblio2015.pdf
2011;46;197554;24192744;34051;331903;7423119;62094;2759869;201281;171551;1487039;quinqbiblio2016.pdf
2012;46;198020;24487804;34051;331906;7442257;70563;1973415;196613;93444;1494803;quinqbiblio2017.pdf
2013;46;198131;24700281;34051;332203;7457301;65142;1794970;190847;90960;1394719;quinqbiblio2018.pdf
2014;46;198213;24907719;34110;332237;7472381;63830;1720222;181012;120946;1381170;quinqbiblio2018.pdf
2015;46;199640;25097781;34111;332457;7487946;49227;1498612;176440;126437;1511185;quinqbiblio2018.pdf
2016;46;199657;25301392;34194;337250;7500560;48858;1302594;158557;99579;1269158;quinqbiblio2018.pdf
2017;46;200983;25578868;34196;337306;7524084;49207;1264785;148797;93409;1066254;quinqbiblio2018.pdf
2018;46;201069;25781831;34257;337840;7535202;49954;1257921;142287;103724;1074775;quinqbiblio2018.pdf
