Nrand,region,Python,RapidMiner,R Language,SQL Language,Excel,Anaconda,Tensorflow,Tableau,scikit-learn,Keras,Apache Spark,with DL,with BD,ntools,Votes
565,euro,1,1,0,0,0,0,0,0,0,0,0,0,1,6,RapidMiner;Python;Commercial Hadoop Tools;Open Source Hadoop Tools;SQL on Hadoop tools;Spark SQL
1389,euro,0,1,0,0,0,0,0,0,0,0,0,1,1,4,RapidMiner;Java;SQL on Hadoop tools;DeepLearning4J
1005,euro,1,0,1,1,0,1,0,1,1,1,1,1,1,12,Anaconda;Dataiku;H2O.ai;Microsoft Power BI;Microsoft SQL Server;scikit-learn;Tableau;Python;R Language;SQL Language;Apache Spark;Keras
1659,usca,1,0,1,0,0,0,0,1,0,0,0,0,1,4,Tableau;Python;R Language;SQL on Hadoop tools
1665,euro,1,0,0,0,0,1,1,0,0,0,0,1,0,7,Anaconda;Microsoft Azure Machine Learning;PyCharm;Python;Unix shell/awk/gawk;Tensorflow;Theano
1771,usca,1,1,1,0,0,0,0,1,0,0,0,0,0,4,RapidMiner;Tableau;Python;R Language
64,afme,1,0,0,0,0,0,1,0,0,0,0,1,0,4,Dataiku;Python;Unix shell/awk/gawk;Tensorflow
270,euro,1,1,0,0,0,0,0,0,0,1,1,1,1,5,RapidMiner;Java;Python;Apache Spark;Keras
899,usca,1,0,0,0,1,1,0,0,0,1,0,1,0,7,Amazon Machine Learning;Anaconda;Excel;PyCharm;Other free analytics/data mining tools;Python;Keras
138,usca,1,1,0,0,0,1,0,0,0,0,0,0,0,5,Anaconda;Orange;RapidMiner;Weka;Python
978,usca,0,1,0,1,1,0,0,0,0,0,0,0,0,5,Excel;RapidMiner;SAP Analytics/Predictive Analytics;SAS Base;SQL Language
1261,usca,1,1,1,1,0,0,0,1,0,0,1,0,1,9,KNIME;RapidMiner;SAP HANA;Tableau;Python;R Language;SQL Language;Apache Spark;Commercial Hadoop Tools
1224,asia,0,1,1,1,1,0,0,0,0,0,0,1,1,11,Excel;MATLAB;Microsoft SQL Server;RapidInsight/Veera;RapidMiner;Weka;Java;R Language;SQL Language;SQL on Hadoop tools;DeepLearning4J
1679,euro,1,0,0,1,1,1,0,0,0,0,0,0,0,8,Anaconda;Excel;Gnu Octave;KNIME;Orange;PyCharm;Python;SQL Language
850,euro,1,0,1,0,0,0,1,0,0,0,1,1,1,5,Dataiku;Python;R Language;Apache Spark;Tensorflow
