brand,laptop_name,display_size,processor_type,graphics_card,disk_space,discount_price,old_price,ratings_5max
HP,Notebook 14-df0008nx,14.0, Intel Celeron N4000, Intel HD Graphics 600, 64 GB (eMMC),1259.0,1259.0,0 / 5
Lenovo,IdeaPad 330S-14IKB,14.0, Intel Core i5-8250U, Intel UHD Graphics 620, 1 TB HDD,1849.0,2099.0,3.3 / 5
Huawei,MateBook D Volta,14.0, Intel Core i5-8250U, NVIDIA GeForce MX150 (2 GB), 256 GB SSD,2999.0,3799.0,0 / 5
Dell,Inspiron 15 3567,15.6, Intel Core i3-7020U, Intel HD Graphics 620, 1 TB HDD,1849.0,1849.0,0 / 5
Asus,VivoBook 15 X510UR,15.6, Intel Core i7-8550U, NVIDIA GeForce 930MX (2 GB), 1 TB HDD,2499.0,3149.0,0 / 5
Dell,Vostro 5471,14.0, Intel Core i7-8550U, AMD Radeon 530 (4 GB), 128 GB SSD/1 TB HDD,3799.0,3799.0,3.8 / 5
Apple,MacBook Air (Retina),13.3, Intel Core i5 Dual Core, Intel UHD Graphics 617, 128 GB (PCIe SSD),4649.0,5199.0,4.0 / 5
Huawei,MateBook D,15.6, Intel Core i5-8250U, NVIDIA GeForce MX150 (2 GB), 128 GB SSD/1 TB HDD,2449.0,2799.0,4.4 / 5
Huawei,MateBook X Pro,13.88, Intel Core i5-8250U, NVIDIA GeForce MX150 (2 GB), 256 GB NVMe M.2 SSD,4999.0,5999.0,0 / 5
HP,14-cf0007nx,14.0, Intel Core i5-8250U, AMD Radeon 530 (2 GB), 16 GB (Optane)/1 TB HDD,2629.0,2629.0,0 / 5
HP,15-db0001nx,15.6, AMD A9-9425, AMD Radeon R5, 1 TB HDD,1999.0,1999.0,0 / 5
Acer,Swift 5,14.0, Intel Core i7-8565U, Intel GMA HD, 512 GB SSD,4499.0,5999.0,0 / 5
Apple,MacBook Air,13.3, Intel Core i5 Dual Core, Intel HD Graphics 6000, 128 GB (PCIe Flash),3399.0,4499.0,0 / 5
Acer,Swift 5 SF514-52TP-8933,14.0, Intel Core i7-8550U, Intel UHD Graphics 620, 512 GB SSD,4899.0,5999.0,0 / 5
Apple,MacBook Pro (Retina + Touch Bar),15.4, Intel Core i7 6 Core, Radeon Pro 555X GDDR5 (4 GB), 256 GB SSD,9099.0,10199.0,0 / 5
Acer,Swift 3 SF314-52G,14.0, Intel Core i7-8550U, NVIDIA GeForce MX150 (2 GB), 512 GB SSD,3399.0,4399.0,0 / 5
Apple,MacBook Pro (Retina + Touch Bar),13.3, Intel Core i5 Quad Core, Intel Iris Plus Graphics 655, 512 GB SSD,7599.0,8499.0,4.4 / 5
Apple,MacBook Pro (Retina + Touch Bar),13.3, Intel Core i5 Quad Core, Intel Iris Plus Graphics 655, 256 GB SSD,6969.0,7769.0,4.3 / 5
Huawei,MateBook 13,13.0, Intel Core i7-8565U, NVIDIA GeForce MX150 (2 GB), 512 GB SSD,4999.0,4999.0,4.1 / 5
Apple,MacBook Air (Retina),13.3, Intel Core i5 Dual Core, Intel UHD Graphics 617, 256 GB (PCIe SSD),5399.0,6099.0,3.9 / 5
Dell,XPS 13 9380,13.3, Intel Core i5-8265U, Intel UHD Graphics 620, 256 GB PCIe NVMe M.2 SSD,4699.0,5399.0,4.4 / 5
HP,Pavilion 13-an0001nx,13.3, Intel Core i7-8565U, Intel UHD Graphics 620, 256 GB PCIe NVMe M.2 SSD,3299.0,3999.0,0 / 5
Apple,MacBook Air (Retina),13.3, Intel Core i5 Dual Core, Intel UHD Graphics 617, 256 GB (PCIe SSD),5449.0,6099.0,4.0 / 5
Apple,MacBook Air (Retina),13.3, Intel Core i5 Dual Core, Intel UHD Graphics 617, 256 GB (PCIe SSD),5449.0,6099.0,3.9 / 5
HP,Pavilion 14-ce0001nx,14.0, Intel Core i7-8550U, NVIDIA GeForce MX150 (4 GB), 256 GB M.2 SSD/1 TB HDD,3599.0,4199.0,0 / 5
Apple,MacBook Air (Retina),13.3, Intel Core i5 Dual Core, Intel UHD Graphics 617, 128 GB (PCIe SSD),4599.0,5199.0,3.9 / 5
