Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases/1M population,Deaths/1M population,Total Tests,Tests/1M population,Population
Afghanistan,164190,7418,146662,10110,4073,184,859180.0,21311.0,40315711
Armenia,374878,8060,341355,25463,126136,2712,2744536.0,923458.0,2972019
Azerbaijan,670313,8779,630727,30807,65181,854,6191130.0,602019.0,10283940
Bahrain,382748,1408,333174,48166,213220,784,8808927.0,4907259.0,1795081
Bangladesh,1824180,28461,1575137,220582,10904,170,12568226.0,75129.0,167288252
Bhutan,5393,4,3066,2323,6869,5,1490405.0,1898448.0,785065
Brunei,16691,98,15993,600,37583,221,705356.0,1588232.0,444114
Cambodia,121438,3015,117728,695,7108,176,2800529.0,163914.0,17085369
China,106202,4636,99764,1802,74,3,160000000.0,111163.0,1439323776
Cyprus,259784,734,124370,134680,212714,601,9477138.0,7759992.0,1221282
Georgia,1226444,15060,1030065,181319,308382,3787,14625124.0,3677396.0,3977033
Hong Kong,14326,213,12806,1307,1887,28,32291326.0,4252590.0,7593331
India,41630885,497996,39511307,1621582,29705,355,732439986.0,522613.0,1401494922
Indonesia,4387286,144373,4148804,94109,15776,519,72706560.0,261436.0,278104745
Iran,6446404,132563,6115134,198707,75225,1547,44694344.0,521548.0,85695494
Iraq,2226776,24430,2123635,78711,53463,587,17481709.0,419721.0,41650829
Israel,2966451,8926,2510076,447449,318084,957,41373364.0,4436346.0,9326000
Japan,2811050,18871,2144690,647489,22334,150,33896346.0,269312.0,125862915
Jordan,1243090,13235,1134541,95314,119948,1277,14758170.0,1424043.0,10363573
Kazakhstan,1246103,13260,1098462,134381,65130,693,11575012.0,604995.0,19132410
Kuwait,552153,2499,497187,52467,126334,572,6949424.0,1590047.0,4370577
Kyrgyzstan,198719,2889,188775,7055,29683,432,1907195.0,284885.0,6694613
Laos,134901,553,7660,126688,18125,74,968623.0,130143.0,7442735
Lebanon,928522,9621,682977,235924,137011,1420,4795578.0,707625.0,6777009
Malaysia,2876324,31985,2787187,57152,87101,969,44663753.0,1352516.0,33022719
Maldives,141060,277,123027,17756,253880,499,2069843.0,3725312.0,555616
Mongolia,446076,2115,313256,130705,132687,629,4030048.0,1198750.0,3361876
Myanmar,536536,19310,513557,3669,9757,351,6420447.0,116762.0,54987647
Nepal,959775,11764,878720,69291,32028,393,5247149.0,175101.0,29966412
Oman,344043,4153,317584,22306,64766,782,25000000.0,4706237.0,5312100
Pakistan,1436413,29330,1304980,102103,6309,129,25134775.0,110394.0,227681484
Palestine,499031,4847,446032,48152,94351,916,2958990.0,559454.0,5289066
Philippines,3577298,54097,3362904,160297,31971,483,27345917.0,244398.0,111890761
Qatar,341628,649,321767,19212,121671,231,3311465.0,1179379.0,2807805
S. Korea,884310,6787,633060,244463,17225,132,15804065.0,307837.0,51339099
Saudi Arabia,695217,8943,649334,36940,19489,251,38166414.0,1069917.0,35672322
Singapore,359075,858,337743,20474,60621,145,22660836.0,3825757.0,5923229
Sri Lanka,613478,15492,579320,18666,28460,719,6064083.0,281324.0,21555499
Syria,51483,2992,38938,9553,2833,165,146269.0,8049.0,18173320
Taiwan,18903,851,16773,1279,791,36,10508953.0,439980.0,23885078
Tajikistan,17326,124,17157,45,1754,13,,,9876647
Thailand,2456551,22210,2351250,83091,35055,317,17270775.0,246453.0,70077492
Timor-Leste,20136,122,19746,268,14826,90,226374.0,166673.0,1358194
Turkey,11722483,87614,10998721,636148,136663,1021,131758913.0,1536073.0,85776474
UAE,849305,2251,779466,67588,84259,223,126179227.0,12518209.0,10079655
Uzbekistan,225110,1571,210647,12892,6575,46,1377915.0,40246.0,34237280
Vietnam,2295494,37777,2068853,188864,23251,383,77252039.0,782490.0,98725892
Yemen,11045,2018,7130,1897,358,65,265253.0,8594.0,30865522
