Entity,Code,Day,Omicron_percentage
Angola,AGO,2021-09-20,0
Angola,AGO,2021-10-04,0
Argentina,ARG,2021-09-20,0
Argentina,ARG,2021-10-04,0
Argentina,ARG,2021-10-18,0
Argentina,ARG,2021-11-01,0
Argentina,ARG,2021-11-15,0
Argentina,ARG,2021-11-29,0
Argentina,ARG,2021-12-13,14.94
Argentina,ARG,2021-12-27,85.11
Aruba,ABW,2021-09-20,0
Aruba,ABW,2021-10-04,0
Aruba,ABW,2021-10-18,0
Aruba,ABW,2021-11-15,0
Aruba,ABW,2021-11-29,0
Aruba,ABW,2021-12-13,0
Australia,AUS,2021-09-20,0
Australia,AUS,2021-10-04,0
Australia,AUS,2021-10-18,0
Australia,AUS,2021-11-01,0
Australia,AUS,2021-11-15,0
Australia,AUS,2021-11-29,0.4
Australia,AUS,2021-12-13,13.07
Australia,AUS,2021-12-27,76.42
Austria,AUT,2021-09-20,0
Austria,AUT,2021-10-04,0
Austria,AUT,2021-10-18,0
Austria,AUT,2021-11-01,0
Austria,AUT,2021-11-15,0
Austria,AUT,2021-11-29,4.24
Austria,AUT,2021-12-13,14.75
Bahrain,BHR,2021-10-04,0
Bahrain,BHR,2021-10-18,0
Bahrain,BHR,2021-11-01,0
Bahrain,BHR,2021-11-15,0
Bangladesh,BGD,2021-09-20,0
Bangladesh,BGD,2021-10-04,0
Bangladesh,BGD,2021-10-18,0
Bangladesh,BGD,2021-11-01,0
Bangladesh,BGD,2021-11-15,0
Bangladesh,BGD,2021-11-29,0
Bangladesh,BGD,2021-12-13,6.67
Belgium,BEL,2021-09-20,0
Belgium,BEL,2021-10-04,0
Belgium,BEL,2021-10-18,0
Belgium,BEL,2021-11-01,0
Belgium,BEL,2021-11-15,0
Belgium,BEL,2021-11-29,0.16
Belgium,BEL,2021-12-13,9.39
Belgium,BEL,2021-12-27,31.08
Belgium,BEL,2022-01-05,50.85
Bosnia and Herzegovina,BIH,2021-10-04,0
Bosnia and Herzegovina,BIH,2021-10-18,0
Bosnia and Herzegovina,BIH,2021-11-01,0
Bosnia and Herzegovina,BIH,2021-11-15,0
Bosnia and Herzegovina,BIH,2021-11-29,0
Bosnia and Herzegovina,BIH,2021-12-13,0
Botswana,BWA,2021-09-20,0
Botswana,BWA,2021-10-04,0
Botswana,BWA,2021-10-18,0
Botswana,BWA,2021-11-01,0
Botswana,BWA,2021-11-15,5.17
Botswana,BWA,2021-11-29,20.16
Botswana,BWA,2021-12-13,76.1
Botswana,BWA,2021-12-27,99.3
Brazil,BRA,2021-09-20,0
Brazil,BRA,2021-10-04,0
Brazil,BRA,2021-10-18,0
Brazil,BRA,2021-11-01,0
Brazil,BRA,2021-11-15,0
Brazil,BRA,2021-11-29,0.16
Brazil,BRA,2021-12-13,2.85
Brazil,BRA,2021-12-27,58.33
Brunei,BRN,2021-11-15,0
Brunei,BRN,2021-11-29,0
Brunei,BRN,2021-12-13,0
Bulgaria,BGR,2021-09-20,0
Bulgaria,BGR,2021-10-04,0
Bulgaria,BGR,2021-10-18,0
Bulgaria,BGR,2021-11-01,0
Bulgaria,BGR,2021-11-15,0
Bulgaria,BGR,2021-11-29,0
Cambodia,KHM,2021-09-20,0
Cambodia,KHM,2021-10-04,0
Cambodia,KHM,2021-10-18,0
Cambodia,KHM,2021-11-01,0
Cambodia,KHM,2021-11-15,0
Cambodia,KHM,2021-11-29,0
Cambodia,KHM,2021-12-13,0.77
Cambodia,KHM,2021-12-27,18.75
Cameroon,CMR,2021-09-20,0
Cameroon,CMR,2021-10-04,0
Canada,CAN,2021-09-20,0
Canada,CAN,2021-10-04,0
Canada,CAN,2021-10-18,0
Canada,CAN,2021-11-01,0
Canada,CAN,2021-11-15,0.02
Canada,CAN,2021-11-29,0.43
Canada,CAN,2021-12-13,10.81
Canada,CAN,2021-12-27,39.68
Chile,CHL,2021-09-20,0
Chile,CHL,2021-10-04,0
Chile,CHL,2021-10-18,0
Chile,CHL,2021-11-01,0
Chile,CHL,2021-11-15,0
Chile,CHL,2021-11-29,0.17
Chile,CHL,2021-12-13,8.71
Chile,CHL,2021-12-27,51.59
Colombia,COL,2021-09-20,0
Colombia,COL,2021-10-04,0
Colombia,COL,2021-10-18,0
Colombia,COL,2021-11-01,0
Colombia,COL,2021-11-15,0
Colombia,COL,2021-11-29,0
Colombia,COL,2021-12-13,0.89
Colombia,COL,2021-12-27,34.58
Costa Rica,CRI,2021-09-20,0
Costa Rica,CRI,2021-10-04,0
Costa Rica,CRI,2021-10-18,0
Costa Rica,CRI,2021-11-01,0
Costa Rica,CRI,2021-11-15,0
Costa Rica,CRI,2021-11-29,0
Costa Rica,CRI,2021-12-13,1.67
Costa Rica,CRI,2021-12-27,34.15
Croatia,HRV,2021-09-20,0
Croatia,HRV,2021-10-04,0
Croatia,HRV,2021-10-18,0
Croatia,HRV,2021-11-01,0
Croatia,HRV,2021-11-15,0
Croatia,HRV,2021-11-29,0
Croatia,HRV,2021-12-13,0.86
Curacao,CUW,2021-09-20,0
Curacao,CUW,2021-10-04,0
Curacao,CUW,2021-10-18,0
Curacao,CUW,2021-11-01,0
Czechia,CZE,2021-09-20,0
Czechia,CZE,2021-10-04,0
Czechia,CZE,2021-10-18,0
Czechia,CZE,2021-11-01,0
Czechia,CZE,2021-11-15,0
Czechia,CZE,2021-11-29,0.15
Czechia,CZE,2021-12-13,0.49
Czechia,CZE,2021-12-27,14.85
Denmark,DNK,2021-09-20,0
Denmark,DNK,2021-10-04,0
Denmark,DNK,2021-10-18,0
Denmark,DNK,2021-11-01,0
Denmark,DNK,2021-11-15,0
Denmark,DNK,2021-11-29,0.04
Denmark,DNK,2021-12-13,4.9
Denmark,DNK,2021-12-27,48.86
Dominican Republic,DOM,2021-10-18,0
Ecuador,ECU,2021-09-20,0
Ecuador,ECU,2021-10-04,0
Ecuador,ECU,2021-10-18,0
Ecuador,ECU,2021-11-15,0
Ecuador,ECU,2021-11-29,0
Ecuador,ECU,2021-12-13,3.23
Ecuador,ECU,2021-12-27,47.27
Egypt,EGY,2021-11-01,0
Estonia,EST,2021-09-20,0
Estonia,EST,2021-10-04,0
Estonia,EST,2021-10-18,0
Estonia,EST,2021-11-01,0
Estonia,EST,2021-11-15,0
Estonia,EST,2021-11-29,0
Estonia,EST,2021-12-13,0
Finland,FIN,2021-09-20,0
Finland,FIN,2021-10-04,0
Finland,FIN,2021-10-18,0
Finland,FIN,2021-11-01,0
Finland,FIN,2021-11-15,0
Finland,FIN,2021-11-29,0
France,FRA,2021-09-20,0
France,FRA,2021-10-04,0
France,FRA,2021-10-18,0
France,FRA,2021-11-01,0
France,FRA,2021-11-15,0.01
France,FRA,2021-11-29,0.12
France,FRA,2021-12-13,2.21
France,FRA,2021-12-27,22.93
France,FRA,2022-01-05,80.34
Georgia,GEO,2021-10-04,0
Georgia,GEO,2021-10-18,0
Georgia,GEO,2021-11-01,0
