Draw Number,Jackpot,Date,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Ball 6,Extra Ball
1,$0 ,2002-09-12,7,25,11,8,20,32,30
2,$0 ,2002-09-19,5,19,13,42,21,28,35
3,$0 ,2002-09-26,4,10,18,35,36,38,21
4,"$1,086,669 ",2002-10-03,8,16,17,23,29,32,7
5,$0 ,2002-10-10,4,7,10,16,27,41,12
6,"$326,511 ",2002-10-17,11,14,16,22,28,30,7
7,$0 ,2002-10-24,14,15,18,26,28,35,17
8,$0 ,2002-10-31,8,14,19,22,31,37,33
9,$0 ,2002-11-07,3,6,9,13,14,17,24
10,$0 ,2002-11-14,18,22,25,30,36,42,1
11,"$330,033 ",2002-11-21,9,11,15,29,31,41,5
12,$0 ,2002-11-28,4,20,21,22,23,28,25
13,$0 ,2002-12-05,10,18,24,33,38,40,41
14,$0 ,2002-12-12,3,4,17,27,34,40,38
15,$0 ,2002-12-19,14,15,19,27,29,39,30
16,$0 ,2002-12-26,4,11,12,17,27,35,39
17,$0 ,2003-01-02,2,5,16,17,29,40,18
18,$0 ,2003-01-09,8,24,25,31,38,41,2
19,$0 ,2003-01-16,3,17,21,23,30,39,22
20,$0 ,2003-01-23,10,19,23,33,39,42,16
21,$0 ,2003-01-30,1,9,11,26,28,30,35
22,$0 ,2003-02-06,4,5,10,28,38,41,33
23,$0 ,2003-02-13,9,11,17,18,22,25,24
24,$0 ,2003-02-20,4,9,13,14,23,37,35
25,$0 ,2003-02-24,6,15,28,29,33,35,22
26,$0 ,2003-02-27,10,11,12,14,25,32,4
27,$0 ,2003-03-03,6,13,21,25,26,36,27
28,$0 ,2003-03-06,7,13,22,23,31,38,19
29,$0 ,2003-03-10,4,7,11,20,29,38,18
30,$0 ,2003-03-13,12,15,22,26,37,42,41
31,$0 ,2003-03-17,17,26,30,35,37,41,9
32,$0 ,2003-03-20,6,10,13,22,29,36,3
33,$0 ,2003-03-24,8,12,16,17,33,40,3
34,$0 ,2003-03-27,1,12,25,31,40,41,34
35,$0 ,2003-03-31,3,4,6,12,16,19,31
36,$0 ,2003-04-03,1,6,21,24,38,42,7
37,$0 ,2003-04-07,4,6,7,20,23,36,33
38,$0 ,2003-04-10,15,19,26,31,36,37,32
39,$0 ,2003-04-14,3,23,24,36,37,39,35
40,$0 ,2003-04-17,1,4,8,12,13,36,27
