Category: All categories

Week,ML software engineer: (United States)
2019-08-18,60
2019-08-25,0
2019-09-01,0
2019-09-08,55
2019-09-15,55
2019-09-22,0
2019-09-29,56
2019-10-06,56
2019-10-13,56
2019-10-20,0
2019-10-27,0
2019-11-03,0
2019-11-10,54
2019-11-17,0
2019-11-24,58
2019-12-01,0
2019-12-08,0
2019-12-15,56
2019-12-22,0
2019-12-29,58
2020-01-05,0
2020-01-12,52
2020-01-19,54
2020-01-26,0
2020-02-02,0
2020-02-09,53
2020-02-16,52
2020-02-23,50
2020-03-01,100
2020-03-08,50
2020-03-15,0
2020-03-22,0
2020-03-29,0
2020-04-05,0
2020-04-12,46
2020-04-19,46
2020-04-26,0
2020-05-03,47
2020-05-10,48
2020-05-17,0
2020-05-24,0
2020-05-31,48
2020-06-07,48
2020-06-14,0
2020-06-21,0
2020-06-28,0
2020-07-05,0
2020-07-12,52
2020-07-19,53
2020-07-26,0
2020-08-02,0
2020-08-09,0
