,Movie,Year,Genre,RunTime,Rating,Director,Actor,Description,IMDB_Score,Metascore,Votes,USA_Gross,Category
0,Eternals,(2021),"Action,Adventure,Drama",,,ChloéZhao,"AngelinaJolie,GemmaChan,RichardMadden,BarryKeoghan","The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.",,,,,Marvel
1,Loki,(2021– ),"Action,Adventure,Fantasy",,,,"TomHiddleston,OwenWilson,SophiaDiMartino,RichardE.Grant",A new Marvel chapter with Loki at its center.,,,,,Marvel
2,The Falcon and the Winter Soldier,(2021),"Action,Adventure,Drama",50 min,TV-14,,"AnthonyMackie,SebastianStan,WyattRussell,ErinKellyman","Following the events of 'Avengers: Endgame,' Sam Wilson/Falcon and Bucky Barnes/Winter Soldier team up in a global adventure that tests their abilities -- and their patience.",7.5,,"105,557",,Marvel
3,WandaVision,(2021),"Action,Comedy,Drama",350 min,TV-PG,,"ElizabethOlsen,PaulBettany,KathrynHahn,TeyonahParris","Blends the style of classic sitcoms with the MCU, in which Wanda Maximoff and Vision - two super-powered beings living their ideal suburban lives - begin to suspect that everything is not as it seems.",8.1,,"174,710",,Marvel
4,Spider-Man: No Way Home,(2021),"Action,Adventure,Sci-Fi",,,JonWatts,"AngourieRice,TomHolland,Zendaya,MarisaTomei",A continuation of Spider-Man: Far From Home.,,,,,Marvel
5,Black Widow,(2021),"Action,Adventure,Sci-Fi",133 min,PG-13,CateShortland,"ScarlettJohansson,FlorencePugh,DavidHarbour,RachelWeisz",A film about Natasha Romanoff in her quests between the films Civil War and Infinity War.,,,,,Marvel
6,Avengers: Endgame,(2019),"Action,Adventure,Drama",181 min,PG-13,"AnthonyRusso,JoeRusso","RobertDowneyJr.,ChrisEvans,MarkRuffalo,ChrisHemsworth","After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",8.4,78,"880,911",$858.37M,Marvel
7,Guardians of the Galaxy,(2014),"Action,Adventure,Comedy",121 min,PG-13,JamesGunn,"ChrisPratt,VinDiesel,BradleyCooper,ZoeSaldana",A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,8.0,76,"1,066,222",$333.18M,Marvel
8,Thor: Love and Thunder,(2022),"Action,Adventure,Fantasy",,,TaikaWaititi,"ChrisPratt,KarenGillan,TaikaWaititi,TessaThompson",The sequel to Thor: Ragnarok and the fourth movie in the Thor saga.,,,,,Marvel
9,Spider-Man: Far from Home,(2019),"Action,Adventure,Sci-Fi",129 min,PG-13,JonWatts,"TomHolland,SamuelL.Jackson,JakeGyllenhaal,MarisaTomei","Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever.",7.5,69,"348,047",$390.53M,Marvel
