Tournament,Matchday,Date,Venue,Club,Opponent,Result,Position,Minute,When Scored,Goal Type,Assist
Série A ,7,6/21/09,Home,Santos FC,Clube Atlético Mineiro,2:3,Not Applicable,45',1:0,Left-footed shot,Not Applicable
Série A ,11,7/15/09,Home,Santos FC,Grêmio Barueri (SP),3:3,Not Applicable,88',3:3,Header,Luizinho
Série A ,13,7/22/09,Home,Santos FC,Atlético Paranaense,1:0,Not Applicable,72',1:0,Left-footed shot,Roni
Série A ,15,7/29/09,Away,Santos FC,Clube Náutico Capibaribe,1:2,Not Applicable,67',0:1,Header,Madson
Série A ,34,11/7/09,Home,Santos FC,Clube Náutico Capibaribe,3:1,Not Applicable,58',2:0,Right-footed shot,Madson
Série A ,34,11/7/09,Home,Santos FC,Clube Náutico Capibaribe,3:1,Not Applicable,89',3:1,Left-footed shot,Madson
Série A ,35,11/15/09,Away,Santos FC,Sport Club Internacional,3:1,Not Applicable,63',2:1,Right-footed shot,Felipe Azevedo
Série A ,36,11/22/09,Home,Santos FC,Coritiba Foot Ball Club,4:0,Not Applicable,64',3:0,Left-footed shot,Madson
Série A ,36,11/22/09,Home,Santos FC,Coritiba Foot Ball Club,4:0,Not Applicable,88',4:0,Right-footed shot,Ganso
Série A ,38,12/6/09,Home,Santos FC,Cruzeiro Esporte Clube,1:2,Not Applicable,70',1:1,Right-footed shot,Not Applicable
Série A ,1,5/8/10,Away,Santos FC,Botafogo de Futebol e Regatas,3:3,Not Applicable,29',1:1,Right-footed shot,Marquinhos
Série A ,2,5/16/10,Home,Santos FC,Ceará Sporting Club,1:1,Not Applicable,38',1:1,Not Applicable,Neymar
Série A ,4,5/26/10,Home,Santos FC,Guarani Futebol Clube (SP),3:1,Not Applicable,2',1:0,Right-footed shot,Ganso
Série A ,15,8/22/10,Home,Santos FC,Clube Atlético Mineiro,2:0,Not Applicable,55',1:0,Penalty,Not Applicable
Série A ,16,8/25/10,Away,Santos FC,Grêmio Foot-Ball Porto Alegrense,1:2,Not Applicable,68',1:1,Penalty,Not Applicable
Série A ,18,9/2/10,Home,Santos FC,Avaí Futebol Clube (SC),2:1,Not Applicable,1',1:0,Right-footed shot,Not Applicable
Série A ,24,9/22/10,Home,Santos FC,Sport Club Corinthians Paulista,2:3,Not Applicable,27',2:1,Tap-in,Marcel
Série A ,25,9/25/10,Home,Santos FC,Cruzeiro Esporte Clube,4:1,Not Applicable,90'+1,4:1,Right-footed shot,Not Applicable
Série A ,13,10/13/10,Home,Santos FC,Sport Club Internacional,1:0,Not Applicable,27',1:0,Left-footed shot,Danilo
Série A ,30,10/17/10,Away,Santos FC,São Paulo Futebol Clube,4:3,Not Applicable,70',3:3,Penalty,Not Applicable
Série A ,33,11/3/10,Home,Santos FC,Esporte Clube Vitória,1:1,Not Applicable,33',1:0,Right-footed shot,Marquinhos
Série A ,34,11/7/10,Away,Santos FC,Clube Atlético Mineiro,2:2,Not Applicable,17',0:1,Right-footed shot,Not Applicable
Série A ,34,11/7/10,Away,Santos FC,Clube Atlético Mineiro,2:2,Not Applicable,67',2:2,Right-footed shot,Not Applicable
Série A ,36,11/21/10,Away,Santos FC,Goiás Esporte Clube,1:4,Not Applicable,75',1:2,Penalty,Not Applicable
Série A ,36,11/21/10,Away,Santos FC,Goiás Esporte Clube,1:4,Not Applicable,79',1:3,Right-footed shot,Not Applicable
Série A ,36,11/21/10,Away,Santos FC,Goiás Esporte Clube,1:4,Not Applicable,82',1:4,Right-footed shot,Felipe Anderson
Série A ,37,11/28/10,Away,Santos FC,Avaí Futebol Clube (SC),3:2,Not Applicable,32',0:2,Right-footed shot,Arouca
Libertadores ,group stage,3/17/11,Away,Santos FC,CSD Colo Colo,3:2,Not Applicable,49',3:2,Left-footed shot,Ganso
