Date,Team,Acquired,Relinquished,Notes
2010-10-03,Bulls,,Carlos Boozer,fractured bone in right pinky finger (out indefinitely)
2010-10-06,Pistons,,Jonas Jerebko,torn right Achilles tendon (out indefinitely)
2010-10-06,Pistons,,Terrico White,broken fifth metatarsal in right foot (out indefinitely)
2010-10-08,Blazers,,Jeff Ayres,torn ACL in right knee (out indefinitely)
2010-10-08,Nets,,Troy Murphy,strained lower back (out indefinitely)
2010-10-08,Pistons,,Jonas Jerebko,surgery to repair torn right Achilles tendon
2010-10-08,Pistons,,Terrico White,surgery on right foot to repair broken fifth metatarsal
2010-10-09,Nuggets,,Al Harrington,partially torn plantar fascia in left foot (out indefinitely)
2010-10-12,Bucks,,Darington Hobson,surgery on left hip (out for season)
2010-10-12,Kings,,Samuel Dalembert,strained left groin (out indefinitely)
2010-10-17,Bobcats,,Dominic McGuire,stress fracture in left shin (out indefinitely)
2010-10-18,Warriors,,Lou Amundson,surgery to repair fractured right index finger (out indefinitely)
2010-10-19,Suns,,Josh Childress,fractured right index finger (out indefinitely)
2010-10-22,Heat,,Mike Miller,surgery on right hand to repair a broken thumb and ligament damage (out indefinitely)
2010-10-25,Thunder,,Nick Collison,left knee injury (out indefinitely)
2010-10-25,Timberwolves,,Martell Webster,surgery on back (out indefinitely)
2010-10-26,Blazers,,Elliot Williams,placed on IL
2010-10-26,Blazers,,Greg Oden,placed on IL with left knee injury (out for season)
2010-10-26,Blazers,,Joel Przybilla,placed on IL placed on IL recovering from surgery on right knee to repair ruptured patella tendon
2010-10-26,Celtics,,Avery Bradley,placed on IL recovering from surgery on left ankle
2010-10-26,Celtics,,Kendrick Perkins,placed on IL recovering from surgery on right knee to repair torn ACL
2010-10-26,Celtics,,Luke Harangody,placed on IL
2010-10-26,Heat,,Dexter Pittman,placed on IL
2010-10-26,Heat,,Jerry Stackhouse,placed on IL
2010-10-26,Heat,,Mario Chalmers,sprained ankle (out indefinitely)
2010-10-26,Heat,,Mike Miller,placed on IL recovering from surgery on right hand to repair a broken thumb and ligament damage
2010-10-26,Lakers,,Andrew Bynum,placed on IL recovering from surgery on right knee to repair torn ligaments
2010-10-26,Lakers,,Luke Walton,placed on IL with strained right hamstring
2010-10-26,Rockets,,Jermaine Taylor,placed on IL
2010-10-26,Rockets,,Kyle Lowry,placed on IL with back spasms
2010-10-26,Rockets,,Patrick Patterson,placed on IL
2010-10-26,Suns,,Gani Lawal,placed on IL
2010-10-26,Suns,,Matt Janning,placed on IL
2010-10-27,76ers,,Craig Brackins,placed on IL
2010-10-27,76ers,,Jodie Meeks,placed on IL
2010-10-27,Bobcats,,Dominic McGuire,placed on IL with stress fracture in left shin
2010-10-27,Bobcats,,Eduardo Najera,placed on IL with sports hernia
2010-10-27,Bobcats,,Kwame Brown,placed on IL with sprained left ankle
2010-10-27,Bucks,,Chris Douglas-Roberts,placed on IL with right eye injury
2010-10-27,Bucks,,Jon Brockman,sprained left ankle (DNP)
2010-10-27,Bucks,,Luc Mbah a Moute,sprained right ankle (DNP)
2010-10-27,Bucks,,Michael Redd,placed on IL recovering from surgery on left knee to repair torn ACL
2010-10-27,Bulls,,Carlos Boozer,placed on IL with fractured bone in right pinky finger
2010-10-27,Cavaliers,,Christian Eyenga,placed on IL
2010-10-27,Cavaliers,,Mo Williams,placed on IL with groin injury
2010-10-27,Cavaliers,,Samardo Samuels,placed on IL
2010-10-27,Clippers,,Craig Smith,placed on IL with back injury
2010-10-27,Clippers,,Willie Warren,placed on IL
2010-10-27,Grizzlies,,Greivis Vasquez,placed on IL recovering from surgery on right ankle to remove bone spur
2010-10-27,Grizzlies,,Marc Gasol,placed on IL with sprained right ankle / left ankle
2010-10-27,Hawks,,Etan Thomas,placed on IL
2010-10-27,Hawks,,Pape Sy,placed on IL with strained lower back
2010-10-27,Heat,,Jamaal Magloire,placed on IL
2010-10-27,Heat,Jerry Stackhouse,,activated from IL
2010-10-27,Hornets,,Aaron Gray,placed on IL
2010-10-27,Hornets,,Joe Alexander,placed on IL
2010-10-27,Hornets,,Quincy Pondexter,placed on IL
2010-10-27,Jazz,,Mehmet Okur,placed on IL recovering from surgery to repair torn left Achilles tendon
2010-10-27,Kings,,Antoine Wright,placed on IL
2010-10-27,Kings,,Samuel Dalembert,placed on IL with strained left abductor
2010-10-27,Knicks,,Anthony Randolph,placed on IL with sprained left ankle
2010-10-27,Knicks,,Eddy Curry,placed on IL with strained right hamstring
2010-10-27,Knicks,,Kelenna Azubuike,placed on IL recovering from arthroscopic surgery on right knee
2010-10-27,Mavericks,,Alex Ajinca,placed on IL
2010-10-27,Mavericks,,Rodrigue Beaubois,placed on IL with fractured left foot
2010-10-27,Mavericks,,Steve Novak,placed on IL
2010-10-27,Nets,,Ben Uzoh,placed on IL
2010-10-27,Nets,,Quinton Ross,placed on IL
2010-10-27,Nets,,Troy Murphy,placed on IL with strained lower back
2010-10-27,Nuggets,,Chris Andersen,placed on IL recovering from surgery on right knee to repair partially torn patella tendon
2010-10-27,Nuggets,,Kenyon Martin,placed on IL recovering from surgery on left knee
2010-10-27,Pacers,,A.J. Price,placed on IL
