seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,gs,mp,fg_per_100_poss,fga_per_100_poss,fg_percent,x3p_per_100_poss,x3pa_per_100_poss,x3p_percent,x2p_per_100_poss,x2pa_per_100_poss,x2p_percent,ft_per_100_poss,fta_per_100_poss,ft_percent,orb_per_100_poss,drb_per_100_poss,trb_per_100_poss,ast_per_100_poss,stl_per_100_poss,blk_per_100_poss,tov_per_100_poss,pf_per_100_poss,pts_per_100_poss,o_rtg,d_rtg
29648,2022,4219,Aaron Gordon,NA,PF,26,8,NBA,DEN,75,75,2376,9,17.2,0.52,1.8,5.4,0.335,7.2,11.9,0.605,3.5,4.7,0.743,2.6,6.5,9.1,3.9,0.9,0.9,2.7,3.1,23.2,115,114
29649,2022,4899,Aaron Henry,NA,SF,22,1,NBA,PHI,6,0,17,2.9,14.7,0.2,0,2.9,0,2.9,11.7,0.25,0,0,NA,0,2.9,2.9,0,0,5.9,5.9,5.9,5.9,29,111
29650,2022,4582,Aaron Holiday,NA,PG,25,4,NBA,TOT,63,15,1021,7.2,16.2,0.447,1.9,4.9,0.379,5.4,11.3,0.477,2.8,3.3,0.868,1.2,4.7,5.9,7.3,2,0.4,3.2,4.4,19.2,108,113
29651,2022,4582,Aaron Holiday,NA,PG,25,4,NBA,WAS,41,14,663,7.5,16,0.467,1.7,5,0.343,5.7,11,0.524,2.1,2.6,0.8,0.7,4.3,5,5.8,1.8,0.7,2.9,4.5,18.7,105,116
29652,2022,4582,Aaron Holiday,NA,PG,25,4,NBA,PHO,22,1,358,6.9,16.7,0.411,2.2,4.8,0.444,4.7,11.8,0.398,4.2,4.4,0.939,2,5.4,7.4,10.1,2.4,0,3.8,4.3,20,112,108
29653,2022,4805,Aaron Nesmith,NA,SF,22,2,NBA,BOS,52,3,574,6.2,15.8,0.396,2.7,10,0.27,3.5,5.8,0.612,1.8,2.3,0.808,1.3,6.4,7.7,1.9,1.7,0.4,2.7,6.1,17,95,108
29654,2022,4900,Aaron Wiggins,NA,SG,23,1,NBA,OKC,50,35,1209,6.3,13.6,0.463,1.7,5.6,0.304,4.6,8,0.573,2.5,3.4,0.729,2.1,5.1,7.2,2.7,1.2,0.4,2.2,3.7,16.8,107,116
29655,2022,4463,Abdel Nader,NA,SF,28,5,NBA,PHO,14,0,145,4,11.6,0.343,1.3,4.6,0.286,2.7,7,0.381,2,3.3,0.6,1.3,7.6,9,2.3,2.7,1.3,3.7,6.6,11.3,79,104
29656,2022,4901,Ade Murkey,NA,SG,24,1,NBA,SAC,1,0,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,NA,124
29657,2022,4688,Admiral Schofield,NA,SF,24,2,NBA,ORL,38,1,469,5.6,13.3,0.419,2.7,8.1,0.329,2.9,5.2,0.56,1.2,1.5,0.8,1.8,7.4,9.2,2.6,0.4,0.5,2.2,6,15.1,102,115
