seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,gs,mp,fg_per_36_min,fga_per_36_min,fg_percent,x3p_per_36_min,x3pa_per_36_min,x3p_percent,x2p_per_36_min,x2pa_per_36_min,x2p_percent,ft_per_36_min,fta_per_36_min,ft_percent,orb_per_36_min,drb_per_36_min,trb_per_36_min,ast_per_36_min,stl_per_36_min,blk_per_36_min,tov_per_36_min,pf_per_36_min,pts_per_36_min
29648,2022,4219,Aaron Gordon,NA,PF,26,8,NBA,DEN,75,75,2376,6.6,12.6,0.52,1.3,3.9,0.335,5.3,8.7,0.605,2.6,3.5,0.743,1.9,4.8,6.7,2.8,0.7,0.7,2,2.2,17.1
29649,2022,4899,Aaron Henry,NA,SF,22,1,NBA,PHI,6,0,17,2.1,10.6,0.2,0,2.1,0,2.1,8.5,0.25,0,0,NA,0,2.1,2.1,0,0,4.2,4.2,4.2,4.2
29650,2022,4582,Aaron Holiday,NA,PG,25,4,NBA,TOT,63,15,1021,5.3,11.9,0.447,1.4,3.6,0.379,3.9,8.3,0.477,2.1,2.4,0.868,0.8,3.5,4.3,5.4,1.5,0.3,2.4,3.2,14.1
29651,2022,4582,Aaron Holiday,NA,PG,25,4,NBA,WAS,41,14,663,5.4,11.6,0.467,1.2,3.6,0.343,4.2,8,0.524,1.5,1.9,0.8,0.5,3.1,3.6,4.2,1.3,0.5,2.1,3.3,13.6
29652,2022,4582,Aaron Holiday,NA,PG,25,4,NBA,PHO,22,1,358,5.1,12.5,0.411,1.6,3.6,0.444,3.5,8.8,0.398,3.1,3.3,0.939,1.5,4,5.5,7.5,1.8,0,2.8,3.2,15
29653,2022,4805,Aaron Nesmith,NA,SF,22,2,NBA,BOS,52,3,574,4.5,11.4,0.396,1.9,7.2,0.27,2.6,4.2,0.612,1.3,1.6,0.808,0.9,4.6,5.6,1.4,1.3,0.3,1.9,4.4,12.3
29654,2022,4900,Aaron Wiggins,NA,SG,23,1,NBA,OKC,50,35,1209,4.6,10,0.463,1.3,4.1,0.304,3.4,5.9,0.573,1.8,2.5,0.729,1.5,3.8,5.3,2,0.9,0.3,1.6,2.8,12.4
29655,2022,4463,Abdel Nader,NA,SF,28,5,NBA,PHO,14,0,145,3,8.7,0.343,1,3.5,0.286,2,5.2,0.381,1.5,2.5,0.6,1,5.7,6.7,1.7,2,1,2.7,5,8.4
29656,2022,4901,Ade Murkey,NA,SG,24,1,NBA,SAC,1,0,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0
29657,2022,4688,Admiral Schofield,NA,SF,24,2,NBA,ORL,38,1,469,4.1,9.9,0.419,2,6.1,0.329,2.1,3.8,0.56,0.9,1.2,0.8,1.3,5.5,6.8,1.9,0.3,0.4,1.6,4.5,11.2
29658,2022,4902,Ahmad Caver,NA,PG,25,1,NBA,IND,1,0,1,36,36,1,0,0,NA,36,36,1,0,0,NA,0,0,0,0,0,0,0,0,72
29659,2022,3734,Al Horford,NA,C,35,15,NBA,BOS,69,69,2005,4.8,10.2,0.467,1.6,4.8,0.336,3.2,5.5,0.582,1.4,1.7,0.842,1.9,7.6,9.5,4.2,0.9,1.7,1.2,2.3,12.6
