seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,gs,mp_per_game,fg_per_game,fga_per_game,fg_percent,x3p_per_game,x3pa_per_game,x3p_percent,x2p_per_game,x2pa_per_game,x2p_percent,e_fg_percent,ft_per_game,fta_per_game,ft_percent,orb_per_game,drb_per_game,trb_per_game,ast_per_game,stl_per_game,blk_per_game,tov_per_game,pf_per_game,pts_per_game
29648,2022,4219,Aaron Gordon,NA,PF,26,8,NBA,DEN,75,75,31.7,5.8,11.1,0.52,1.2,3.5,0.335,4.6,7.7,0.605,0.573,2.3,3.1,0.743,1.7,4.2,5.9,2.5,0.6,0.6,1.8,2,15
29649,2022,4899,Aaron Henry,NA,SF,22,1,NBA,PHI,6,0,2.8,0.2,0.8,0.2,0,0.2,0,0.2,0.7,0.25,0.2,0,0,NA,0,0.2,0.2,0,0,0.3,0.3,0.3,0.3
29650,2022,4582,Aaron Holiday,NA,PG,25,4,NBA,TOT,63,15,16.2,2.4,5.4,0.447,0.6,1.6,0.379,1.8,3.7,0.477,0.504,0.9,1.1,0.868,0.4,1.6,1.9,2.4,0.7,0.1,1.1,1.5,6.3
29651,2022,4582,Aaron Holiday,NA,PG,25,4,NBA,WAS,41,14,16.2,2.4,5.2,0.467,0.6,1.6,0.343,1.9,3.6,0.524,0.521,0.7,0.9,0.8,0.2,1.4,1.6,1.9,0.6,0.2,1,1.5,6.1
29652,2022,4582,Aaron Holiday,NA,PG,25,4,NBA,PHO,22,1,16.3,2.3,5.6,0.411,0.7,1.6,0.444,1.6,4,0.398,0.476,1.4,1.5,0.939,0.7,1.8,2.5,3.4,0.8,0,1.3,1.5,6.8
29653,2022,4805,Aaron Nesmith,NA,SF,22,2,NBA,BOS,52,3,11,1.4,3.5,0.396,0.6,2.2,0.27,0.8,1.3,0.612,0.481,0.4,0.5,0.808,0.3,1.4,1.7,0.4,0.4,0.1,0.6,1.3,3.8
29654,2022,4900,Aaron Wiggins,NA,SG,23,1,NBA,OKC,50,35,24.2,3.1,6.7,0.463,0.8,2.8,0.304,2.3,4,0.573,0.525,1.2,1.7,0.729,1,2.5,3.6,1.4,0.6,0.2,1.1,1.9,8.3
29655,2022,4463,Abdel Nader,NA,SF,28,5,NBA,PHO,14,0,10.4,0.9,2.5,0.343,0.3,1,0.286,0.6,1.5,0.381,0.4,0.4,0.7,0.6,0.3,1.6,1.9,0.5,0.6,0.3,0.8,1.4,2.4
29656,2022,4901,Ade Murkey,NA,SG,24,1,NBA,SAC,1,0,1,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0
29657,2022,4688,Admiral Schofield,NA,SF,24,2,NBA,ORL,38,1,12.3,1.4,3.4,0.419,0.7,2.1,0.329,0.7,1.3,0.56,0.519,0.3,0.4,0.8,0.4,1.9,2.3,0.7,0.1,0.1,0.6,1.5,3.8
29658,2022,4902,Ahmad Caver,NA,PG,25,1,NBA,IND,1,0,1,1,1,1,0,0,NA,1,1,1,1,0,0,NA,0,0,0,0,0,0,0,0,2
29659,2022,3734,Al Horford,NA,C,35,15,NBA,BOS,69,69,29.1,3.9,8.2,0.467,1.3,3.8,0.336,2.6,4.4,0.582,0.546,1.2,1.4,0.842,1.6,6.1,7.7,3.4,0.7,1.3,0.9,1.9,10.2
29660,2022,3982,Alec Burks,NA,SG,30,11,NBA,NYK,81,44,28.6,3.5,9,0.391,1.9,4.8,0.404,1.6,4.2,0.378,0.499,2.7,3.3,0.822,0.6,4.3,4.9,3,1,0.3,1.1,2.7,11.7
