seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,mp,pg_percent,sg_percent,sf_percent,pf_percent,c_percent,on_court_plus_minus_per_100_poss,net_plus_minus_per_100_poss,bad_pass_turnover,lost_ball_turnover,shooting_foul_committed,offensive_foul_committed,shooting_foul_drawn,offensive_foul_drawn,points_generated_by_assists,and1,fga_blocked
29648,2022,4219,Aaron Gordon,NA,PF,26,8,NBA,DEN,75,2376,NA,NA,51,46,3,5.9,9,48,39,55,27,110,6,436,33,52
29649,2022,4899,Aaron Henry,NA,SF,22,1,NBA,PHI,6,17,NA,11,69,21,NA,-51.1,-54.1,1,0,2,0,0,0,0,0,2
29650,2022,4582,Aaron Holiday,NA,PG,25,4,NBA,TOT,63,1021,99,1,NA,NA,NA,-2.1,-3.2,42,16,41,3,29,9,370,7,18
29651,2022,4582,Aaron Holiday,NA,PG,25,4,NBA,WAS,41,663,100,NA,NA,NA,NA,-6.6,-4,19,12,28,2,15,7,187,3,10
29652,2022,4582,Aaron Holiday,NA,PG,25,4,NBA,PHO,22,358,98,2,NA,NA,NA,6.4,-1.5,23,4,13,1,14,2,183,4,8
29653,2022,4805,Aaron Nesmith,NA,SF,22,2,NBA,BOS,52,574,1,30,63,7,NA,4.5,-3.8,17,5,39,3,15,6,53,7,2
29654,2022,4900,Aaron Wiggins,NA,SG,23,1,NBA,OKC,50,1209,8,66,25,1,NA,-7.2,1.5,30,13,47,2,39,0,161,12,21
29655,2022,4463,Abdel Nader,NA,SF,28,5,NBA,PHO,14,145,NA,13,86,1,NA,-1.6,-9.7,8,2,6,1,4,3,20,0,2
29656,2022,4901,Ade Murkey,NA,SG,24,1,NBA,SAC,1,1,NA,NA,100,NA,NA,-16.7,-11.2,0,0,0,0,0,0,0,0,0
29657,2022,4688,Admiral Schofield,NA,SF,24,2,NBA,ORL,38,469,NA,4,56,40,NA,-12.2,-4.5,10,5,37,1,9,6,62,3,5
29658,2022,4902,Ahmad Caver,NA,PG,25,1,NBA,IND,1,1,100,NA,NA,NA,NA,100,104.1,0,0,0,0,0,0,0,0,0
