seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,mp,fg_percent,avg_dist_fga,percent_fga_from_x2p_range,percent_fga_from_x0_3_range,percent_fga_from_x3_10_range,percent_fga_from_x10_16_range,percent_fga_from_x16_3p_range,percent_fga_from_x3p_range,fg_percent_from_x2p_range,fg_percent_from_x0_3_range,fg_percent_from_x3_10_range,fg_percent_from_x10_16_range,fg_percent_from_x16_3p_range,fg_percent_from_x3p_range,percent_assisted_x2p_fg,percent_assisted_x3p_fg,percent_dunks_of_fga,num_of_dunks,percent_corner_3s_of_3pa,corner_3_point_percent,num_heaves_attempted,num_heaves_made
29648,2022,4219,Aaron Gordon,NA,PF,26,8,NBA,DEN,75,2376,0.52,11.5,0.688,0.381,0.169,0.084,0.054,0.312,0.605,0.796,0.369,0.329,0.422,0.335,0.628,0.851,0.173,130,0.419,0.349,4,0
29649,2022,4899,Aaron Henry,NA,SF,22,1,NBA,PHI,6,17,0.2,12,0.8,0.2,0.2,0.4,0,0.2,0.25,1,0,0,NA,0,1,NA,0,0,0,NA,0,0
29650,2022,4582,Aaron Holiday,NA,PG,25,4,NBA,TOT,63,1021,0.447,13.1,0.695,0.175,0.299,0.166,0.056,0.305,0.477,0.61,0.475,0.411,0.263,0.379,0.348,0.718,0.003,0,0.155,0.438,0,0
29651,2022,4582,Aaron Holiday,NA,PG,25,4,NBA,WAS,41,663,0.467,12.9,0.687,0.178,0.318,0.164,0.028,0.313,0.524,0.605,0.529,0.486,0.167,0.343,0.364,0.739,0,0,0.179,0.417,0,0
29652,2022,4582,Aaron Holiday,NA,PG,25,4,NBA,PHO,22,358,0.411,13.5,0.71,0.169,0.266,0.169,0.105,0.29,0.398,0.619,0.364,0.286,0.308,0.444,0.314,0.688,0.008,0,0.111,0.5,0,0
29653,2022,4805,Aaron Nesmith,NA,SF,22,2,NBA,BOS,52,574,0.396,18.4,0.368,0.126,0.154,0.033,0.055,0.632,0.612,0.87,0.464,0.167,0.7,0.27,0.805,0.935,0.027,5,0.383,0.205,0,0
29654,2022,4900,Aaron Wiggins,NA,SG,23,1,NBA,OKC,50,1209,0.463,12.7,0.591,0.249,0.318,0.018,0.006,0.409,0.573,0.655,0.514,0.5,0.5,0.304,0.561,0.976,0.05,15,0.362,0.34,0,0
29655,2022,4463,Abdel Nader,NA,SF,28,5,NBA,PHO,14,145,0.343,12.9,0.6,0.314,0.286,0,0,0.4,0.381,0.727,0,NA,NA,0.286,0.5,1,0.029,1,0.357,0.2,1,0
29656,2022,4901,Ade Murkey,NA,SG,24,1,NBA,SAC,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0
29657,2022,4688,Admiral Schofield,NA,SF,24,2,NBA,ORL,38,469,0.419,17.6,0.388,0.147,0.209,0.023,0.008,0.612,0.56,0.632,0.481,0.667,1,0.329,0.714,0.962,0.023,1,0.367,0.345,2,0
