seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,gs,mp,fg,fga,fg_percent,x3p,x3pa,x3p_percent,x2p,x2pa,x2p_percent,e_fg_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts
29648,2022,4219,Aaron Gordon,NA,PF,26,8,NBA,DEN,75,75,2376,434,834,0.52,87,260,0.335,347,574,0.605,0.573,171,230,0.743,125,314,439,188,44,44,133,148,1126
29649,2022,4899,Aaron Henry,NA,SF,22,1,NBA,PHI,6,0,17,1,5,0.2,0,1,0,1,4,0.25,0.2,0,0,NA,0,1,1,0,0,2,2,2,2
29650,2022,4582,Aaron Holiday,NA,PG,25,4,NBA,TOT,63,15,1021,151,338,0.447,39,103,0.379,112,235,0.477,0.504,59,68,0.868,24,98,122,153,42,9,67,92,400
29651,2022,4582,Aaron Holiday,NA,PG,25,4,NBA,WAS,41,14,663,100,214,0.467,23,67,0.343,77,147,0.524,0.521,28,35,0.8,9,58,67,78,24,9,39,60,251
29652,2022,4582,Aaron Holiday,NA,PG,25,4,NBA,PHO,22,1,358,51,124,0.411,16,36,0.444,35,88,0.398,0.476,31,33,0.939,15,40,55,75,18,0,28,32,149
29653,2022,4805,Aaron Nesmith,NA,SF,22,2,NBA,BOS,52,3,574,72,182,0.396,31,115,0.27,41,67,0.612,0.481,21,26,0.808,15,74,89,22,20,5,31,70,196
29654,2022,4900,Aaron Wiggins,NA,SG,23,1,NBA,OKC,50,35,1209,156,337,0.463,42,138,0.304,114,199,0.573,0.525,62,85,0.729,51,127,178,68,30,10,54,93,416
29655,2022,4463,Abdel Nader,NA,SF,28,5,NBA,PHO,14,0,145,12,35,0.343,4,14,0.286,8,21,0.381,0.4,6,10,0.6,4,23,27,7,8,4,11,20,34
29656,2022,4901,Ade Murkey,NA,SG,24,1,NBA,SAC,1,0,1,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0
29657,2022,4688,Admiral Schofield,NA,SF,24,2,NBA,ORL,38,1,469,54,129,0.419,26,79,0.329,28,50,0.56,0.519,12,15,0.8,17,72,89,25,4,5,21,58,146
29658,2022,4902,Ahmad Caver,NA,PG,25,1,NBA,IND,1,0,1,1,1,1,0,0,NA,1,1,1,1,0,0,NA,0,0,0,0,0,0,0,0,2
29659,2022,3734,Al Horford,NA,C,35,15,NBA,BOS,69,69,2005,266,569,0.467,89,265,0.336,177,304,0.582,0.546,80,95,0.842,108,422,530,232,49,92,65,130,701
29660,2022,3982,Alec Burks,NA,SG,30,11,NBA,NYK,81,44,2318,285,728,0.391,157,389,0.404,128,339,0.378,0.499,217,264,0.822,47,350,397,239,85,26,91,215,944
29661,2022,4903,Aleem Ford,NA,SF,24,1,NBA,ORL,5,0,74,6,20,0.3,2,15,0.133,4,5,0.8,0.35,0,0,NA,2,13,15,2,1,0,4,7,14
29662,2022,4806,Aleksej Pokusevski,NA,PF,20,2,NBA,OKC,61,12,1233,186,456,0.408,57,197,0.289,129,259,0.498,0.47,35,50,0.7,73,245,318,131,39,38,94,88,464
29663,2022,4465,Alex Caruso,NA,SG,27,5,NBA,CHI,41,18,1147,102,256,0.398,42,126,0.333,60,130,0.462,0.48,58,73,0.795,33,115,148,165,71,15,57,106,304
29664,2022,4142,Alex Len,NA,C,28,9,NBA,SAC,39,10,620,94,176,0.534,6,21,0.286,88,155,0.568,0.551,41,63,0.651,52,109,161,45,13,25,43,100,235
29665,2022,4466,Alfonzo McKinnie,NA,SF,29,5,NBA,CHI,17,3,206,24,61,0.393,9,27,0.333,15,34,0.441,0.467,2,8,0.25,13,20,33,5,2,3,7,26,59
29666,2022,4583,Alize Johnson,NA,PF,25,4,NBA,TOT,23,0,167,17,39,0.436,0,4,0,17,35,0.486,0.436,7,12,0.583,28,33,61,9,5,0,12,18,41
29667,2022,4583,Alize Johnson,NA,PF,25,4,NBA,CHI,16,0,121,12,23,0.522,0,2,0,12,21,0.571,0.522,4,7,0.571,16,20,36,8,3,0,8,15,28
29668,2022,4583,Alize Johnson,NA,PF,25,4,NBA,WAS,3,0,18,2,6,0.333,0,2,0,2,4,0.5,0.333,0,1,0,5,7,12,0,0,0,3,0,4
29669,2022,4583,Alize Johnson,NA,PF,25,4,NBA,NOP,4,0,28,3,10,0.3,0,0,NA,3,10,0.3,0.3,3,4,0.75,7,6,13,1,2,0,1,3,9
29670,2022,4904,Alperen Şengün,NA,C,19,1,NBA,HOU,72,13,1489,249,525,0.474,29,117,0.248,220,408,0.539,0.502,165,232,0.711,138,255,393,185,59,68,145,214,692
