teamstatspk,TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,SEASON
0,Phoenix Suns,52,42,10,0.808,48.1,112.7,42.7,89.4,47.8,11.5,31.7,36.3,15.8,20.0,79.1,10.2,35.9,46.1,26.5,13.3,8.6,4.3,4.0,19.3,19.3,7.8,2020-21
1,Golden State Warriors,53,40,13,0.755,48.2,110.9,40.4,86.5,46.7,14.6,40.1,36.4,15.5,20.3,76.4,10.1,36.4,46.5,27.5,15.6,9.4,4.9,4.1,20.3,17.7,8.3,2020-21
2,Memphis Grizzlies,55,37,18,0.673,48.3,112.7,42.7,93.4,45.7,11.1,32.7,33.9,16.2,22.0,73.7,13.6,35.0,48.6,25.1,13.3,10.1,6.4,6.4,19.1,19.0,4.1,2020-21
3,Miami Heat,54,34,20,0.63,48.5,108.7,39.3,85.7,45.9,13.5,36.1,37.5,16.5,20.2,81.5,10.8,33.8,44.6,25.9,14.9,7.6,3.3,4.4,20.5,20.0,4.2,2020-21
4,Chicago Bulls,53,33,20,0.623,48.1,111.6,41.6,87.0,47.8,11.2,30.0,37.2,17.2,21.2,81.4,8.9,34.1,43.0,24.5,13.0,7.2,4.6,5.2,18.8,17.8,1.7,2020-21
5,Milwaukee Bucks,55,34,21,0.618,48.2,112.7,40.7,88.9,45.8,14.3,39.4,36.4,16.9,21.6,78.2,10.3,36.5,46.8,23.4,13.7,7.7,4.2,4.5,17.8,19.2,4.0,2020-21
6,Cleveland Cavaliers,54,33,21,0.611,48.0,106.5,39.5,85.1,46.4,11.8,33.7,35.1,15.7,20.9,75.1,10.4,34.9,45.3,25.5,14.9,7.2,4.3,4.5,17.0,19.2,4.4,2020-21
7,Philadelphia 76ers,53,32,21,0.604,48.4,107.8,39.6,85.1,46.6,11.0,30.9,35.8,17.5,21.7,80.9,8.4,33.7,42.1,23.2,12.5,7.6,5.7,4.6,19.1,18.9,2.2,2020-21
8,Utah Jazz,53,32,21,0.604,48.0,113.6,40.6,85.9,47.3,14.6,40.0,36.4,17.8,22.9,77.8,10.1,35.7,45.8,22.2,14.3,7.1,4.8,4.2,18.8,20.1,6.0,2020-21
9,Dallas Mavericks,54,31,23,0.574,48.3,106.2,39.1,86.4,45.3,12.3,36.8,33.5,15.6,20.2,77.0,9.5,34.3,43.8,24.0,12.6,7.1,4.1,3.9,19.7,19.9,2.7,2020-21
10,Toronto Raptors,51,28,23,0.549,48.5,108.2,40.1,91.1,44.0,12.4,34.9,35.5,15.6,20.7,75.7,13.2,31.8,45.0,22.2,12.8,9.2,4.9,5.1,19.8,18.9,1.3,2020-21
11,Brooklyn Nets,53,29,24,0.547,48.2,111.3,41.5,88.4,47.0,11.2,31.7,35.4,17.0,20.9,81.6,10.1,34.8,44.9,25.3,14.0,7.0,5.5,5.2,19.8,19.3,0.5,2020-21
12,Denver Nuggets,53,29,24,0.547,48.2,109.3,40.8,86.5,47.2,12.8,36.3,35.4,14.7,18.7,78.7,8.9,34.4,43.3,27.1,13.9,7.3,3.8,4.9,19.3,19.2,1.8,2020-21
13,Boston Celtics,55,30,25,0.545,48.7,108.1,39.4,87.6,45.0,12.4,36.4,34.0,16.9,20.7,81.7,10.8,35.7,46.5,23.3,14.2,7.3,5.9,4.7,18.7,19.2,4.1,2020-21
14,Minnesota Timberwolves,53,28,25,0.528,48.3,112.4,40.8,91.3,44.6,14.3,41.3,34.7,16.5,21.6,76.5,12.1,33.0,45.1,24.8,14.6,8.8,5.8,5.2,21.7,20.7,1.7,2020-21
15,Charlotte Hornets,54,28,26,0.519,48.4,113.6,42.1,91.9,45.9,13.9,38.2,36.3,15.4,20.9,73.6,10.7,33.8,44.5,26.9,13.2,8.7,4.9,4.7,19.5,19.5,-0.6,2020-21
16,LA Clippers,55,27,28,0.491,48.2,106.3,39.3,87.4,45.0,12.5,34.7,36.0,15.2,19.2,79.0,9.0,35.1,44.1,23.3,14.2,7.5,4.5,4.3,18.7,18.7,-1.1,2020-21
17,Los Angeles Lakers,54,26,28,0.481,48.8,110.9,41.4,89.3,46.4,12.0,34.5,34.8,16.2,22.2,72.9,9.6,35.3,44.9,24.1,14.7,8.1,5.6,4.0,20.2,20.0,-1.3,2020-21
18,Atlanta Hawks,53,25,28,0.472,48.0,111.5,40.8,87.5,46.6,12.4,33.3,37.3,17.5,21.8,80.3,9.8,34.6,44.4,24.2,12.3,6.8,4.3,4.5,18.3,20.2,0.1,2020-21
19,Washington Wizards,52,24,28,0.462,48.4,106.9,39.8,86.1,46.3,10.0,30.9,32.4,17.2,22.2,77.6,9.2,35.2,44.3,23.9,13.2,6.0,5.0,4.3,18.7,20.2,-2.8,2020-21
20,New York Knicks,53,24,29,0.453,48.3,104.4,37.4,85.7,43.6,13.0,36.6,35.5,16.5,22.2,74.7,11.1,34.7,45.8,21.4,13.6,6.9,4.9,4.7,19.7,19.5,-0.9,2020-21
21,New Orleans Pelicans,53,21,32,0.396,48.2,105.8,38.5,87.4,44.1,10.8,32.7,32.9,17.9,22.7,79.0,11.6,33.7,45.3,24.7,14.3,7.6,4.1,5.1,19.5,20.2,-3.5,2020-21
22,Portland Trail Blazers,54,21,33,0.389,48.1,107.8,39.0,86.9,44.9,13.5,38.1,35.5,16.4,21.5,76.0,10.1,33.6,43.7,22.7,13.9,7.6,4.7,4.5,20.0,19.7,-4.4,2020-21
23,San Antonio Spurs,54,20,34,0.37,48.3,111.5,43.3,93.1,46.6,11.1,31.5,35.4,13.7,18.6,73.8,11.2,34.4,45.6,27.9,12.7,7.7,5.2,5.3,17.9,18.3,0.0,2020-21
24,Sacramento Kings,55,20,35,0.364,48.3,109.5,40.5,89.2,45.4,11.7,34.1,34.3,16.7,22.2,75.5,10.4,33.5,43.8,23.2,14.0,7.3,4.7,5.2,19.2,19.0,-5.0,2020-21
25,Indiana Pacers,55,19,36,0.345,48.5,108.7,40.5,88.8,45.6,11.7,35.2,33.3,16.0,20.9,76.7,10.9,33.7,44.7,24.3,14.3,6.8,5.6,4.9,20.5,19.4,-2.1,2020-21
26,Oklahoma City Thunder,52,17,35,0.327,48.2,101.0,37.2,89.1,41.8,11.8,37.6,31.5,14.7,19.3,76.3,10.4,35.5,45.9,21.1,13.5,7.4,4.6,6.2,18.2,17.6,-6.4,2020-21
27,Houston Rockets,53,15,38,0.283,48.1,108.3,38.7,85.6,45.2,13.2,38.5,34.4,17.8,24.8,71.8,9.5,33.0,42.5,22.9,16.9,7.3,4.7,5.8,20.1,22.4,-8.7,2020-21
28,Detroit Pistons,53,12,41,0.226,48.2,102.5,37.1,88.2,42.0,11.2,35.0,32.1,17.1,21.9,77.7,10.6,32.1,42.7,22.4,14.6,7.8,4.9,5.2,21.5,20.1,-9.4,2020-21
29,Orlando Magic,55,12,43,0.218,48.1,102.9,37.8,87.4,43.2,11.7,35.9,32.6,15.7,19.9,78.7,9.1,34.3,43.3,23.0,14.6,6.7,4.7,5.4,20.0,18.5,-8.4,2020-21
30,Milwaukee Bucks,73,56,17,0.767,48.2,118.7,43.3,90.9,47.6,13.8,38.9,35.5,18.3,24.7,74.2,9.5,42.2,51.7,25.9,15.1,7.2,5.9,4.5,19.6,21.7,10.1,2019-20
31,Toronto Raptors,72,53,19,0.736,48.3,112.8,40.2,87.9,45.8,13.8,37.0,37.4,18.5,23.2,79.6,9.5,35.9,45.4,25.2,14.8,8.8,5.0,5.5,21.7,20.4,6.2,2019-20
32,Los Angeles Lakers,71,52,19,0.732,48.1,113.4,42.3,88.3,48.0,11.0,31.6,34.9,17.7,24.3,72.9,10.7,35.1,45.7,25.4,15.2,8.6,6.6,3.7,20.7,21.7,5.8,2019-20
33,LA Clippers,72,49,23,0.681,48.3,116.3,41.6,89.2,46.6,12.4,33.5,37.1,20.8,26.3,79.1,10.7,37.0,47.7,23.7,14.6,7.1,4.7,4.7,22.1,22.9,6.4,2019-20
34,Boston Celtics,72,48,24,0.667,48.4,113.7,41.3,89.6,46.1,12.6,34.5,36.4,18.6,23.2,80.1,10.7,35.4,46.1,23.0,13.8,8.3,5.6,5.5,21.6,20.7,6.3,2019-20
