Year,Rank,Team,Round
2018,1,DUKEDuke,4
2018,2,UVAVirginia,7
2018,3,UNCNorth Carolina,3
2018,4,GONZGonzaga,4
2018,5,MSUMichigan State,5
2018,6,TENNTennessee,3
2018,7,UKKentucky,4
2018,8,MICHMichigan,3
2018,9,TTUTexas Tech,6
2018,10,FSUFlorida State,3
2018,11,HOUHouston,3
2018,12,LSULSU,3
2018,13,PURPurdue,4
2018,14,AUBAuburn,5
2018,15,BUFFBuffalo,2
2018,16,VTVirginia Tech,3
2018,17,KUKansas,2
2018,18,KSUKansas State,1
2018,19,WOFWofford,2
2018,20,NEVNevada,1
2018,21,WISWisconsin,1
2018,22,CINCincinnati,1
2018,23,VILLVillanova,2
2018,24,ISUIowa State,1
2018,25,USUUtah State,1
2017,1,DUKEDuke,4
2017,2,MSUMichigan State,2
2017,3,ARIZArizona,1
2017,4,KUKansas,5
2017,5,UKKentucky,3
2017,6,VILLVillanova,7
2017,7,WICHWichita State,1
2017,8,FLAFlorida,2
2017,9,UNCNorth Carolina,2
2017,10,USCUSC,0
2017,11,WVUWest Virginia,3
2017,12,CINCincinnati,2
2017,13,MIAMiami,1
2017,14,NDNotre Dame,0
2017,15,MINNMinnesota,0
2017,16,LOULouisville,0
2017,17,XAVXavier,2
2017,18,GONZGonzaga,3
2017,19,NWNorthwestern,0
2017,20,PURPurdue,3
2017,21,UCLAUCLA,0
2017,22,SMCSaint Mary's,0
2017,23,HALLSeton Hall,2
2017,24,BAYBaylor,0
2017,25,TA&MTexas A&M,3
2016,1,VILLVillanova,2
2016,2,GONZGonzaga,6
2016,3,KUKansas,4
2016,4,ARIZArizona,3
2016,5,UNCNorth Carolina,7
2016,6,UKKentucky,4
2016,7,DUKEDuke,2
2016,8,UCLAUCLA,3
2016,9,OREOregon,5
2016,10,LOULouisville,2
2016,11,SMUSMU,1
2016,12,BAYBaylor,3
2016,13,WVUWest Virginia,3
2016,14,NDNotre Dame,2
2016,15,PURPurdue,3
2016,16,ISUIowa State,2
2016,17,FSUFlorida State,2
2016,18,CINCincinnati,2
2016,19,WICHWichita State,2
2016,20,FLAFlorida,4
2016,21,BUTButler,3
