Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,PF,21,MIA,28,2,408,6.4,10.8,.590,0.0,0.0,0,6.4,10.8,.590,3.3,5.8,.561,3.2,6.7,9.9,1.5,1.1,1.3,2.6,4.8,16.0
Jaylen Adams,PG,24,MIL,6,0,17,2.1,16.9,.125,0.0,4.2,.000,2.1,12.7,.167,0.0,0.0,0,0.0,6.4,6.4,4.2,0.0,0.0,0.0,2.1,4.2
Steven Adams,C,27,NOP,27,27,760,4.5,7.4,.603,0.0,0.0,.000,4.5,7.3,.606,1.4,2.9,.468,5.5,5.8,11.3,2.7,1.2,0.7,2.2,2.4,10.3
Bam Adebayo,C,23,MIA,26,26,873,7.9,13.8,.573,0.1,0.2,.400,7.8,13.6,.576,5.4,6.5,.841,2.1,7.8,9.9,5.7,1.0,1.1,3.2,2.8,21.4
LaMarcus Aldridge,C,35,SAS,18,18,480,8.0,16.9,.476,1.8,5.0,.358,6.2,11.8,.525,1.2,1.6,.762,1.1,4.7,5.9,2.6,0.5,1.2,1.2,2.0,19.0
Ty-Shon Alexander,SG,22,PHO,3,0,8,0.0,13.5,.000,0.0,4.5,.000,0.0,9.0,.000,0.0,0.0,0,0.0,4.5,4.5,4.5,0.0,0.0,0.0,4.5,0.0
Nickeil Alexander-Walker,SG,22,NOP,23,3,441,6.3,15.3,.410,2.0,7.1,.276,4.3,8.2,.525,2.0,2.6,.781,0.4,4.6,5.0,3.8,2.0,0.7,2.4,3.3,16.6
Grayson Allen,SG,25,MEM,19,8,454,4.8,11.1,.429,3.5,8.0,.436,1.3,3.1,.410,2.6,2.9,.892,0.6,3.8,4.4,3.1,1.5,0.2,1.6,1.9,15.6
Jarrett Allen,C,22,TOT,28,10,734,6.0,9.3,.642,0.0,0.2,.250,5.9,9.1,.651,4.9,6.5,.758,4.0,8.3,12.4,2.2,0.6,2.3,2.1,2.2,16.9
Jarrett Allen,C,22,BRK,12,5,320,5.0,7.3,.677,0.0,0.0,0,5.0,7.3,.677,5.2,6.9,.754,4.3,9.8,14.1,2.3,0.8,2.1,2.5,2.4,15.1
Jarrett Allen,C,22,CLE,16,5,414,6.8,10.9,.624,0.1,0.3,.250,6.7,10.5,.636,4.7,6.2,.761,3.8,7.2,11.0,2.2,0.5,2.3,1.8,2.0,18.3
Al-Farouq Aminu,PF,30,ORL,2,0,16,2.3,2.3,1.000,2.3,2.3,1.000,0.0,0.0,0,0.0,4.5,.000,2.3,6.8,9.0,4.5,0.0,0.0,4.5,0.0,6.8
Kyle Anderson,PF,27,MEM,24,24,675,6.4,13.7,.467,2.1,5.5,.388,4.3,8.2,.519,2.7,3.4,.781,1.2,6.8,8.0,4.9,1.4,1.0,1.8,2.3,17.6
Giannis Antetokounmpo,PF,26,MIL,27,27,906,11.1,19.7,.563,1.2,4.3,.290,9.9,15.5,.638,6.8,10.6,.642,1.9,10.4,12.2,6.2,1.4,1.4,3.9,3.3,30.2
Kostas Antetokounmpo,PF,23,LAL,1,0,8,0.0,9.0,.000,0.0,0.0,0,0.0,9.0,.000,0.0,0.0,0,0.0,18.0,18.0,0.0,0.0,9.0,9.0,4.5,0.0
Thanasis Antetokounmpo,SF,28,MIL,18,0,149,4.1,6.3,.654,0.5,1.7,.286,3.6,4.6,.789,1.0,1.7,.571,3.1,4.3,7.5,3.6,1.2,0.7,3.6,6.0,9.7
Carmelo Anthony,PF,36,POR,27,3,683,6.6,16.7,.396,2.4,6.4,.377,4.2,10.2,.407,3.4,4.0,.842,0.8,4.2,5.0,1.8,1.1,1.1,1.3,3.0,19.0
Cole Anthony,PG,20,ORL,25,17,667,5.5,14.5,.375,1.5,4.5,.325,4.0,10.0,.398,2.5,3.0,.836,1.1,4.9,6.0,5.1,0.9,0.6,2.8,2.8,14.8
OG Anunoby,SF,23,TOR,18,18,619,5.3,10.8,.489,2.6,5.9,.431,2.7,4.9,.560,2.1,2.8,.750,1.7,4.5,6.2,1.6,2.1,0.6,1.8,3.1,15.2
Ryan Arcidiacono,PG,26,CHI,11,0,107,3.0,8.1,.375,2.0,5.4,.375,1.0,2.7,.375,1.3,1.7,.800,0.3,7.1,7.4,5.7,1.0,0.0,0.7,3.4,9.4
D.J. Augustin,PG,33,MIL,27,0,480,3.4,10.3,.336,2.4,6.6,.364,1.0,3.7,.286,2.5,2.8,.895,0.8,1.6,2.5,6.1,1.0,0.1,1.6,1.4,11.8
Deni Avdija,SF,20,WAS,22,16,503,4.0,9.4,.424,1.9,5.4,.355,2.1,4.0,.518,0.8,1.4,.579,0.9,6.9,7.7,2.5,1.2,0.3,1.3,4.4,10.7
Deandre Ayton,C,22,PHO,27,27,866,6.8,11.6,.590,0.2,0.7,.250,6.7,10.9,.611,1.8,2.5,.721,4.1,9.6,13.7,2.0,0.3,1.1,2.4,3.8,15.6
Udoka Azubuike,C,21,UTA,12,0,49,2.9,5.1,.571,0.0,0.0,0,2.9,5.1,.571,2.9,4.4,.667,2.9,6.6,9.6,0.0,0.7,2.9,2.2,5.9,8.8
Dwayne Bacon,SG,25,ORL,29,20,721,5.9,13.9,.423,1.5,4.1,.373,4.3,9.8,.444,2.2,2.7,.800,0.6,3.9,4.5,1.5,1.1,0.1,1.0,2.4,15.5
Marvin Bagley III,PF,21,SAC,25,25,623,7.4,15.5,.476,1.5,4.0,.371,5.9,11.5,.513,2.1,4.2,.514,3.0,7.6,10.6,1.3,0.7,0.7,2.1,3.6,18.4
LaMelo Ball,PG,19,CHO,28,8,776,7.1,16.1,.437,2.4,6.7,.354,4.7,9.5,.495,2.6,3.2,.797,2.0,6.0,8.0,7.9,2.0,0.5,3.5,3.4,19.0
Lonzo Ball,PG,23,NOP,25,25,772,6.0,14.2,.424,3.4,8.8,.381,2.7,5.4,.496,0.9,1.3,.741,0.7,4.3,5.0,5.5,1.4,0.6,2.4,2.9,16.3
Mo Bamba,C,22,ORL,13,0,113,8.9,17.2,.519,1.3,4.8,.267,7.6,12.4,.615,1.0,1.6,.600,5.1,10.5,15.6,1.3,0.6,3.2,1.3,4.5,20.1
Desmond Bane,SG,22,MEM,20,2,456,5.9,12.2,.484,3.2,6.7,.482,2.7,5.5,.486,1.1,1.3,.824,0.7,3.5,4.2,2.5,1.0,0.2,1.8,2.9,16.2
