"Province","Number of Case","area","population","region","latitude","longitude"
"Adana","241","13,844","2,237,940","Akdeniz","37","35.321333"
"Adiyaman","32","7,337","626,465","Guney Dogu Anadolu","37.764751","38.278561"
"Afyonkarahisar","18","14,016","729,483","Ege","38.750714","30.556692"
"Agri","31","11,099","536,199","Dogu Anadolu","39.626922","43.021596"
"Aksaray","5","7,659","416,367","Ic Anadolu","38.36869","34.03698"
"Amasya","38","5,628","337,800","Karadeniz","40.64991","35.83532"
"Ankara","860","25,632","5,639,076","Ic Anadolu","39.92077","32.85411"
"Antalya","102","20,177","2,511,700","Akdeniz","36.88414","30.70563"
"Ardahan","5","4,934","97,319","Dogu Anadolu","41.110481","42.702171"
"Artvin","20","7,393","170,875","Karadeniz","41.18277","41.818292"
"Aydin","20","8,116","1,110,972","Ege","37.856041","27.841631"
"Balikesir","106","14,583","1,228,620","Marmara","39.648369","27.88261"
"Bartin","9","2,330","198,249","Karadeniz","41.581051","32.460979"
"Batman","9","4,477","608,659","Guney Dogu Anadolu","37.881168","41.13509"
"Bayburt","23","3,746","84,843","Karadeniz","40.255169","40.22488"
"Bilecik","16","4,179","219,427","Marmara","40.056656","30.066524"
"Bingol","10","8,004","279,812","Dogu Anadolu","39.062635","40.76961"
"Bitlis","22","8,294","348,115","Dogu Anadolu","38.393799","42.12318"
"Bolu","19","8,313","316,126","Karadeniz","40.575977","31.578809"
"Burdur","3","7,175","270,796","Akdeniz","37.461267","30.066524"
"Bursa","259","10,813","3,056,120","Marmara","40.266864","29.063448"
"Canakkale","30","9,817","542,157","Marmara","40.155312","26.41416"
"Cankiri","25","7,542","195,789","Ic Anadolu","40.601343","33.613421"
"Corum","35","12,428","530,864","Karadeniz","40.550556","34.955556"
"Denizli","86","12,134","1,037,208","Ege","37.77652","29.08639"
"Diyarbakir","46","15,168","1,756,353","Guney Dogu Anadolu","37.91441","40.230629"
"Duzce","32","2,492","392,166","Karadeniz","40.843849","31.15654"
"Edirne","91","6,145","413,903","Marmara","41.681808","26.562269"
"Elazig","12","9,383","591,098","Dogu Anadolu","38.680969","39.226398"
"Erzincan","15","11,815","234,747","Dogu Anadolu","39.75","39.5"
"Erzurum","78","25,006","762,062","Dogu Anadolu","39.9","41.27"
"Eskisehir","118","13,960","887,475","Ic Anadolu","39.776667","30.520556"
"Gaziantep","49","6,803","2,069,364","Guney Dogu Anadolu","37.06622","37.38332"
"Giresun","73","7,025","448,400","Karadeniz","40.912811","38.38953"
"Gumushane","12","6,668","164,521","Karadeniz","40.438588","39.508556"
"Hakkari","2","7,095","280,991","Dogu Anadolu","37.583333","43.733333"
"Hatay","32","5,524","1,628,894","Akdeniz","36.401849","36.34981"
"Igdir","26","3,664","199,442","Dogu Anadolu","39.887984","44.004836"
"Isparta","289","8,946","444,914","Akdeniz","37.764771","30.556561"
"Istanbul","12231","5,461","15,519,267","Marmara","41.00527","28.97696"
"Izmir","1105","11,891","4,367,251","Ege","38.41885","27.12872"
"Kahramanmaras","28","14,520","1,154,102","Akdeniz","37.585831","36.937149"
"Karabuk","20","4,142","248,458","Karadeniz","41.2061","32.62035"
"Karaman","14","8,678","253,279","Ic Anadolu","37.17593","33.228748"
"Kars","18","10,193","285,410","Dogu Anadolu","40.616667","43.1"
"Kastamonu","26","13,064","379,405","Karadeniz","41.38871","33.78273"
"Kayseri","130","16,970","1,407,409","Ic Anadolu","38.73122","35.478729"
"Kirikkale","23","4,791","283,017","Ic Anadolu","39.846821","33.515251"
"Kirklareli","49","6,459","361,836","Marmara","41.733333","27.216667"
"Kirsehir","7","6,584","242,938","Ic Anadolu","39.14249","34.17091"
"Kilis","17","1,412","142,490","Guney Dogu Anadolu","36.718399","37.12122"
"Kocaeli","500","3,397","1,953,035","Marmara","40.85327","29.88152"
"Konya","601","40,838","2,232,374","Ic Anadolu","37.866667","32.483333"
"Kutahya","5","11,634","579,257","Ege","39.416667","29.983333"
"Malatya","66","12,259","800,165","Dogu Anadolu","38.35519","38.30946"
"Manisa","100","13,339","1,440,611","Ege","38.619099","27.428921"
"Mardin","51","8,780","838,778","Guney Dogu Anadolu","37.321163","40.724477"
"Mersin","17","16,010","1,840,425","Akdeniz","36.8","34.633333"
