id,era,data_type,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,target
79637,era97,validation,0.54177,0.64267,0.54365,0.53625,0.43622,0.49010,0.59626,0.43330,0.27936,0.59308,0.46092,0.54357,0.46999,0.65848,0.61414,0.46340,0.51415,0.54882,0.54992,0.39919,0.33837,1
77605,era97,validation,0.46513,0.55879,0.61386,0.48131,0.39930,0.41525,0.54916,0.50796,0.30567,0.60046,0.40061,0.49994,0.39465,0.66286,0.58364,0.38549,0.59305,0.61357,0.52784,0.46704,0.37416,1
109353,era97,validation,0.57906,0.57836,0.55062,0.50582,0.42531,0.53203,0.61312,0.39767,0.35144,0.50209,0.44545,0.48268,0.48369,0.63943,0.56807,0.48388,0.50785,0.55630,0.55099,0.43983,0.43469,0
52332,era97,validation,0.49406,0.57476,0.59178,0.50592,0.44062,0.54272,0.55000,0.46094,0.25657,0.58279,0.44185,0.52410,0.43125,0.64981,0.64190,0.37122,0.56728,0.57653,0.61470,0.42992,0.36342,1
86969,era97,validation,0.59719,0.45569,0.55065,0.41892,0.45174,0.47165,0.56128,0.41783,0.48519,0.47754,0.43377,0.43311,0.48639,0.57764,0.45624,0.47852,0.51380,0.56741,0.52313,0.53296,0.55182,1
109365,era97,validation,0.56364,0.64025,0.48056,0.55464,0.51314,0.54065,0.48479,0.45843,0.38165,0.63536,0.50717,0.56165,0.52070,0.54444,0.46122,0.53484,0.46676,0.49596,0.42014,0.43724,0.35844,0
35495,era97,validation,0.45362,0.43990,0.67599,0.35050,0.34843,0.36173,0.59339,0.53200,0.35933,0.54351,0.32483,0.39422,0.34337,0.70015,0.55789,0.33710,0.64632,0.68865,0.55142,0.56587,0.50625,1
82022,era97,validation,0.52506,0.63593,0.51578,0.51086,0.49930,0.48471,0.51870,0.48306,0.28549,0.68330,0.49015,0.57891,0.47870,0.60853,0.56994,0.44698,0.50724,0.52755,0.52405,0.42393,0.32192,1
18111,era97,validation,0.52006,0.49208,0.56336,0.44994,0.45782,0.51277,0.46630,0.50867,0.46183,0.55219,0.41998,0.44215,0.45128,0.53958,0.38166,0.47568,0.54436,0.57898,0.38832,0.55889,0.50214,1
483,era97,validation,0.54934,0.34994,0.64394,0.35345,0.37328,0.32116,0.60701,0.43029,0.49790,0.42481,0.36154,0.38567,0.40533,0.64976,0.53155,0.37100,0.59991,0.64826,0.62922,0.56272,0.59548,0
150968,era97,validation,0.72093,0.71866,0.39106,0.63976,0.54348,0.42453,0.65362,0.25695,0.31867,0.57352,0.61827,0.69035,0.63345,0.61333,0.69122,0.57311,0.35429,0.39607,0.69401,0.24805,0.26812,1
146811,era97,validation,0.36831,0.47837,0.69069,0.41097,0.38246,0.57088,0.45661,0.61200,0.30597,0.59641,0.32788,0.39980,0.31997,0.62939,0.49102,0.31519,0.67783,0.68313,0.43874,0.58695,0.45965,0
63072,era97,validation,0.52148,0.65438,0.50423,0.50987,0.52673,0.64761,0.48554,0.49700,0.26338,0.68773,0.49652,0.55558,0.49287,0.57612,0.52836,0.46401,0.49672,0.51637,0.47769,0.44814,0.34298,0
11818,era97,validation,0.43734,0.64828,0.58368,0.51791,0.46166,0.57539,0.50167,0.53588,0.17929,0.69919,0.44633,0.55985,0.41158,0.64834,0.63154,0.36436,0.57742,0.57602,0.54102,0.42714,0.28465,0
110484,era97,validation,0.56140,0.71919,0.38134,0.61158,0.68161,0.73476,0.32121,0.49652,0.31006,0.79331,0.62806,0.68283,0.59556,0.41821,0.42660,0.53541,0.40299,0.38807,0.40057,0.40373,0.25868,0
63,era97,validation,0.48226,0.55015,0.59178,0.46961,0.44045,0.55177,0.51195,0.50690,0.31665,0.59119,0.41802,0.47900,0.42263,0.61450,0.53130,0.40481,0.57200,0.59241,0.50003,0.49675,0.41685,0
57784,era97,validation,0.48568,0.53975,0.61686,0.45424,0.39750,0.48163,0.57449,0.48742,0.30535,0.56105,0.39332,0.46494,0.40332,0.66756,0.58491,0.38850,0.58779,0.61813,0.54968,0.48479,0.42219,1
57135,era97,validation,0.50057,0.53450,0.56866,0.49521,0.46766,0.55708,0.46736,0.49578,0.37559,0.57742,0.44191,0.49106,0.44804,0.56245,0.47816,0.43125,0.55182,0.56560,0.46934,0.49988,0.42797,1
99871,era97,validation,0.53421,0.47810,0.52441,0.51105,0.53055,0.56763,0.36641,0.49158,0.50584,0.55810,0.48250,0.49824,0.49421,0.44833,0.34577,0.47664,0.51669,0.51993,0.39639,0.53719,0.47959,1
151799,era97,validation,0.52289,0.56166,0.57040,0.48202,0.44800,0.49406,0.55844,0.45570,0.30853,0.58196,0.44560,0.51503,0.44891,0.63710,0.59647,0.40747,0.54573,0.56953,0.58342,0.44939,0.39436,0
25575,era97,validation,0.47275,0.59446,0.55087,0.53341,0.48596,0.48851,0.44019,0.52742,0.32787,0.66696,0.46624,0.56055,0.44366,0.56634,0.50539,0.42391,0.54876,0.54848,0.45537,0.45801,0.33220,0
142585,era97,validation,0.46030,0.61255,0.56405,0.51080,0.48668,0.61391,0.45924,0.53323,0.25617,0.67110,0.45566,0.53632,0.43575,0.58982,0.54247,0.40073,0.55842,0.56009,0.48353,0.46545,0.34064,1
87723,era97,validation,0.40942,0.62962,0.51156,0.57124,0.58692,0.69257,0.23732,0.62755,0.37374,0.80162,0.50583,0.58933,0.45947,0.43331,0.34508,0.44762,0.54141,0.50650,0.28268,0.51026,0.29605,1
24876,era97,validation,0.51955,0.56693,0.52610,0.53729,0.50674,0.51266,0.43759,0.48599,0.38660,0.61764,0.48733,0.55183,0.48052,0.53110,0.47158,0.45642,0.51809,0.52312,0.46200,0.46300,0.37678,1
1896,era97,validation,0.45305,0.36929,0.69039,0.34025,0.33635,0.49094,0.52221,0.55473,0.48867,0.44597,0.28667,0.28951,0.34379,0.61310,0.36887,0.40012,0.65340,0.70563,0.38129,0.66749,0.63550,0
92883,era97,validation,0.62209,0.50185,0.50813,0.51586,0.47883,0.40036,0.53567,0.37941,0.49914,0.48808,0.49059,0.51875,0.52487,0.54683,0.47536,0.50976,0.47588,0.51256,0.53300,0.45542,0.46826,1
130731,era97,validation,0.63242,0.43440,0.58623,0.39560,0.37238,0.35895,0.69868,0.35070,0.47823,0.38731,0.39550,0.39970,0.46973,0.67415,0.55642,0.46910,0.52526,0.60450,0.62796,0.50370,0.58078,1
70990,era97,validation,0.48846,0.56534,0.58596,0.46272,0.43144,0.52781,0.53174,0.50974,0.31551,0.59840,0.41274,0.47489,0.42373,0.62646,0.52353,0.42448,0.56501,0.59554,0.47746,0.49814,0.41602,0
41118,era97,validation,0.56044,0.51319,0.51067,0.51535,0.50757,0.51469,0.42333,0.46765,0.52371,0.56040,0.47879,0.49944,0.50566,0.48364,0.35670,0.52103,0.49566,0.51927,0.38643,0.51701,0.46842,0
37746,era97,validation,0.29119,0.57452,0.75368,0.43283,0.32695,0.67251,0.53281,0.63062,0.08633,0.64469,0.29307,0.41572,0.25671,0.75461,0.68675,0.22252,0.73548,0.72844,0.54929,0.51856,0.34948,1
37794,era97,validation,0.40446,0.49354,0.70769,0.40092,0.33451,0.52636,0.58495,0.54204,0.24632,0.54306,0.31609,0.39599,0.31917,0.72320,0.62561,0.29697,0.67511,0.69822,0.57348,0.53339,0.45309,1
10458,era97,validation,0.37444,0.34094,0.75178,0.28906,0.32772,0.54839,0.49988,0.61468,0.39603,0.49264,0.25106,0.27356,0.28013,0.64940,0.43881,0.28620,0.72359,0.75393,0.45078,0.69413,0.62455,1
50020,era97,validation,0.50945,0.47648,0.55278,0.54722,0.50829,0.60159,0.35556,0.47990,0.53551,0.54633,0.46978,0.49629,0.47694,0.46085,0.37138,0.45824,0.54063,0.53170,0.42105,0.52019,0.46017,1
145682,era97,validation,0.58266,0.45477,0.57502,0.42165,0.41811,0.41567,0.59074,0.41700,0.46651,0.46589,0.41418,0.43140,0.46293,0.61312,0.49506,0.45842,0.53449,0.58850,0.54699,0.52002,0.53733,0
98316,era97,validation,0.45303,0.33037,0.73596,0.29832,0.27318,0.23971,0.63306,0.52268,0.45942,0.43493,0.25785,0.31206,0.30054,0.72343,0.52250,0.32122,0.69147,0.74906,0.55075,0.62351,0.60879,1
121688,era97,validation,0.53145,0.50532,0.56162,0.51188,0.48440,0.56442,0.47256,0.44534,0.38915,0.53200,0.46729,0.50792,0.47086,0.55093,0.51867,0.41365,0.53955,0.54393,0.55481,0.47361,0.43777,0
30226,era97,validation,0.52376,0.34136,0.62957,0.33998,0.40030,0.38087,0.51480,0.49957,0.55728,0.46015,0.35334,0.35480,0.40449,0.57460,0.37946,0.41518,0.59849,0.64741,0.46350,0.63505,0.63220,0
20760,era97,validation,0.49985,0.66234,0.48679,0.59701,0.55499,0.62232,0.38202,0.51101,0.33875,0.71263,0.52826,0.60834,0.50391,0.50349,0.46352,0.48428,0.49180,0.48287,0.40852,0.42679,0.28874,0
6065,era97,validation,0.63843,0.60288,0.44602,0.56204,0.54709,0.47627,0.51985,0.37150,0.41082,0.58394,0.55844,0.60343,0.57199,0.53566,0.52585,0.52809,0.42546,0.45202,0.55815,0.39006,0.37113,1
33513,era97,validation,0.47353,0.60575,0.58268,0.50459,0.42961,0.56317,0.51440,0.51140,0.33360,0.62866,0.41718,0.49139,0.42508,0.62697,0.52048,0.44362,0.56289,0.58836,0.45049,0.47711,0.37463,0
