Province / Territory,Political Affiliation,Seats
Alberta,Conservative,33
Alberta,NDP,1
British Columbia,Liberal,11
British Columbia,Conservative,17
British Columbia,NDP,11
British Columbia,Green Party,2
British Columbia,Independent,1
Manitoba,Liberal,4
Manitoba,Conservative,7
Manitoba,NDP,3
New Brunswick,Liberal,6
New Brunswick,Conservative,3
New Brunswick,Green Party,1
Newfoundland and Labrador,Liberal,6
Newfoundland and Labrador,NDP,1
Northwest Territories,Liberal,1
Nova Scotia,Liberal,10
Nova Scotia,Conservative,1
Nunavut,NDP,1
Ontario,Liberal,76
Ontario,Conservative,36
Ontario,NDP,6
Ontario,Independent,1
Prince Edward Island,Liberal,4
Quebec,Liberal,35
Quebec,Conservative,10
Quebec,Bloc Québécois,32
Quebec,NDP,1
Saskatchewan,Conservative,14
Yukon,Liberal,1
Ontario,Vacant,2
