DATE,TICKER,OPEN,HIGH,LOW,CLOSE,VOLUME,NFB
01/03/2018,^FINANCIAL,2229.14,2246.37,2228.92,2240.64,1557189,-25856
01/03/2018,AUB,59.8,60.0,59.7,60.0,21650,1219291
01/03/2018,BDO,163.5,163.8,160.1,161.0,3985920,-124962833
01/03/2018,BPI,108.1,110.5,108.0,110.0,1831800,133918183
01/03/2018,CHIB,33.25,33.3,33.25,33.3,85200,-579344
01/03/2018,EW,32.1,33.0,32.0,33.0,1964100,-20941300
01/03/2018,MBT,101.6,105.0,101.6,104.6,3764060,30600312
01/03/2018,PBB,11.98,12.6,11.72,12.6,322000,3402000
01/03/2018,PBC,24.0,24.25,24.0,24.25,1300,0
01/03/2018,PNB,56.5,57.5,56.5,57.15,48480,-1891024
01/03/2018,PTC,140.0,140.0,110.0,119.9,3290,0
01/03/2018,RCB,55.35,55.95,55.35,55.4,80690,-336951
01/03/2018,SECB,252.0,254.8,250.2,253.8,511580,-24023624
01/03/2018,UBP,87.0,87.0,86.65,86.8,8730,44689
01/03/2018,AGF,3.4,3.45,3.39,3.45,14000,0
01/03/2018,BKR,1.97,1.99,1.94,1.98,476000,0
01/03/2018,BLFI,3.83,3.83,3.83,3.83,12000,0
01/03/2018,COL,15.5,15.5,15.4,15.4,1800,0
01/03/2018,FAF,0.72,0.72,0.72,0.72,50000,0
01/03/2018,I,1.74,1.8,1.74,1.8,56000,-3480
01/03/2018,MED,0.6,0.6,0.58,0.58,269000,0
01/03/2018,NRCP,0.97,0.97,0.95,0.97,492000,0
01/03/2018,PSE,244.0,244.0,237.0,237.0,94950,-22208280
01/03/2018,SLF,2000.0,2000.0,1925.0,1925.0,35,0
01/03/2018,V,1.25,1.26,1.25,1.26,145000,-94250
01/03/2018,^INDUSTRIAL,11255.93,11334.09,11244.0,11299.38,1084003,132321
01/03/2018,ACR,1.35,1.35,1.33,1.34,122000,13400
01/03/2018,AP,41.6,41.6,41.1,41.45,1023300,13747700
01/03/2018,BSC,0.217,0.223,0.217,0.22,590000,0
01/03/2018,EDC,5.7,5.74,5.59,5.6,8593900,-25665068
01/03/2018,FGEN,17.0,17.08,16.86,16.92,896100,-162788
01/03/2018,FPH,62.0,63.3,62.0,62.55,35370,-1089452
01/03/2018,H2O,6.2,6.2,5.83,5.9,215400,0
01/03/2018,MER,328.6,330.0,328.2,330.0,597570,65189912
01/03/2018,MWC,28.5,28.5,27.4,27.4,3018600,9285335
01/03/2018,PCOR,9.21,9.33,9.17,9.23,4358700,1383478
01/03/2018,PERC,6.1,6.1,6.05,6.06,59100,0
01/03/2018,PHEN,1.58,1.63,1.58,1.63,1428000,0
01/03/2018,PNX,13.0,13.02,12.68,12.78,157100,0
01/03/2018,SHLPH,61.4,62.6,61.35,62.5,119610,1892875
01/03/2018,SPC,5.5,5.54,5.5,5.5,153600,27500
01/03/2018,VVT,23.05,23.05,23.05,23.05,100,0
01/03/2018,ANI,12.14,12.38,12.14,12.38,517700,255020
01/03/2018,BMM,139.3,139.3,139.1,139.1,140,0
01/03/2018,CAT,19.84,20.35,19.82,19.84,5700,0
01/03/2018,CNPF,16.22,16.22,15.96,16.0,324700,3359920
01/03/2018,DMPL,10.8,11.0,10.8,11.0,15000,8656
01/03/2018,DNL,11.06,11.2,11.06,11.1,1304700,1699556
01/03/2018,EMP,7.38,7.66,7.35,7.55,2716200,4946127
01/03/2018,FOOD,0.61,0.62,0.61,0.62,242000,0
01/03/2018,GSMI,26.85,26.85,26.4,26.6,234700,0
01/03/2018,JFC,253.4,256.8,253.0,255.4,745780,-6171952
01/03/2018,LFM,58.55,58.55,58.55,58.55,200,0
01/03/2018,MAXS,18.6,18.6,18.24,18.32,49900,331660
01/03/2018,MG,0.2,0.204,0.2,0.204,120000,24080
01/03/2018,PF,529.0,534.5,527.0,528.0,32260,-1274175
01/03/2018,PIP,2.21,2.21,2.18,2.18,5346000,844660
01/03/2018,PIZZA,13.46,13.52,13.36,13.4,199000,536378
01/03/2018,RCI,2.5,2.6,2.25,2.6,149000,0
01/03/2018,RFM,4.97,4.97,4.97,4.97,67000,273350
01/03/2018,ROX,4.03,4.03,4.0,4.0,36000,0
01/03/2018,SFI,0.133,0.133,0.131,0.131,3260000,3990
01/03/2018,URC,151.3,154.0,149.5,154.0,1149900,48892770
01/03/2018,VITA,1.95,1.96,1.92,1.93,1584000,198760
01/03/2018,VMC,2.85,2.85,2.85,2.85,33000,0
01/03/2018,ABG,17.36,17.88,17.28,17.38,15500,0
01/03/2018,CA,60.7,60.7,60.5,60.5,1060,0
01/03/2018,CAB,83.5,83.5,83.5,83.5,10,0
01/03/2018,CHP,4.87,4.98,4.85,4.86,2251000,1907719
01/03/2018,DAVIN,5.36,5.36,5.2,5.27,234300,0
01/03/2018,EAGLE,14.6,14.7,14.58,14.58,377300,1961062
01/03/2018,EEI,12.0,12.5,11.9,11.9,895700,4940998
01/03/2018,HLCM,10.78,10.78,10.62,10.62,134300,-935130
01/03/2018,MWIDE,18.1,18.1,17.88,17.9,2093600,7758936
01/03/2018,PHN,8.4,8.41,8.4,8.4,97000,0
01/03/2018,T,1.18,1.22,1.18,1.19,172000,0
01/03/2018,VUL,0.77,0.79,0.77,0.79,394000,0
01/03/2018,CIP,165.0,165.0,165.0,165.0,10,0
01/03/2018,CROWN,1.91,1.93,1.9,1.9,28000,9550
01/03/2018,EURO,1.66,1.66,1.66,1.66,2000,0
01/03/2018,LMG,4.15,4.15,4.15,4.15,12000,0
01/03/2018,MVC,3.2,3.2,3.2,3.2,3000,0
01/03/2018,PPC,6.5,6.76,6.5,6.75,81000,0
01/03/2018,CIC,63.2,64.0,63.0,63.0,427810,1093820
01/03/2018,IMI,18.7,18.7,18.2,18.34,570200,-2942874
01/03/2018,ION,2.23,2.23,2.07,2.11,3888000,171200
01/03/2018,PMPC,8.2,8.74,8.2,8.69,1400,0
01/03/2018,SSP,1.99,2.02,1.92,1.93,452000,-195770
01/03/2018,TECH,46.5,50.0,46.5,49.0,628500,0
01/03/2018,^HOLDING,8652.25,8878.51,8622.92,8870.39,1887928,43710
01/03/2018,ABA,0.315,0.315,0.3,0.3,130000,0
01/03/2018,AC,1015.0,1041.0,1015.0,1040.0,497855,-171889490
01/03/2018,AEV,74.15,74.7,73.9,74.5,738030,24615283
01/03/2018,AGI,16.0,16.5,16.0,16.42,12510900,-27093552
01/03/2018,ANS,7.05,7.05,7.03,7.04,14800,0
01/03/2018,APO,0.95,0.99,0.94,0.99,32000,0
01/03/2018,ATN,0.41,0.43,0.41,0.43,2370000,0
01/03/2018,ATNB,0.46,0.48,0.46,0.47,380000,0
01/03/2018,COSCO,7.7,7.7,7.6,7.64,477600,1323581
01/03/2018,DMC,14.6,14.64,14.04,14.14,6155400,-3519532
01/03/2018,FDC,7.8,7.8,7.7,7.7,77600,0
01/03/2018,GTCAP,1295.0,1297.0,1285.0,1293.0,152245,23093700
01/03/2018,HI,7.36,7.36,7.36,7.36,3600,0
01/03/2018,JGS,73.8,76.5,72.1,76.5,1535580,54290521
01/03/2018,JOH,5.88,5.88,5.76,5.76,17600,0
01/03/2018,KPH,5.4,5.4,5.4,5.4,5300,0
01/03/2018,LIHC,0.69,0.72,0.68,0.7,243000,48960
01/03/2018,LPZ,5.6,5.73,5.58,5.66,266300,708271
01/03/2018,LTG,18.74,19.02,18.74,18.74,697500,945096
01/03/2018,MHC,0.305,0.305,0.305,0.305,110000,0
01/03/2018,MJIC,3.32,3.32,3.31,3.31,9000,0
01/03/2018,MPI,6.88,6.91,6.77,6.78,21978400,-17204746
01/03/2018,PA,0.045,0.045,0.043,0.044,3500000,4400
01/03/2018,POPI,2.04,2.06,2.04,2.05,377000,0
01/03/2018,PRIM,1.13,1.13,1.11,1.13,77000,0
01/03/2018,REG,2.6,2.64,2.51,2.64,69000,0
01/03/2018,SGI,1.6,1.72,1.57,1.67,2410000,10140
01/03/2018,SM,990.0,1048.0,990.0,1040.0,436580,133306440
01/03/2018,SMC,111.6,114.8,111.6,114.8,410820,25075633
01/03/2018,SPM,2.64,2.64,2.59,2.6,43000,0
01/03/2018,TFHI,283.0,287.0,279.0,286.2,6510,11320
01/03/2018,UNI,0.22,0.22,0.217,0.217,470000,-19800
01/03/2018,WIN,0.191,0.191,0.191,0.191,20000,3820
01/03/2018,ZHI,0.205,0.205,0.205,0.205,10000,0
01/03/2018,^PROPERTY,3987.34,4068.5,3984.77,4068.5,1260235,202123
01/03/2018,ALCO,0.89,0.9,0.88,0.88,332000,0
01/03/2018,ALHI,12.6,13.0,12.6,12.98,35600,38862
01/03/2018,ALI,44.7,45.5,44.6,45.5,10030500,145655830
01/03/2018,ARA,2.29,2.38,2.29,2.3,25000,0
01/03/2018,BEL,3.89,3.89,3.79,3.84,1942000,2080540
01/03/2018,BRN,1.0,1.04,1.0,1.04,2872000,1300
01/03/2018,CDC,1.17,1.17,1.17,1.17,15000,4680
01/03/2018,CEI,0.23,0.233,0.228,0.229,11530000,229960
01/03/2018,CHI,5.8,5.82,5.43,5.82,54600,85790
01/03/2018,CLI,4.85,4.85,4.7,4.8,1200000,1384560
01/03/2018,CPG,0.49,0.49,0.48,0.48,9410000,202000
01/03/2018,CYBR,0.455,0.455,0.445,0.45,100000,0
01/03/2018,DD,40.0,41.3,39.7,39.75,347600,-323045
01/03/2018,ELI,0.65,0.65,0.64,0.64,449000,-177450
01/03/2018,EVER,0.147,0.147,0.138,0.147,160000,-7920
01/03/2018,FLI,1.88,1.93,1.88,1.89,18072000,18774830
01/03/2018,GERI,1.43,1.47,1.43,1.45,2358000,0
01/03/2018,HOUSE,6.72,6.73,6.65,6.7,1534300,-2218165
01/03/2018,IRC,0.77,0.77,0.75,0.75,25000,0
01/03/2018,KEP,5.0,5.0,4.98,4.98,2000,0
01/03/2018,MEG,5.19,5.33,5.16,5.28,33917400,-39430086
01/03/2018,MRC,0.335,0.35,0.335,0.34,32890000,45200
01/03/2018,PHES,0.355,0.355,0.35,0.35,1790000,0
01/03/2018,PRMX,5.89,5.89,5.56,5.72,377400,97247
01/03/2018,RLC,21.5,21.6,21.3,21.55,3942600,-64507345
01/03/2018,RLT,0.62,0.63,0.61,0.62,2325000,-54420
01/03/2018,ROCK,2.09,2.15,2.07,2.11,1017000,0
01/03/2018,SHNG,3.2,3.2,3.13,3.13,46000,0
01/03/2018,SLI,1.03,1.03,1.02,1.02,746000,0
01/03/2018,SMPH,37.55,38.85,37.5,38.75,9978000,142043265
01/03/2018,STR,8.8,9.35,8.8,9.3,17000,0
01/03/2018,SUN,0.86,0.86,0.85,0.85,52000,0
01/03/2018,TFC,33.5,33.5,33.5,33.5,1000,0
01/03/2018,VLL,5.98,6.0,5.94,5.98,699100,-1802368
01/03/2018,^SERVICE,1630.81,1637.24,1627.3,1636.78,1261350,154086
01/03/2018,ABS,35.0,35.1,34.9,35.0,30100,0
01/03/2018,GMA7,5.85,5.9,5.84,5.88,188000,0
01/03/2018,MB,0.58,0.58,0.58,0.58,4000,0
01/03/2018,GLO,1900.0,1900.0,1860.0,1875.0,22170,1029575
01/03/2018,TEL,1500.0,1515.0,1495.0,1497.0,99810,70933250
01/03/2018,APL,0.042,0.042,0.041,0.041,44800000,96600
01/03/2018,DFNN,7.01,7.01,7.01,7.01,1000,0
01/03/2018,IMP,2.64,2.64,2.62,2.64,32000,0
01/03/2018,IS,0.141,0.141,0.14,0.141,1780000,0
01/03/2018,ISM,1.38,1.41,1.37,1.41,200000,0
01/03/2018,JAS,3.07,3.15,3.07,3.15,37000,0
01/03/2018,NOW,2.82,2.93,2.8,2.85,4141000,0
01/03/2018,TBGI,2.67,2.85,2.64,2.75,725000,119700
01/03/2018,WEB,7.73,7.73,7.58,7.71,791700,-157220
01/03/2018,2GO,18.48,19.2,18.48,18.98,48500,-25948
01/03/2018,ATI,11.86,11.86,11.8,11.8,6000,0
01/03/2018,CEB,99.95,100.0,99.8,99.95,145120,2406554
01/03/2018,CLC,8.78,8.8,8.65,8.68,987100,764086
01/03/2018,ICT,106.5,108.3,105.5,108.0,1154010,1886622
01/03/2018,LBC,16.8,16.8,15.12,16.48,14200,7900
01/03/2018,LSC,1.2,1.2,1.17,1.18,210000,0
01/03/2018,MAC,22.9,23.2,22.4,22.55,1251900,-3185120
01/03/2018,TUGS,4.55,4.71,4.53,4.69,5199000,365080
01/03/2018,ACE,1.41,1.41,1.36,1.39,222000,0
01/03/2018,BHI,0.07,0.07200000000000001,0.07,0.071,3960000,-35000
