City Name,Population
Agra,1430055
Ahmedabad,3719710
Aligarh,753207
Allahabad,1073438
Amravati,603837
Amritsar,1092450
Aurangabad,1016441
Bareilly,745435
Bengaluru,5104047
Bhilai,625138
Bhiwandi,707035
Bhopal,1599914
Bhubaneshwar,762243
Borivli,609617
Chandigarh,960787
Chennai,4328063
Cochin,604696
Coimbatore,959823
Delhi,10927986
Dombivli,1193000
Faridabad,1220229
Ghaziabad,1199191
Gorakhpur,1324570
Gorakhpur,674246
Guwahati,899094
Gwalior,882458
Haora,1027672
Hubli,840214
Hyderabad,3597816
Indore,1837041
Jabalpur,1030168
Jaipur,2711758
Jalandhar,785178
Jamshedpur,616338
Jodhpur,921476
Kalyan,1262255
Kanpur,2823249
Kolkata,4631392
Kota,763088
Lucknow,2472011
Ludhiana,1545368
Madurai,909908
Meerut,1223184
Moradabad,721139
Mumbai,12691836
Mysore,868313
Nagpur,2228018
Nashik,1289497
Navi Mumbai,2600000
Nowrangapur,1220946
Patna,1599920
Pimpri,1284606
Pune,2935744
Raipur,679995
Rajkot,1177362
Ranchi,846454
Salem,778396
Shivaji Nagar,1000000
Solapur,997281
Srinagar,975857
Surat,2894504
Teni,1034724
Thane,1261517
Thiruvananthapuram,784153
Tiruchirappalli,775484
Tirunelveli,1435844
Vadodara,1409476
Varanasi,1164404
Vijayawada,874587
Visakhapatnam,1063178
