Team,Player,Filter,Matches,Runs,Highest,Average,Strike Rate
India,Rohit Sharma,vs Pakistan,8,70,30,14,127.27
India,Rohit Sharma,vs Afghanistan,2,75,74,75,156.25
India,Rohit Sharma,vs Sri Lanka,18,339,118,21.18,138.93
India,Rohit Sharma,vs Bangladesh,11,452,89,41.09,144.4
India,Rohit Sharma,year 2022,13,290,64,24.16,140.09
India,KL Rahul,vs Pakistan,1,3,3,3,37.5
India,KL Rahul,vs Afghanistan,1,69,69,69,143.75
India,KL Rahul,vs Sri Lanka,8,295,89,42.14,141.14
India,KL Rahul,vs Bangladesh,5,99,52,33,128.57
India,Virat Kohli,vs Pakistan,7,311,78,77.75,118.25
India,Virat Kohli,vs Afghanistan,2,50,50,50,128.2
India,Virat Kohli,vs Sri Lanka,7,339,82,84.75,140.6
India,Virat Kohli,vs Bangladesh,4,129,57,64.5,113.15
India,Virat Kohli,year 2022,4,81,52,20.25,128.57
India,Suryakumar Yadav,vs Pakistan,1,11,11,11,137.5
India,Suryakumar Yadav,vs Sri Lanka,1,50,50,50,147.05
India,Suryakumar Yadav,year 2022,12,428,117,38.9,189.38
India,Rishabh Pant,vs Pakistan,1,39,39,39,130
India,Rishabh Pant,vs Afghanistan,1,27,27,,207.6
India,Rishabh Pant,vs Sri Lanka,3,24,23,24,100
India,Rishabh Pant,vs Bangladesh,4,40,27,13.33,93.02
India,Rishabh Pant,year 2022,13,260,52,26,135.51
India,Deepak Hooda,vs Sri Lanka,3,21,21,21,131.25
India,Deepak Hooda,year 2022,9,274,104,54.8,161.17
India,Dinesh Karthik,vs Pakistan,1,11,11,11,122.2
India,Dinesh Karthik,vs Sri Lanka,7,92,39,92,158.6
India,Dinesh Karthik,vs Bangladesh,3,33,29,,275
India,Hardik Pandya,vs Pakistan,3,11,11,5.5,110
India,Hardik Pandya,vs Afghanistan,1,35,35,,269.23
India,Hardik Pandya,vs Sri Lanka,8,55,27,9.16,134.14
India,Hardik Pandya,vs Bangladesh,3,46,31,23,184
India,Hardik Pandya,year 2022,13,281,51,31.22,139.8
India,Ravindra Jadeja,vs Pakistan,5,15,13,7.5,88.23
India,Ravindra Jadeja,vs Sri Lanka,10,82,45,41,151.85
India,Ravindra Jadeja,vs Bangladesh,4,12,12,12,150
India,Ravindra Jadeja,year 2022,7,166,46,55.33,146.9
India,R Ashwin,vs Sri Lanka,6,31,31,,129.1
India,R Ashwin,vs Bangladesh,4,5,5,,250
India,R Ashwin,year 2022,3,23,13,23,143.75
Pakistan,Babar Azam,vs India,1,68,68,,130.76
Pakistan,Babar Azam,vs Afghanistan,1,51,51,51,108.5
Pakistan,Babar Azam,vs Sri Lanka,6,79,34,15.8,84.94
Pakistan,Babar Azam,vs Bangladesh,5,93,66,23.25,108.13
Pakistan,Babar Azam,year 2022,1,66,66,66,143.47
Pakistan,Shadab Khan,vs Sri Lanka,6,22,16,11,137.5
Pakistan,Shadab Khan,vs Bangladesh,4,21,21,,210
Pakistan,Asif Ali,vs Afghanistan,1,25,25,,357.14
Pakistan,Asif Ali,vs Sri Lanka,3,36,29,12,92.3
Pakistan,Asif Ali,year 2022,1,3,3,3,60
Pakistan,Fakhar Zaman,vs Afghanistan,1,30,30,30,120
Pakistan,Fakhar Zaman,vs Sri Lanka,5,54,31,10.8,103.8
Pakistan,Fakhar Zaman,vs Bangladesh,2,91,57,91,104.59
Pakistan,Fakhar Zaman,year 2022,1,0,0,0,0
Pakistan,Haider Ali,vs Bangladesh,3,51,45,25.5,104.08
Pakistan,Iftikhar Ahmed,vs Sri Lanka,2,60,32,,142.85
