f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,y
9206,8840,1654,2116,1589,776,3930,1533,1379,1019,9592,8840,2060,2104,1568,782,3916,1546,1379,991,13990,13350,2997,2970,2177,1232,5843,2152,1990,1701,14497,13350,3702,2969,2172,1238,5809,2170,1990,1649,10509,1250037
10732,10305,1850,2549,1951,928,4600,1831,1653,1116,11194,10305,2317,2524,1915,931,4571,1841,1653,1078,15349,14599,3075,3368,2494,1348,6438,2423,2281,1733,15871,14599,3851,3354,2475,1352,6391,2438,2281,1671,8970,1396410
12527,11881,2194,2922,2241,1114,5258,2095,1928,1235,12986,11881,2753,2871,2189,1107,5214,2089,1928,1197,17095,15995,3340,3685,2756,1495,7081,2684,2556,1840,17545,15995,4218,3651,2720,1492,7009,2690,2556,1762,13397,1575266
13961,13688,2376,3271,2486,1250,6386,2378,2369,1639,14397,13688,2973,3179,2417,1234,6347,2351,2369,1627,17445,16918,3252,3817,2847,1512,7849,2842,2858,2149,17814,16918,4062,3767,2800,1501,7876,2836,2858,2181,14260,1473846
16292,15825,2747,3752,2856,1424,7421,2723,2707,1991,16708,15825,3433,3658,2765,1406,7371,2685,2707,1979,18930,18216,3264,4227,3209,1649,8644,3171,3117,2357,19277,18216,4008,4170,3152,1634,8609,3145,3117,2347,16000,1638161
19607,18685,3382,4376,3324,1624,8710,3228,3268,2214,20095,18685,4303,4272,3207,1605,8578,3180,3268,2130,20935,19801,3587,4605,3509,1753,9400,3525,3455,2421,21338,19801,4513,4531,3438,1737,9245,3483,3455,2307,18774,1796240
22145,20912,3886,4644,3498,1990,9620,3576,3431,2613,22449,20912,5055,4485,3347,1971,9400,3516,3431,2454,21876,20739,3831,4577,3443,1972,9530,3541,3403,2585,22251,20739,5010,4451,3337,1957,9321,3490,3403,2428,23830,1968477
25144,23569,4229,5217,3964,2137,11106,4199,4005,2902,25484,23569,5576,5027,3778,2120,10846,4126,4005,2716,23157,21775,3810,4865,3713,1956,10352,3895,3780,2677,23448,21775,5060,4686,3558,1941,10088,3832,3780,2476,28426,2012790
28622,27061,5066,5808,4385,2334,12702,4888,4593,3221,29211,27061,6701,5557,4162,2317,12486,4809,4593,3084,24791,23149,4080,5150,3977,2000,11102,4259,4098,2745,24980,23149,5394,4912,3772,1985,10859,4180,4098,2581,31302,2152989
31531,29404,5236,6167,4613,2435,14383,5272,5208,3902,31849,29404,6889,5786,4352,2423,14305,5147,5208,3950,26518,24570,4011,5434,4157,2079,12200,4519,4595,3086,26459,24570,5229,5117,3898,2066,12158,4407,4595,3157,34460,2319088
34794,32030,5563,6968,5292,2484,15811,5778,5785,4249,34749,32030,7206,6519,4990,2484,15820,5608,5785,4427,28697,26395,4012,6207,4798,2177,13290,4995,5073,3222,28400,26395,5111,5829,4492,2167,13288,4846,5073,3369,37350,2408140
38526,35179,6190,7688,5854,2594,17332,6345,6091,4896,38503,35179,7992,7225,5532,2611,17351,6152,6091,5108,30706,28214,4333,6739,5171,2229,14180,5372,5217,3592,30321,28214,5495,6341,4855,2227,14150,5207,5217,3727,42917,2641323
