place_id,name,latitude,longitude,rating,number_of_reviews,affluence,address
ChIJx1i4PyCtqjARq5eQI4YeUFE,"Jamal Store, Joykul Bazaar",22.604275,90.09471830000001,0,,,"Unnamed Road, Kawkhali, Bangladesh"
ChIJjyA9oZytqjAR6apb48G7hSY,Salma Varaitis Store,22.6191581,90.10559450000001,5,1.0,,"Kawkhali bowlakanda, কাউখালি, Bangladesh"
ChIJFYwq-zkLADoRf_tn0mu_rOQ,হাজী বিরিয়ানি হাউজ,22.2890455,89.9585086,5,1.0,,"Charkhali - Mathbaria – Patharghata Rd, Mathbaria, Bangladesh"
ChIJPYyqnw8LADoRycl3-GrLje0,নিউ মুসলিম সুইটস এণ্ড বেকারি,22.2887099,89.9584821,5,4.0,,"সদর রোড, Mathbaria, Bangladesh"
ChIJXU_rTB8LADoRYdOJ2LC_Vo4,মেসার্স সততা হোটেল এন্ড রেস্টুরেন্ট,22.2867843,89.9581163,0,,,"7XP5+P69, Mathbaria, Bangladesh"
ChIJl5juNccLADoR3BsWokNpaqI,Sharif food fair,22.2898658,89.95911839999999,5,2.0,,"7XQ5+WJX, Mathbaria, Bangladesh"
ChIJp86_kSELADoRScVyhurEYd0,সোহেল রানা কাটোল ফাম,22.2934922,89.9623161,5,1.0,,"College Rd, Mathbaria, Bangladesh"
ChIJSXAxQMULADoRZEC5ZZ-H6eE,মেসার্স সৌখিন ষ্টীল এন্ড পার্টেক্স ফার্নিচার,22.2859839,89.95733,0,,,"7XP4+9WW, Mathbaria, Bangladesh"
ChIJifhq1nkLADoR0H35zX9LbAE,বাইতুস সালাম ইসলামিয়া মাদ্রাসা,22.2923938,89.96559300000001,4.5,2.0,,"Sabujnajar Rd, Mathbaria, Bangladesh"
ChIJy-BJw8QLADoRij4gTsZ8b2w,গৌরি হিন্দু হোটেল,22.2868867,89.9573051,0,,,"Sadar Road, Mathbaria, Bangladesh"
ChIJLZMJsdcLADoR78VpgSaIn40,মোঃরাছেল স্টোর,22.2920033,89.95804649999999,5,1.0,,"7XR5+R63, Mathbaria, Bangladesh"
ChIJt_UWBRYLADoRqifcKsEhxz0,Food Club The Caterer's,22.287912,89.95860949999999,4.5,8.0,,"Super Market Rd, Mathbaria, Bangladesh"
ChIJJwuMBKoLADoRcGUOid7tMUg,ক্যাফে আড্ডা মঠবাড়িয়া,22.2866676,89.9583631,3.9,165.0,2.0,"7XP5+M89, Mathbaria, Bangladesh"
ChIJWeoUewMLADoRccKHZc-7SBE,New Muslim Sweets & bekare,22.2887179,89.9587368,5,3.0,,"7XQ5+FFQ, Mathbaria, Bangladesh"
ChIJ8ZE0y4ULADoRucTSTkVj4-I,মোঘল,22.2868615,89.9581927,4.3,3.0,,"Super Market Rd, Mathbaria, Bangladesh"
ChIJV5cvokgLADoRaAN5XIRK-zM,Star Kebab Plus,22.2914553,89.9591848,4,9.0,,"7XR5+HMM, Mathbaria, Bangladesh"
ChIJMd8JYb0LADoRUWHuiNFK2JA,"পুরাতন জিন্দেগী হোটেল, মঠবাড়িয়া",22.2882148,89.9583634,5,3.0,,"376 Charkhali - Mathbaria – Patharghata Rd, Mathbaria, Bangladesh"
ChIJrYmF96kLADoRmV2az8t2cwE,Afzal Hotel,22.2867681,89.95792899999999,4,19.0,,"7XP5+P53, Mathbaria, Bangladesh"
ChIJbyuiXo8LADoRMmqTOyNzSN4,Gazi Hotel And Restaurant,22.287545,89.9598745,4.3,3.0,,"7XQ5+2W9, Mathbaria, Bangladesh"
ChIJc54E-roLADoRW2CmXU2vnNE,Ruposi Bangla hotel & Restaurant,22.2875183,89.95980369999999,5,1.0,,"1 Sabujnajar Rd, Mathbaria 8560, Bangladesh"
ChIJ84dwtWb9_zkRQvgbrrra8ms,সুমাইয়া স্টোর,22.7854173,89.97449949999999,3,1.0,,"Gholarhat, Bangladesh"
ChIJQ7sIqij9_zkRSkvhhE8AEZk,Friend Coffee Zone,22.7867163,89.98134450000001,0,,,"QXPJ+MGQ, Malikhali Union, Bangladesh"
ChIJKU9C4gZXVTcRVyzgXB4xp8o,Nimai Store,22.7809501,90.0027338,0,,,"Q2J3+93Q, Daulbari Dobra Union, Bangladesh"
ChIJc90lzZJXVTcR1BUz-NAFiVE,প্রাণকেন্দ্র (পরিমল দার গুগলী টি স্টল),22.7787105,90.0018942,5,4.0,,"Dirgha Batiakatha Rd, Daulbari Dobra Union 8541, Bangladesh"
ChIJOaQjUC5RVTcRcgbZ8x5sbDY,Toma Traders,22.7419722,90.1026997,4.9,13.0,,"College road, Swarupkathi 8520, Bangladesh"
ChIJf12H-mVRVTcRIsqnZVkaosQ,রাকিব টি ষ্টোর,22.7579266,90.113214,0,,,"Q457+57G, Swarupkathi, Bangladesh"
ChIJmWoUJ7RRVTcROPITMTE8k4s,ঘরোয়া (স্বরূপকাঠী),22.7452279,90.0989239,5,1.0,,"রোড, Swarupkathi, Bangladesh"
ChIJt8JEYjFRVTcR0_feNy7BevY,হাসান টি শপ,22.7577924,90.11304269999999,1,1.0,,"Q457+467, Swarupkathi, Bangladesh"
ChIJZQBCC8ZRVTcRoU9Xbqhc3Aw,Nayem Restaurant,22.7474576,90.10270179999999,3,2.0,,"P4W3+X3P, Swarupkathi, Bangladesh"
ChIJh0QbuMNRVTcRRzoNblaFZVo,নুরে ছারছীনার স্টোর,22.754043,90.10291050000001,1,1.0,,"ছারছীনা, স্বরুপকাঠি - বরিশাল রোড, স্বরূপকাঠী, Bangladesh"
ChIJR6ppFA5RVTcR7vhuJ_FPWME,Touhid Tea Store,22.7461726,90.10369419999999,4.1,37.0,1.0,"Swarupkathi Bridge, Swarupkathi, Bangladesh"
ChIJy90yVQBRVTcRpwzIt4UgKTY,"দুলাল চটপটি,ফুসকা ও হালিম হাউস।",22.7461074,90.1035967,5,1.0,,"Unnamed Road, Swarupkathi, Bangladesh"
ChIJGX6ZKZBRVTcRYfboQKOl5y8,মান্নু টি কর্নার,22.7595411,90.11426949999999,0,,,"Q457+RP6, Swarupkathi, Bangladesh"
ChIJWaq3g6dRVTcRNDMW0yIj_CU,নেছারীয়া রেস্টুরেন্ট,22.7468278,90.10208689999999,5,1.0,,"Sadar Road, Swarupkathi, Bangladesh"
ChIJz5eecMFRVTcR99KEUIr1EWo,ছারছীনা লিল্লাহ বোডিং,22.7544734,90.10355819999999,5,1.0,,"Q433+QCM, Swarupkathi, Bangladesh"
ChIJI2HBfaRRVTcRD8tcpqVsMLE,Cafe Treats ক্যাফে ট্রিট্স,22.7457041,90.10353459999999,4.6,5.0,,"Unnamed Road, Swarupkathi, Bangladesh"
ChIJpV1VMLpRVTcRprC7LUinKdc,ছারছীনা মুসাফিরখানা,22.756095,90.10373659999999,0,,,"Q443+CFQ, Swarupkathi, Bangladesh"
ChIJqSI6Xw5RVTcR4ntFI8gKpJE,ছারছীনা মাহফিলের খাবার মাঠ,22.7578281,90.1036441,5,1.0,,"Q453+4FJ, Swarupkathi, Bangladesh"
ChIJdeyEv9xRVTcR2EDFz5xPUxI,ঢাকা বিরায়ানি হাউজ,22.7456317,90.1030767,5,2.0,,"P4W3+66V, Swarupkathi, Bangladesh"
ChIJ30dXwqRRVTcR5fHomS-Gm-I,Kobita Fast Food,22.7359384,90.10929469999999,5,1.0,,"P4P5+9PF, Swarupkathi, Bangladesh"
ChIJE9wHZ4dRVTcRwfguhtsnSl0,Rajmoni Chotpoti & Fuchka রাজমনি চটপটি এন্ড ফুচকা,22.7460469,90.0990877,5,1.0,,"Bus Station, Pirojpur - Swarupkathi Rd, Swarupkathi, Bangladesh"
ChIJH90OJSRRVTcRrF5xT5D17Tg,Moharaj Hotel মহারাজ হোটেল,22.7457774,90.0985137,0,,,"P3WX+8C6, Swarupkathi, Bangladesh"
ChIJc-FnJadRVTcRpr5lKhhoTVY,Inayat Restaurants,22.745757,90.1139,4.2,23.0,,"Swarupkathi - Barisal Rd, Swarupkathi, Bangladesh"
ChIJ66u1kUBRVTcRRx32l3rs1eY,ভাতের হোটেল,22.7457898,90.09863089999999,0,,,"P3WX+8C5, Swarupkathi, Bangladesh"
ChIJN6XeCixRVTcRwW37Tk47WEM,জাকির ভাই’র চটপটি,22.746789,90.10293540000001,5,2.0,,"Unnamed Road, Swarupkathi, Bangladesh"
ChIJEza2-1ZRVTcR9F0TPqxI4iw,Emam's Restaurant,22.7424896,90.13035499999999,3,2.0,,"P4RJ+X4X, Swarupkathi, Bangladesh"
ChIJpW3jIGRRVTcRAolMVl-egiQ,আক্কাস রেস্টুরেন্টে,22.7453971,90.0988431,5,3.0,,"P3WX+5G4, Swarupkathi, Bangladesh"
ChIJ11O7-vFRVTcRW6zdsMQcO1A,ছারছীনা মাদরাসা ক্যান্টিন ২ - Sarsina Madrasah Canteen 2,22.7553255,90.10045509999999,5,1.0,,"Sarsina Darbar Sharif, Swarupkathi, Bangladesh"
ChIJVzhkNwFRVTcRtS5RHhvyi5M,patal Market,22.759863,90.124895,0,,,"Q45F+WXR, Swarupkathi, Bangladesh"
ChIJdUcwlUNRVTcRwuvSy5qsPTA,ছারছীনা মাদরাসা ক্যান্টিন - Sarsina Madrasah Canteen,22.7538109,90.1036225,0,,,"Q433+GCH, Swarupkathi, Bangladesh"
ChIJs5tTgztRVTcRKnxciCx0JDY,নুরে আলম নিরব বিরানী হাউজ,22.7499114,90.0982621,5,5.0,,"Swarupkathi - Barisal Rd, Swarupkathi, Bangladesh"
ChIJz-njQC1RVTcR2QnUs78ruxI,Jamai Tea Stall,22.7425919,90.1100046,3,1.0,,"Balibari,Jagannathkati, Swarupkathi, Bangladesh"
ChIJpVDeAtRRVTcR4J3RULdlDL4,Sheikh Ruqaiya,22.7642843,90.1177386,0,,,"Q479+P39, Swarupkathi, Bangladesh"
ChIJM9rHHuRRVTcRfz4IhdWoWMs,Sokal Shondha Sweetmeat সকাল সন্ধ্যা সুইটমিট,22.7463025,90.1035055,5,1.0,,"Unnamed Road, Swarupkathi, Bangladesh"
ChIJq9CkMOJRVTcRmSfmq2dhcj8,Picnic Park,22.7458343,90.0983009,3.7,3.0,,"Ferrighat road, Swarupkathi, Bangladesh"
ChIJ9TaTqwRRVTcR0_AufODBo54,সিফাত স্টোর,22.744967,90.0988096,3,1.0,,"স্বরুপকাঠী, উপজেলা রোড, স্বরূপকাঠী, Bangladesh"
ChIJg_8GRhtRVTcRmSXWhxDXOMo,JAHID TEA STORE,22.754913,90.09971399999999,2.5,2.0,,"Road, Swarupkathi, Bangladesh"
ChIJl8SvB91RVTcR6tTaFIuslOs,Akalam fakir Bari road,22.7497554,90.1101975,5,3.0,,"Unnamed Road, Swarupkathi, Bangladesh"
ChIJqXHsM9RRVTcRwwUQVDfu7mQ,kayum tea store,22.7307265,90.09620009999999,5,1.0,,"Pirojpur - Swarupkathi Rd, Sarengkathi Union, Bangladesh"
ChIJMScmEWABADoRIeueIJRfphg,Street Food Pirojpur (স্ট্রিট ফুড পিরোজপুর),22.5790807,89.9686165,4.7,10.0,,"HXH9+JCQ, Pirojpur Pourashava, Bangladesh"
ChIJlZjMCVoBADoRYMbGTc_kR_I,Sormi Fuska House,22.5804429,89.968873,4.3,26.0,,"HXJ9+5GH, Pirojpur Pourashava, Bangladesh"
ChIJAdQE_kIBADoRQk1fqEGhi8k,ফারুক মামা হোটেল এন্ড নিহারি হাউজ,22.5794086,89.9801037,5,2.0,,"C-Office Bridge, Pirojpur Pourashava, Bangladesh"
ChIJt9UhH8QBADoR7vLUYGlvqH0,রূপসী বাংলা রেস্তোরাঁ,22.5789962,89.96879620000001,4,1.0,,"Near Sonali Bank, Post Office Rd, পিরোজপুর, Bangladesh"
ChIJgc7uXh8BADoRa6k8b74QwCg,ঐশী মিষ্টান্ন ভান্ডার,22.5799101,89.96958909999999,0,,,"HXH9+XR8, Pirojpur Pourashava, Bangladesh"
ChIJL9ElcpgBADoRLnFG7Chq_ww,হোটেল আব্বাস,22.5790936,89.9804341,3.6,122.0,,"HXHJ+J5M, Pirojpur Pourashava, Bangladesh"
ChIJS0ew9lYBADoR37mfEFdnhWs,কাচা,22.5841051,89.9720133,0,,,"HXMC+JRR, Pirojpur Pourashava, Bangladesh"
ChIJD0pM_bEBADoR9veaaUPQV5s,ঢাকা হাজীর বিরিয়ানী,22.5793219,89.9685085,4,1.0,,"HXH9+PCC, Pirojpur Pourashava, Bangladesh"
ChIJ-aiJJQcBADoRfZjfWcOJlIY,লতিফ হোটেল পিরোজপুর Latif Hotel Pirojpur,22.5800785,89.97128490000001,0,,,"HXHC+XHR, Pirojpur Pourashava, Bangladesh"
