Date,Daily Amount,Total Amount
May 15,"$1,200.00","$1,200.00"
May 16,$60.00,"$1,260.00"
May 17,$35.00,"$1,295.00"
May 18,$0.00,"$1,295.00"
May 19,$65.00,"$1,360.00"
May 20,$45.00,"$1,405.00"
May 21,$65.00,"$1,470.00"
May 22,$0.00,"$1,470.00"
May 23,$30.00,"$1,500.00"
May 24,$0.00,"$1,500.00"
May 25,$45.00,"$1,545.00"
May 26,$20.00,"$1,565.00"
May 27,$20.00,"$1,585.00"
May 28,$65.00,"$1,650.00"
May 29,$45.00,"$1,695.00"
May 30,$100.00,"$1,795.00"
May 31,$90.00,"$1,885.00"
June 1,$30.00,"$1,915.00"
June 2,$45.00,"$1,960.00"
June 3,$30.00,"$1,990.00"
June 4,$40.00,"$2,030.00"
June 5,$0.00,"$2,030.00"
June 6,$145.00,"$2,175.00"
June 7,$0.00,"$2,175.00"
June 8,$35.00,"$2,210.00"
June 9,$0.00,"$2,210.00"
June 10,$80.00,"$2,290.00"
June 11,$55.00,"$2,345.00"
June 12,$30.00,"$2,375.00"
June 13,$0.00,"$2,375.00"
June 14,$5.00,"$2,380.00"
June 15,$30.00,"$2,410.00"
June 16,$60.00,"$2,470.00"
June 17,$110.00,"$2,580.00"
June 18,$50.00,"$2,630.00"
June 19,$0.00,"$2,630.00"
June 20,$117.00,"$2,747.00"
June 21,$30.00,"$2,777.00"
June 22,$0.00,"$2,777.00"
June 23,$170.00,"$2,947.00"
June 24,$35.00,"$2,982.00"
June 25,$57.00,"$3,039.00"
June 26,$10.00,"$3,049.00"
June 27,$100.00,"$3,149.00"
June 28,$0.00,"$3,149.00"
June 29,$35.00,"$3,184.00"
June 30,$0.00,"$3,184.00"
July 1,$30.00,"$3,214.00"
July 2,$40.00,"$3,254.00"
July 3,$20.00,"$3,274.00"
July 4,$0.00,"$3,274.00"
July 5,$30.00,"$3,304.00"
July 6,$40.00,"$3,344.00"
July 7,$0.00,"$3,344.00"
July 8,$30.00,"$3,374.00"
July 9,$20.00,"$3,394.00"
July 10,$10.00,"$3,404.00"
July 11,$30.00,"$3,434.00"
July 12,$0.00,"$3,434.00"
July 13,$25.00,"$3,459.00"
July 14,$20.00,"$3,479.00"
July 15,$0.00,"$3,479.00"
July 16,$20.00,"$3,499.00"
July 17,$25.00,"$3,524.00"
July 18,$0.00,"$3,524.00"
July 19,$15.00,"$3,539.00"
July 20,$45.00,"$3,584.00"
July 21,$70.00,"$3,654.00"
July 22,$80.00,"$3,734.00"
July 23,$35.00,"$3,769.00"
July 24,$0.00,"$3,769.00"
July 25,$20.00,"$3,789.00"
July 26,$0.00,"$3,789.00"
July 27,$50.00,"$3,839.00"
July 28,$0.00,"$3,839.00"
July 29,$0.00,"$3,839.00"
July 30,$15.00,"$3,854.00"
July 31,$0.00,"$3,854.00"
August 1,$0.00,"$3,854.00"
August 2,$177.00,"$4,031.00"
August 3,$20.00,"$4,051.00"
August 4,$0.00,"$4,051.00"
August 5,$35.00,"$4,086.00"
August 6,$0.00,"$4,086.00"
August 7,$10.00,"$4,096.00"
August 8,$25.00,"$4,121.00"
August 9,$0.00,"$4,121.00"
August 10,$10.00,"$4,131.00"
August 11,$0.00,"$4,131.00"
August 12,$0.00,"$4,131.00"
August 13,$25.00,"$4,156.00"
August 14,$0.00,"$4,156.00"
August 15,$0.00,"$4,156.00"
August 16,$120.00,"$4,276.00"
August 17,$30.00,"$4,306.00"
August 18,$10.00,"$4,316.00"
August 19,$15.00,"$4,331.00"
August 20,$10.00,"$4,341.00"
August 21,$25.00,"$4,366.00"
August 22,$10.00,"$4,376.00"
August 23,$15.00,"$4,391.00"
August 24,$0.00,"$4,391.00"
August 25,$0.00,"$4,391.00"
August 26,$0.00,"$4,391.00"
August 27,$15.00,"$4,406.00"
August 28,$50.00,"$4,456.00"
August 29,$0.00,"$4,456.00"
August 30,$0.00,"$4,456.00"
August 31,$0.00,"$4,456.00"
September 1,$0.00,"$4,456.00"
September 2,$0.00,"$4,456.00"
September 3,$35.00,"$4,491.00"
September 4,$30.00,"$4,521.00"
September 5,$0.00,"$4,521.00"
September 6,$35.00,"$4,556.00"
September 7,$30.00,"$4,586.00"
September 8,$115.00,"$4,701.00"
September 9,$10.00,"$4,711.00"
September 10,$15.00,"$4,726.00"
September 11,$0.00,"$4,726.00"
September 12,$0.00,"$4,726.00"
September 13,$30.00,"$4,756.00"
September 14,,"$4,756.00"
September 15,,"$4,756.00"
September 16,$35.00,"$4,791.00"
September 17,,"$4,791.00"
September 18,,"$4,791.00"
September 19,,"$4,791.00"
September 20,,"$4,791.00"
September 21,$70.00,"$4,861.00"
September 22,$70.00,"$4,931.00"
September 23,,"$4,931.00"
September 24,,"$4,931.00"
September 25,,"$4,931.00"
September 26,$50.00,"$4,981.00"
September 27,$40.00,"$5,021.00"
September 28,$130.00,"$5,151.00"
September 29,,"$5,151.00"
September 30,,"$5,151.00"
October 1,,
October 2,,
October 3,,
October 4,,
October 5,,
October 6,,
