time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-02-10T05:12:35.460Z,5.1033,125.3179,44.32,4.3,mb,,131,1.97,0.7,us,us2000d062,2018-02-10T09:03:34.040Z,"36km SSW of Sarangani, Philippines",earthquake,5,9.3,0.126,18,reviewed,us,us
2018-02-10T00:31:19.880Z,-8.8535,117.1527,116.88,4.9,mb,,59,2.991,1.06,us,us2000d00q,2018-02-10T03:42:15.567Z,"32km SSW of Batudulang, Indonesia",earthquake,6.5,7.3,0.091,38,reviewed,us,us
2018-02-08T09:52:47.330Z,4.7512,96.2239,10,5.3,mww,,148,0.862,1.29,us,us2000cyrm,2018-02-09T02:47:40.084Z,"51km S of Reuleuet, Indonesia",earthquake,6.6,1.8,0.073,18,reviewed,us,us
2018-02-07T22:28:37.900Z,-10.1202,118.7274,10,4.5,mb,,86,3.764,0.95,us,us2000cygt,2018-02-07T22:54:23.040Z,"61km SW of Panenggoede, Indonesia",earthquake,7.6,1.9,0.084,42,reviewed,us,us
2018-02-07T20:22:57.530Z,1.4361,127.0142,120.78,4.5,mb,,105,0.748,0.76,us,us2000cydt,2018-02-07T21:26:37.040Z,"82km NNW of Kota Ternate, Indonesia",earthquake,8,6.6,0.089,37,reviewed,us,us
2018-02-06T07:16:48.280Z,0.6058,126.2786,40.52,4.4,mb,,113,1.1,0.37,us,us1000chda,2018-02-06T07:30:36.040Z,"122km W of Kota Ternate, Indonesia",earthquake,8.4,7.2,0.149,13,reviewed,us,us
2018-02-04T19:55:05.120Z,-9.1216,122.4742,142.29,5.2,mww,,54,0.536,0.95,us,us1000cfsg,2018-02-04T20:08:05.040Z,"42km SSE of Habibola, Indonesia",earthquake,3.5,6.2,0.071,19,reviewed,us,us
2018-02-03T23:23:52.510Z,-1.3392,99.6884,45.74,4.7,mb,,186,2.135,0.59,us,us1000cfhv,2018-02-03T23:56:56.472Z,"60km ENE of Muara Siberut, Indonesia",earthquake,9,8.1,0.088,39,reviewed,us,us
2018-02-03T22:50:44.200Z,1.099,98.9888,106.01,4.2,mb,,155,1.427,0.47,us,us1000cfhr,2018-02-04T06:53:43.402Z,"42km SW of Padangsidempuan, Indonesia",earthquake,7.3,4.8,0.122,19,reviewed,us,us
2018-02-03T18:28:58.520Z,7.168,126.6065,76.31,4.7,mb,,81,6.398,0.89,us,us1000cff4,2018-02-06T15:58:28.040Z,"9km SE of Manay, Philippines",earthquake,9.1,1.9,0.049,126,reviewed,us,us
